category	stim	oldnumber	recognition_acc	recognition_resp	recognition_rt	spatial_resp	spatial_rt	spatial_acc( corriger voir output-encodage)
old	kitchen_coffee pot.bmp	old29	1	1	1938	5	1114	
old	kitchen_tea cup and saucer.bmp	old37	1	1	2106	5	16557	
old	musical_drums_old.bmp	old46	1	1	3853	6	1154	
new	vegie_broccoli.bmp	new36	0	1	2616	9	2487	
old	vegie_garlic01a.bmp	old74	1	1	2185	8	2472	
old	fruit_pineapple_old.bmp	old70	1	1	2764	6	1004	
old	sporting_snow shoes_old.bmp	old64	1	1	1425	6	648	
new	animal_horse.bmp	new20	1	2	2666	6	648	
old	musical_harmonica_new.bmp	old47	1	1	1093	5	2096	
new	food_bagel01.bmp	new17	1	2	2986	5	2096	
old	fruit_blackberry_new.bmp	old66	1	1	2407	6	3110	
old	sporting_fishing rod.bmp	old59	0	2	3360	6	3110	
new	sporting_baseball bat_new.bmp	new08	1	2	2208	6	3110	
new	animal_gorilla.bmp	new15	0	1	2703	9	2561	
old	sporting_soccer ball_new.bmp	old65	1	1	3184	6	3328	
old	vegie_green capsicum.bmp	old75	1	1	2909	8	1922	
new	sporting_windsurf.bmp	new31	1	2	2789	8	1922	
old	vegie_carrot.bmp	old78	1	1	1091	8	471	
new	kitchen_toaster_old.bmp	new30	1	2	2642	8	471	
new	kitchen_spatula_old.bmp	new37	1	2	2675	8	471	
old	animal_dalmation_old.bmp	old04	0	2	3574	8	471	
old	animal_penguin.bmp	old10	0	2	2345	8	471	
old	food_croissant01.bmp	old19	1	1	2082	9	1366	
new	fruit_granny smith apple.bmp	new16	0	1	1685	8	1209	
old	kitchen_ladle.bmp	old31	1	1	1159	5	2448	
new	kitchen_garlic press.bmp	new07	1	2	1847	5	2448	
new	sporting_golf ball.bmp	new19	1	2	1435	5	2448	
old	sporting_bicycle_old.bmp	old55	1	1	1055	6	324	
old	vegie_mushroom.bmp	old76	1	1	2525	8	1447	
new	fruit_apricot_new.bmp	new04	1	2	1866	8	1447	
