category	stim	oldnumber	recognition_acc	recognition_resp	recognition_rt	spatial_resp	spatial_rt	spatial_acc( corriger voir output-encodage)
new	sporting_weighlifting.bmp	new25	1	2	3959		0	
old	fruit_blackberry_new.bmp	old66	1	1	2904	5.0	2218	
new	vegie_snowpea01.bmp	new27	1	2	2184	5.0	2218	
old	kitchen_ladle.bmp	old31	1	1	3032	5.0	1030	
new	food_walnut01c.bmp	new34	1	2	2252	5.0	1030	
new	fruit_cherry.bmp	old67	1	1	2281	6.0	1541	
old	sporting_footballhelmet.bmp	old57	1	1	2038	9.0	996	
old	kitchen_white strainer.bmp	old38	1	1	2882	8.0	1134	
old	sporting_americanfootball.bmp	old53	1	1	2464	6.0	1116	
old	fruit_watermelon_old.bmp	old71	1	1	3023	9.0	1245	
old	musical_accordion_old.bmp	old41	1	1	1618	6.0	993	
old	animal_zebra_old.bmp	old13	1	1	4464	6.0	910	
old	musical_double bass.bmp	old45	1	1	2367	6.0	1784	
old	food_baguette01.bmp	old14	1	1	1711	8.0	1002	
new	sporting_flippers.bmp	new02	1	2	1977	8.0	1002	
new	food_pizza.bmp	new22	1	2	1409	8.0	1002	
new	sporting_basketball_new.bmp	new14	0	1	4551	8.0	682	
old	food_candy.bmp	old16	0	2	2197	8.0	682	
old	sporting_bicycle_old.bmp	old55	1	1	1717	5.0	1727	
old	food_rawchicken.bmp	old23	1	1	1937	8.0	1002	
old	vegie_cauliflower.bmp	old72	1	1	2193	5.0	840	
new	animal_horse.bmp	new20	1	2	1837	5.0	840	
old	musical_tuba.bmp	old50	1	1	1819	9.0	2314	
new	kitchen_spatula_old.bmp	new37	1	2	1597	9.0	2314	
new	fruit_granny smith apple.bmp	new16	1	2	1867	9.0	2314	
old	sporting_mini-trampoline.bmp	old61	1	1	1256	8.0	628	
old	hard_musical_recorder.bmp	old40	1	1	1762	8.0	619	
new	kitchen_baking spatula.bmp	new01	1	2	1872	8.0	619	
new	animal_giraffe.bmp	new03	1	2	1628	8.0	619	
old	animal_camel_new.bmp	old01	1	1	1154	8.0	667	
old	animal_parrot.bmp	old09	1	1	2294	6.0	658	
old	food_croissant01.bmp	old19	1	1	2126	9.0	832	
old	food_pecan02.bmp	old21	1	1	2070	6.0	1018	
new	musical_tambourine_new.bmp	new06	1	2	3433	6.0	1018	
new	musical_uculele_new.bmp	new39	0	1	1344	5.0	1001	
new	kitchen_kettle_new.bmp	new24	0	1	4192	8.0	1145	
new	animal_ostrich.bmp	new26	1	2	1737	8.0	1145	
old	musical_drums_old.bmp	old46	1	1	1730	6.0	700	
old	musical_piano_old.bmp	old48	1	1	1423	8.0	605	
old	vegie_carrot.bmp	old78	0	2	5060	8.0	605	
old	animal_siamese cat.bmp	old12	1	1	1354	9.0	610	
new	fruit_rasberry.bmp	new10	1	2	3408	9.0	610	
new	musical_french horn_old.bmp	new12	1	2	1448	9.0	610	
new	animal_pigeon.bmp	new32	1	2	909	9.0	610	
new	musical_bongo drum.bmp	new23	1	2	1007	9.0	610	
old	kitchen_big cooking pot.bmp	old28	1	1	1421	8.0	1427	
new	animal_dolphin_old.bmp	new09	1	2	1393	8.0	1427	
old	vegie_radish.bmp	old77	1	1	1592	5.0	471	
old	musical_triangle.bmp	old49	1	1	2267	5.0	887	
new	vegie_cucumber.bmp	new33	0	1	1426	6.0	553	
old	food_cracker02.bmp	old18	1	1	1792	5.0	472	
new	food_bread.bmp	new28	0	1	4723	8.0	1798	
new	musical_bagpipes.bmp	new35	1	2	1806	8.0	1798	
old	kitchen_tea cup and saucer.bmp	old37	1	1	1365	6.0	605	
old	kitchen_scrubbing brush.bmp	old36	1	1	1627	9.0	1513	
new	sporting_baseball bat_new.bmp	new08	1	2	3347	9.0	1513	
old	animal_sheep.bmp	old11	1	1	1117	8.0	680	
new	animal_seal.bmp	new38	1	2	1291	8.0	680	
new	food_cookie01.bmp	new11	1	2	966	8.0	680	
old	musical_harp_new.bmp	old43	1	1	1255	5.0	403	
new	musical_zamponia windflute.bmp	new29	1	2	1346	5.0	403	
old	animal_lion_new.bmp	old07	1	1	1315	6.0	702	
old	kitchen_peppermill.bmp	old33	1	1	1624	5.0	509	
old	kitchen_apron.bmp	old27	1	1	1920	5.0	1282	
old	kitchen_wooden spoon_old.bmp	old39	1	1	1477	6.0	537	
old	kitchen_pitcher.bmp	old34	1	1	1858	8.0	551	
old	sporting_hockey stick_old.bmp	old58	1	1	1416	6.0	606	
old	fruit_pineapple_old.bmp	old70	1	1	1485	6.0	688	
old	sporting_fishing rod.bmp	old59	1	1	1244	6.0	657	
old	sporting_snow shoes_old.bmp	old64	1	1	1957	8.0	1037	
new	kitchen_ramekin.bmp	new13	1	2	2770	8.0	1037	
