0	1	2	3	4	5	6	7	8
1	enc	enc00	nan	encoding	0.075	fixation	3.075	7
2	enc	enc000	nan	encoding	10.074	fixation	13.074	4.5
3	ctl	ctl0	nan	control	17.574	fixation	20.574	4.5
4	enc	enc01	old58	encoding	25.073	fixation	28.073	0.5
5	ctl	ctl01	nan	control	28.573	fixation	31.573	0.5
6	enc	enc02	old02	encoding	32.073	fixation	35.072	4.5
7	enc	enc03	old54	encoding	39.572	fixation	42.572	2
8	ctl	ctl02	nan	control	44.572	fixation	47.572	3.5
9	ctl	ctl03	nan	control	51.071	fixation	54.071	1.5
10	enc	enc04	old69	encoding	55.571	fixation	58.571	2.5
11	enc	enc05	old71	encoding	61.07	fixation	64.07	1
12	ctl	ctl04	nan	control	65.07	fixation	68.07	3
13	enc	enc06	old48	encoding	71.07	fixation	74.069	4
14	ctl	ctl05	nan	control	78.069	fixation	81.069	0.5
15	enc	enc07	old64	encoding	81.569	fixation	84.569	2.5
16	ctl	ctl06	nan	control	87.068	fixation	90.068	2.5
17	ctl	ctl07	nan	control	92.568	fixation	95.568	3.5
18	enc	enc08	old06	encoding	99.067	fixation	102.067	1
19	enc	enc09	old75	encoding	103.067	fixation	106.067	2
20	enc	enc10	old08	encoding	108.067	fixation	111.067	0.5
21	enc	enc11	old33	encoding	111.567	fixation	114.566	4.5
22	enc	enc12	old37	encoding	119.066	fixation	122.066	7
23	enc	enc13	old49	encoding	129.065	fixation	132.065	0.5
24	enc	enc14	old51	encoding	132.565	fixation	135.565	2
25	enc	enc15	old42	encoding	137.564	fixation	140.564	1
26	enc	enc16	old41	encoding	141.564	fixation	144.564	1
27	enc	enc17	old13	encoding	145.564	fixation	148.564	3.5
28	ctl	ctl08	nan	control	152.063	fixation	155.063	1
29	enc	enc18	old31	encoding	156.063	fixation	159.063	2
30	enc	enc19	old25	encoding	161.063	fixation	164.062	0.5
31	enc	enc20	old22	encoding	164.562	fixation	167.562	3.5
32	ctl	ctl09	nan	control	171.062	fixation	174.062	7
33	enc	enc21	old44	encoding	181.061	fixation	184.061	2.5
34	enc	enc22	old15	encoding	186.561	fixation	189.56	5
35	enc	enc23	old03	encoding	194.56	fixation	197.56	1
36	enc	enc24	old16	encoding	198.56	fixation	201.559	10
37	enc	enc25	old78	encoding	211.559	fixation	214.558	1.5
38	enc	enc26	old24	encoding	216.058	fixation	219.058	0.5
39	enc	enc27	old72	encoding	219.558	fixation	222.558	2.5
40	enc	enc28	old28	encoding	225.058	fixation	228.057	3.5
41	ctl	ctl10	nan	control	231.557	fixation	234.557	1
42	ctl	ctl11	nan	control	235.557	fixation	238.557	0.5
43	ctl	ctl12	nan	control	239.057	fixation	242.056	1.5
44	ctl	ctl13	nan	control	243.556	fixation	246.556	7
45	enc	enc29	old68	encoding	253.555	fixation	256.555	7
46	enc	enc30	old76	encoding	263.555	fixation	266.554	2
47	ctl	ctl14	nan	control	268.554	fixation	271.554	6.5
48	enc	enc31	old35	encoding	278.053	fixation	281.053	3.5
49	enc	enc32	old01	encoding	284.553	fixation	287.553	2.5
50	enc	enc33	old09	encoding	290.053	fixation	293.052	4
51	enc	enc34	old63	encoding	297.052	fixation	300.052	3.5
52	ctl	ctl15	nan	control	303.552	fixation	306.551	1
53	enc	enc35	old07	encoding	307.551	fixation	310.551	6.5
54	ctl	ctl16	nan	control	317.05	fixation	320.05	7.5
55	ctl	ctl17	nan	control	327.55	fixation	330.549	2.5
56	enc	enc36	old62	encoding	333.049	fixation	336.049	1.5
57	enc	enc37	old14	encoding	337.549	fixation	340.549	1
58	enc	enc38	old45	encoding	341.549	fixation	344.548	3
59	ctl	ctl18	nan	control	347.548	fixation	350.548	2.5
60	enc	enc39	old26	encoding	353.048	fixation	356.047	1
