trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc
1	ctl	ctl0	nan	5	3	956	0
2	enc	enc00	nan	8	3	1374	0
3	enc	enc000	nan	9	3	788	0
4	ctl	ctl01	nan	8	3	844	0
5	enc	enc01	old54	6	3	1034	0
6	enc	enc02	old10	5	3	1029	0
7	enc	enc03	old20	6	3	1313	0
8	enc	enc04	old68	9	3	954	0
9	enc	enc05	old53	8	3	919	0
10	enc	enc06	old48	9	3	1111	0
11	ctl	ctl02	nan	5	3	978	0
12	ctl	ctl03	nan	6	3	1221	0
13	enc	enc07	old29	8	3	1007	0
14	ctl	ctl04	nan	8	3	715	0
15	enc	enc08	old45	6	3	848	0
16	enc	enc09	old21	5	3	1371	0
17	ctl	ctl05	nan	8	3	778	0
18	enc	enc10	old34	6	3	1123	0
19	enc	enc11	old01	6	3	941	0
20	enc	enc12	old22	8	3	774	0
21	enc	enc13	old69	5	3	982	0
22	enc	enc14	old16	9	3	1020	0
23	enc	enc15	old30	9	3	898	0
24	enc	enc16	old27	5	3	1136	0
25	enc	enc17	old15	5	3	978	0
26	ctl	ctl06	nan	5	3	738	0
27	enc	enc18	old07	5	3	1002	0
28	enc	enc19	old50	8	3	932	0
29	ctl	ctl07	nan	5	3	673	0
30	enc	enc20	old76	6	3	1096	0
31	enc	enc21	old61	5	3	1074	0
32	enc	enc22	old70	6	3	726	0
33	enc	enc23	old11	5	3	894	0
34	enc	enc24	old09	8	3	872	0
35	enc	enc25	old52	5	3	953	0
36	enc	enc26	old65	9	3	889	0
37	ctl	ctl08	nan	6	3	757	0
38	ctl	ctl09	nan	9	3	897	0
39	ctl	ctl10	nan	8	3	442	0
40	ctl	ctl11	nan	5	3	616	0
41	enc	enc27	old42	8	3	837	0
42	ctl	ctl12	nan	9	3	768	0
43	enc	enc28	old23	9	3	1186	0
44	ctl	ctl13	nan	6	3	637	0
45	enc	enc29	old36	8	3	820	0
46	enc	enc30	old59	6	3	1174	0
47	enc	enc31	old03	9	3	861	0
48	enc	enc32	old72	6	3	1206	0
49	enc	enc33	old26	9	3	1366	0
50	enc	enc34	old24	6	3	776	0
51	ctl	ctl14	nan	6	3	747	0
52	enc	enc35	old71	5	3	686	0
53	enc	enc36	old05	9	3	757	0
54	enc	enc37	old12	8	3	898	0
55	enc	enc38	old49	6	3	784	0
56	ctl	ctl15	nan	6	3	741	0
57	ctl	ctl16	nan	9	3	887	0
58	enc	enc39	old60	6	3	892	0
59	enc	enc40	old55	5	3	712	0
60	enc	enc41	old75	6	3	862	0
61	ctl	ctl17	nan	8	3	742	0
62	enc	enc42	old64	9	3	1003	0
63	enc	enc43	old14	8	3	920	0
64	enc	enc44	old35	9	3	1030	0
65	ctl	ctl18	nan	9	3	710	0
66	enc	enc45	old17	8	3	982	0
67	enc	enc46	old28	9	3	887	0
68	ctl	ctl19	nan	8	3	752	0
69	ctl	ctl20	nan	5	3	627	0
70	ctl	ctl21	nan	5	3	691	0
71	ctl	ctl22	nan	8	3	757	0
72	ctl	ctl23	nan	9	3	517	0
73	ctl	ctl24	nan	8	3	474	0
74	enc	enc47	old39	6	3	749	0
75	enc	enc48	old02	6	3	784	0
76	enc	enc49	old43	8	3	953	0
77	enc	enc50	old41	9	3	952	0
78	enc	enc51	old13	6	3	943	0
79	ctl	ctl25	nan	9	3	847	0
80	ctl	ctl26	nan	5	3	699	0
81	enc	enc52	old40	5	3	533	0
82	enc	enc53	old57	9	3	668	0
83	enc	enc54	old44	8	3	743	0
84	enc	enc55	old62	8	3	971	0
85	ctl	ctl27	nan	6	3	809	0
86	enc	enc56	old33	6	3	655	0
87	ctl	ctl28	nan	6	3	655	0
88	enc	enc57	old56	9	3	1024	0
89	enc	enc58	old74	9	3	743	0
90	enc	enc59	old58	5	3	833	0
91	ctl	ctl29	nan	9	3	917	0
92	enc	enc60	old63	8	3	778	0
93	ctl	ctl30	nan	8	3	703	0
94	enc	enc61	old06	8	3	646	0
95	ctl	ctl31	nan	8	3	634	0
96	enc	enc62	old32	5	3	1027	0
97	ctl	ctl32	nan	5	3	933	0
98	enc	enc63	old67	8	3	634	0
99	enc	enc64	old77	9	3	768	0
100	ctl	ctl33	nan	9	3	1185	0
101	ctl	ctl34	nan	9	3	500	0
102	enc	enc65	old78	8	3	695	0
103	enc	enc66	old73	8	3	553	0
104	ctl	ctl35	nan	6	3	601	0
105	enc	enc67	old04	5	3	863	0
106	enc	enc68	old08	9	3	929	0
107	enc	enc69	old31	5	3	718	0
108	enc	enc70	old51	9	3	685	0
109	enc	enc71	old37	8	3	695	0
110	ctl	ctl36	nan	6	3	792	0
111	enc	enc72	old25	6	3	579	0
112	enc	enc73	old66	9	3	635	0
113	ctl	ctl37	nan	5	3	510	0
114	ctl	ctl38	nan	6	3	651	0
115	enc	enc74	old46	5	3	579	0
116	enc	enc75	old47	6	3	709	0
117	ctl	ctl39	nan	9	3	676	0
118	enc	enc76	old18	5	3	611	0
119	enc	enc77	old38	5	3	645	0
120	enc	enc78	old19	8	3	675	0
