category	stim	oldnumber	recognition_acc	recognition_resp	recognition_rt	spatial_resp	spatial_rt	spatial_acc( corriger voir output-encodage)
old	kitchen_scrubbing brush.bmp	old36	0	2	5556	nan	0	
old	food_chocolatemilk.bmp	old17	1	1	2508	8	799	
new	animal_pigeon.bmp	new32	1	2	3811	8	799	
old	animal_siamese cat.bmp	old12	0	2	2089	8	799	
old	sporting_mini-trampoline.bmp	old61	1	1	2356	6	877	
old	musical_triangle.bmp	old49	1	1	1416	9	542	
new	animal_gorilla.bmp	new15	0	1	1870	8	506	
old	food_baguette01.bmp	old14	1	1	1211	8	657	
old	sporting_fishing rod.bmp	old59	1	1	2172	9	1900	
old	kitchen_martini glass.bmp	old32	1	1	1071	9	490	
new	food_pizza.bmp	new22	1	2	1867	9	490	
old	musical_clarinet_new.bmp	old44	1	1	1302	6	1441	
old	food_shellpasta.bmp	old25	1	1	1197	8	948	
old	sporting_bicycle_old.bmp	old55	1	1	1220	5	1666	
old	fruit_pineapple_old.bmp	old70	1	1	854	9	546	
new	musical_bongo drum.bmp	new23	1	2	2113	9	546	
new	food_walnut01c.bmp	new34	1	2	4068	9	546	
new	food_drink.bmp	new05	1	2	2008	9	546	
new	animal_ostrich.bmp	new26	0	1	2287	5	3194	
old	sporting_skipping rope.bmp	old63	1	1	1176	9	561	
old	sporting_soccer ball_new.bmp	old65	1	1	863	8	532	
new	kitchen_toaster_old.bmp	new30	0	1	3237	6	2123	
new	sporting_basketball_new.bmp	new14	0	1	876	8	520	
old	vegie_carrot.bmp	old78	1	1	816	8	438	
old	food_croissant01.bmp	old19	1	1	1010	5	368	
old	kitchen_coffee pot.bmp	old29	1	1	1167	6	1112	
new	kitchen_ramekin.bmp	new13	1	2	2681	6	1112	
new	sporting_golf ball.bmp	new19	1	2	1532	6	1112	
old	animal_monarch_old.bmp	old08	1	1	3988	5	468	
new	musical_french horn_old.bmp	new12	0	1	2935	9	666	
old	food_frenchfries.bmp	old20	1	1	1134	8	520	
old	fruit_green grapes.bmp	old68	1	1	2897	8	597	
old	animal_farm pig.bmp	old05	1	1	1275	8	391	
new	vegie_pumpkin.bmp	new21	0	1	2989	6	525	
old	sporting_americanfootball.bmp	old53	0	2	2125	6	525	
old	musical_harmonica_new.bmp	old47	1	1	1438	6	612	
old	kitchen_big cooking pot.bmp	old28	0	2	3993	6	612	
old	animal_zebra_old.bmp	old13	1	1	1807	8	694	
old	musical_piano_old.bmp	old48	1	1	1912	8	634	
new	animal_giraffe.bmp	new03	0	1	2199	5	439	
new	animal_horse.bmp	new20	1	2	1364	5	439	
old	kitchen_peppermill.bmp	old33	1	1	2283	5	623	
old	kitchen_tea cup and saucer.bmp	old37	1	1	1589	5	371	
old	food_cracker02.bmp	old18	1	1	1186	6	1153	
new	kitchen_spatula_old.bmp	new37	1	2	1738	6	1153	
old	vegie_mushroom.bmp	old76	1	1	1170	6	650	
old	kitchen_cookie cutter.bmp	old30	1	1	863	9	539	
old	kitchen_ladle.bmp	old31	1	1	1491	5	2799	
old	vegie_cauliflower.bmp	old72	1	1	1285	5	353	
old	sporting_rollerblade.bmp	old62	1	1	2776	6	1185	
new	vegie_cucumber.bmp	new33	1	2	3487	6	1185	
old	animal_lion_new.bmp	old07	1	1	1610	6	2433	
old	kitchen_wooden spoon_old.bmp	old39	1	1	1854	5	243	
old	vegie_corn02.bmp	old73	1	1	1679	8	1682	
old	sporting_hockey stick_old.bmp	old58	1	1	1422	9	652	
new	vegie_broccoli.bmp	new36	1	2	1464	9	652	
new	musical_uculele_new.bmp	new39	0	1	2667	6	2480	
new	animal_dolphin_old.bmp	new09	1	2	1363	6	2480	
old	fruit_watermelon_old.bmp	old71	1	1	1602	5	2457	
new	kitchen_baking spatula.bmp	new01	1	2	1670	5	2457	
new	sporting_weighlifting.bmp	new25	1	2	936	5	2457	
old	sporting_boxing_gloves.bmp	old56	1	1	1800	6	3519	
old	animal_parrot.bmp	old09	0	2	1801	6	3519	
new	fruit_rasberry.bmp	new10	1	2	1015	6	3519	
old	food_rawchicken.bmp	old23	1	1	1205	9	443	
new	kitchen_garlic press.bmp	new07	1	2	1415	9	443	
new	animal_seal.bmp	new38	1	2	1629	9	443	
old	musical_xylophone_old.bmp	old52	0	2	1011	9	443	
old	vegie_radish.bmp	old77	0	2	1112	9	443	
new	food_bread.bmp	new28	1	2	2185	9	443	
old	animal_penguin.bmp	old10	1	1	1584	5	2840	
new	fruit_granny smith apple.bmp	new16	1	2	1821	5	2840	
old	kitchen_plate.bmp	old35	1	1	2049	8	2415	
new	sporting_baseball bat_new.bmp	new08	0	1	1773	9	445	
old	sporting_footballhelmet.bmp	old57	1	1	2170	9	666	
old	animal_cheetah.bmp	old02	1	1	1228	8	491	
new	kitchen_kettle_new.bmp	new24	0	1	1469	8	11729	
old	musical_harp_new.bmp	old43	1	1	9941	9	602	
new	food_cookie01.bmp	new11	1	2	1647	9	602	
old	food_pecan02.bmp	old21	1	1	1443	5	377	
old	fruit_blackberry_new.bmp	old66	1	1	3927	8	3265	
old	animal_camel_new.bmp	old01	1	1	1173	8	373	
new	musical_bagpipes.bmp	new35	1	2	3939	8	373	
old	sporting_karate clothing.bmp	old60	1	1	2908	6	919	
new	food_bagel01.bmp	new17	1	2	2247	6	919	
new	kitchen_fork_old.bmp	new18	1	2	1203	6	919	
old	musical_acoustic guitar_new.bmp	old42	1	1	1201	9	1808	
old	vegie_green capsicum.bmp	old75	1	1	1702	5	1314	
old	musical_tuba.bmp	old50	1	1	2851	9	600	
old	musical_accordion_old.bmp	old41	0	2	3222	9	600	
old	sporting_badminton racquet.bmp	old54	1	1	1395	9	579	
old	food_softcheese.bmp	old24	1	1	1602	6	2601	
new	musical_zamponia windflute.bmp	new29	1	2	1598	6	2601	
new	sporting_flippers.bmp	new02	1	2	1597	6	2601	
