0	1	2	3	4	5	6	7	8
1	ctl	ctl0	nan	control	0.02	fixation	3.029	2
2	enc	enc00	nan	encoding	5.018	fixation	8.027	3
3	enc	enc000	nan	encoding	11.02	fixation	14.029	2
4	ctl	ctl01	nan	control	16.018	fixation	19.027	1
5	enc	enc01	old59	encoding	20.03	fixation	23.039	8
6	enc	enc02	old13	encoding	31.029	fixation	34.038	7.5
7	enc	enc03	old54	encoding	41.528	fixation	44.537	0.5
8	enc	enc04	old46	encoding	45.038	fixation	48.047	6
9	enc	enc05	old52	encoding	54.048	fixation	57.057	2
10	enc	enc06	old78	encoding	59.047	fixation	62.056	2
11	ctl	ctl02	nan	control	64.045	fixation	67.054	4
12	ctl	ctl03	nan	control	71.049	fixation	74.058	2.5
13	ctl	ctl04	nan	control	76.549	fixation	79.558	1.5
14	ctl	ctl05	nan	control	81.046	fixation	84.055	5
15	enc	enc07	old62	encoding	89.053	fixation	92.062	1
16	enc	enc08	old02	encoding	93.065	fixation	96.074	3
17	ctl	ctl06	nan	control	99.066	fixation	102.075	3
18	enc	enc09	old42	encoding	105.067	fixation	108.076	2.5
19	enc	enc10	old10	encoding	110.567	fixation	113.576	6.5
20	enc	enc11	old36	encoding	120.079	fixation	123.088	2.5
21	enc	enc12	old28	encoding	125.579	fixation	128.588	2
22	enc	enc13	old75	encoding	130.577	fixation	133.586	4.5
23	enc	enc14	old73	encoding	138.083	fixation	141.092	4.5
24	enc	enc15	old67	encoding	145.588	fixation	148.597	2.5
25	enc	enc16	old68	encoding	151.088	fixation	154.097	1
26	enc	enc17	old08	encoding	155.083	fixation	158.092	1.5
27	ctl	ctl07	nan	control	159.58	fixation	162.589	4
28	ctl	ctl08	nan	control	166.585	fixation	169.594	3
29	enc	enc18	old35	encoding	172.586	fixation	175.595	1
30	enc	enc19	old16	encoding	176.598	fixation	179.607	1
31	enc	enc20	old23	encoding	180.61	fixation	183.619	0.5
32	enc	enc21	old72	encoding	184.12	fixation	187.129	3.5
33	enc	enc22	old15	encoding	190.623	fixation	193.632	4.5
34	ctl	ctl09	nan	control	198.129	fixation	201.138	9.5
35	enc	enc23	old09	encoding	210.633	fixation	213.642	3.5
36	ctl	ctl10	nan	control	217.136	fixation	220.145	4
37	enc	enc24	old20	encoding	224.14	fixation	227.149	4
38	enc	enc25	old40	encoding	231.144	fixation	234.153	1
39	enc	enc26	old22	encoding	235.139	fixation	238.148	6
40	enc	enc27	old49	encoding	244.15	fixation	247.159	6.5
41	enc	enc28	old33	encoding	253.661	fixation	256.67	2
42	enc	enc29	old45	encoding	258.66	fixation	261.669	1.5
43	enc	enc30	old47	encoding	263.156	fixation	266.165	2.5
44	enc	enc31	old31	encoding	268.656	fixation	271.665	4.5
45	enc	enc32	old11	encoding	276.162	fixation	279.171	0.5
46	ctl	ctl11	nan	control	279.672	fixation	282.681	1
47	enc	enc33	old12	encoding	283.668	fixation	286.677	1.5
48	enc	enc34	old58	encoding	288.164	fixation	291.173	2
49	ctl	ctl12	nan	control	293.163	fixation	296.172	4
50	enc	enc35	old04	encoding	300.167	fixation	303.176	2
51	enc	enc36	old55	encoding	305.165	fixation	308.174	2.5
52	enc	enc37	old19	encoding	310.665	fixation	313.674	2
53	enc	enc38	old74	encoding	315.663	fixation	318.672	14.5
54	enc	enc39	old17	encoding	333.166	fixation	336.175	4
55	ctl	ctl13	nan	control	340.17	fixation	343.179	1.5
56	enc	enc40	old14	encoding	344.667	fixation	347.676	1
57	ctl	ctl14	nan	control	348.679	fixation	351.688	3
58	ctl	ctl15	nan	control	354.68	fixation	357.689	5.5
59	ctl	ctl16	nan	control	363.189	fixation	366.198	2
60	enc	enc41	old44	encoding	368.187	fixation	371.196	2.5
61	enc	enc42	old34	encoding	373.687	fixation	376.696	3
62	enc	enc43	old32	encoding	379.688	fixation	382.697	3
63	enc	enc44	old70	encoding	385.689	fixation	388.698	2
64	enc	enc45	old60	encoding	390.688	fixation	393.696	5
65	enc	enc46	old56	encoding	398.695	fixation	401.704	4.5
66	ctl	ctl17	nan	control	406.201	fixation	409.21	10.5
67	enc	enc47	old77	encoding	419.708	fixation	422.717	2.5
68	enc	enc48	old27	encoding	425.207	fixation	428.216	2.5
69	ctl	ctl18	nan	control	430.707	fixation	433.716	6
70	ctl	ctl19	nan	control	439.717	fixation	442.726	3.5
71	enc	enc49	old21	encoding	446.22	fixation	449.229	1.5
72	ctl	ctl20	nan	control	450.717	fixation	453.726	2.5
73	ctl	ctl21	nan	control	456.217	fixation	459.226	4
74	enc	enc50	old03	encoding	463.221	fixation	466.23	2
75	enc	enc51	old61	encoding	468.219	fixation	471.228	3
76	ctl	ctl22	nan	control	474.22	fixation	477.229	3
77	enc	enc52	old51	encoding	480.222	fixation	483.231	4
78	enc	enc53	old26	encoding	487.226	fixation	490.235	0.5
79	ctl	ctl23	nan	control	490.736	fixation	493.745	8
80	ctl	ctl24	nan	control	501.736	fixation	504.745	3
81	enc	enc54	old48	encoding	507.737	fixation	510.746	0.5
82	enc	enc55	old39	encoding	511.248	fixation	514.257	1.5
83	enc	enc56	old29	encoding	515.745	fixation	518.754	4
84	ctl	ctl25	nan	control	522.749	fixation	525.758	5
85	enc	enc57	old71	encoding	530.756	fixation	533.765	7.5
86	ctl	ctl26	nan	control	541.254	fixation	544.263	1
87	ctl	ctl27	nan	control	545.249	fixation	548.258	1.5
88	enc	enc58	old24	encoding	549.746	fixation	552.755	0.5
89	enc	enc59	old76	encoding	553.257	fixation	556.266	1.5
90	enc	enc60	old43	encoding	557.753	fixation	560.762	2
91	ctl	ctl28	nan	control	562.752	fixation	565.761	1
92	ctl	ctl29	nan	control	566.764	fixation	569.773	5
93	ctl	ctl30	nan	control	574.771	fixation	577.78	2
94	ctl	ctl31	nan	control	579.769	fixation	582.778	5.5
95	enc	enc61	old37	encoding	588.278	fixation	591.287	0.5
96	ctl	ctl32	nan	control	591.788	fixation	594.797	8
97	enc	enc62	old57	encoding	602.788	fixation	605.797	1
98	ctl	ctl33	nan	control	606.8	fixation	609.809	0.5
99	enc	enc63	old01	encoding	610.31	fixation	613.319	3.5
100	enc	enc64	old05	encoding	616.813	fixation	619.822	1.5
101	enc	enc65	old65	encoding	621.31	fixation	624.319	2.5
102	enc	enc66	old66	encoding	626.81	fixation	629.819	9.5
103	enc	enc67	old64	encoding	639.314	fixation	642.323	0.5
104	ctl	ctl34	nan	control	642.824	fixation	645.833	1
105	enc	enc68	old38	encoding	646.82	fixation	649.829	3
106	enc	enc69	old07	encoding	652.821	fixation	655.83	1
107	ctl	ctl35	nan	control	656.833	fixation	659.842	2
108	ctl	ctl36	nan	control	661.831	fixation	664.84	0.5
109	enc	enc70	old53	encoding	665.342	fixation	668.351	2
110	ctl	ctl37	nan	control	670.34	fixation	673.349	8.5
111	enc	enc71	old41	encoding	681.841	fixation	684.85	1.5
112	enc	enc72	old06	encoding	686.338	fixation	689.347	1
113	enc	enc73	old50	encoding	690.35	fixation	693.359	1
114	enc	enc74	old25	encoding	694.362	fixation	697.371	4
115	enc	enc75	old69	encoding	701.366	fixation	704.375	9.5
116	ctl	ctl38	nan	control	713.87	fixation	716.879	4.5
117	ctl	ctl39	nan	control	721.376	fixation	724.385	0.5
118	enc	enc76	old63	encoding	724.886	fixation	727.895	4
119	enc	enc77	old30	encoding	731.89	fixation	734.899	1
120	enc	enc78	old18	encoding	735.886	fixation	738.895	11.5
