0	1	2	3	4	5	6	7	8
1	ctl	ctl0	nan	control	0.014	fixation	3.023	1.5
2	enc	enc00	nan	encoding	4.511	fixation	7.52	0.5
3	enc	enc000	nan	encoding	8.022	fixation	11.031	0.5
4	ctl	ctl01	nan	control	11.532	fixation	14.541	5.5
5	enc	enc01	old62	encoding	20.041	fixation	23.05	0.5
6	enc	enc02	old09	encoding	23.551	fixation	26.56	1
7	enc	enc03	old23	encoding	27.547	fixation	30.556	1
8	enc	enc04	old77	encoding	31.559	fixation	34.568	1.5
9	enc	enc05	old56	encoding	36.055	fixation	39.064	2
10	enc	enc06	old43	encoding	41.054	fixation	44.063	3
11	ctl	ctl02	nan	control	47.055	fixation	50.064	0.5
12	ctl	ctl03	nan	control	50.565	fixation	53.574	4
13	enc	enc07	old28	encoding	57.57	fixation	60.579	2.5
14	ctl	ctl04	nan	control	63.069	fixation	66.078	1.5
15	enc	enc08	old51	encoding	67.566	fixation	70.575	2
16	enc	enc09	old24	encoding	72.564	fixation	75.573	3.5
17	ctl	ctl05	nan	control	79.067	fixation	82.076	0.5
18	enc	enc10	old33	encoding	82.578	fixation	85.587	2.5
19	enc	enc11	old03	encoding	88.077	fixation	91.086	0.5
20	enc	enc12	old25	encoding	91.588	fixation	94.597	1
21	enc	enc13	old67	encoding	95.6	fixation	98.609	1.5
22	enc	enc14	old17	encoding	100.097	fixation	103.106	2.5
23	enc	enc15	old32	encoding	105.596	fixation	108.605	3
24	enc	enc16	old39	encoding	111.598	fixation	114.607	1
25	enc	enc17	old22	encoding	115.61	fixation	118.619	1.5
26	ctl	ctl06	nan	control	120.106	fixation	123.115	1.5
27	enc	enc18	old05	encoding	124.603	fixation	127.612	1
28	enc	enc19	old46	encoding	128.598	fixation	131.607	2.5
29	ctl	ctl07	nan	control	134.098	fixation	137.107	2.5
30	enc	enc20	old70	encoding	139.598	fixation	142.607	0.5
31	enc	enc21	old55	encoding	143.109	fixation	146.118	5.5
32	enc	enc22	old73	encoding	151.617	fixation	154.626	5.5
33	enc	enc23	old08	encoding	160.126	fixation	163.135	2
34	enc	enc24	old10	encoding	165.124	fixation	168.133	1
35	enc	enc25	old40	encoding	169.12	fixation	172.129	3
36	enc	enc26	old65	encoding	175.121	fixation	178.13	3.5
37	ctl	ctl08	nan	control	181.624	fixation	184.633	0.5
38	ctl	ctl09	nan	control	185.134	fixation	188.143	1.5
39	ctl	ctl10	nan	control	189.631	fixation	192.64	9.5
40	ctl	ctl11	nan	control	202.135	fixation	205.144	2
41	enc	enc27	old44	encoding	207.133	fixation	210.142	2
42	ctl	ctl12	nan	control	212.131	fixation	215.14	1
43	enc	enc28	old19	encoding	216.127	fixation	219.136	0.5
44	ctl	ctl13	nan	control	219.637	fixation	222.646	0.5
45	enc	enc29	old37	encoding	223.148	fixation	226.157	2
