trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc
1	enc	enc00	nan	5	1	2343	0
2	enc	enc000	nan	9	1	2434	0
3	ctl	ctl0	nan	9	1	1137	0
4	enc	enc01	old54	8	1	1447	0
5	ctl	ctl01	nan	6	1	1328	0
6	enc	enc02	old01	5	1	2058	0
7	enc	enc03	old59	5	1	1152	0
8	ctl	ctl02	nan	5	1	1025	0
9	ctl	ctl03	nan	6	1	1034	0
10	enc	enc04	old73	6	1	1449	0
11	enc	enc05	old78	5	1	1093	0
12	ctl	ctl04	nan	6	nan	0	1
13	enc	enc06	old49	9	1	1448	0
14	ctl	ctl05	nan	9	1	1060	0
15	enc	enc07	old58	6	1	1444	0
16	ctl	ctl06	nan	9	1	817	0
17	ctl	ctl07	nan	5	1	869	0
18	enc	enc08	old12	8	1	990	0
19	enc	enc09	old68	9	1	1258	0
20	enc	enc10	old02	5	1	1276	0
21	enc	enc11	old37	9	1	2037	0
22	enc	enc12	old36	5	1	1052	0
23	enc	enc13	old51	8	1	1054	0
24	enc	enc14	old47	8	1	1040	0
25	enc	enc15	old42	9	1	689	0
26	enc	enc16	old46	8	1	877	0
27	enc	enc17	old11	5	1	841	0
28	ctl	ctl08	nan	8	1	835	0
29	enc	enc18	old28	8	1	1015	0
30	enc	enc19	old22	8	1	800	0
31	enc	enc20	old15	5	1	1130	0
32	ctl	ctl09	nan	8	1	731	0
33	enc	enc21	old40	9	1	966	0
34	enc	enc22	old14	9	1	1099	0
35	enc	enc23	old09	6	1	963	0
36	enc	enc24	old23	8	1	1110	0
37	enc	enc25	old70	8	1	945	0
38	enc	enc26	old25	9	1	968	0
39	enc	enc27	old69	5	1	865	0
40	enc	enc28	old35	6	1	878	0
41	ctl	ctl10	nan	9	1	1335	0
42	ctl	ctl11	nan	6	1	899	0
43	ctl	ctl12	nan	6	1	916	0
44	ctl	ctl13	nan	5	1	691	0
45	enc	enc29	old77	9	1	1278	0
46	enc	enc30	old75	8	1	1050	0
47	ctl	ctl14	nan	9	1	1027	0
48	enc	enc31	old29	6	1	1284	0
49	enc	enc32	old06	6	1	764	0
50	enc	enc33	old13	9	1	1104	0
51	enc	enc34	old56	8	1	916	0
52	ctl	ctl15	nan	8	1	933	0
53	enc	enc35	old08	9	1	873	0
54	ctl	ctl16	nan	9	1	1521	0
55	ctl	ctl17	nan	8	1	990	0
56	enc	enc36	old60	8	nan	0	1
57	enc	enc37	old16	9	1	1170	0
58	enc	enc38	old50	6	1	1086	0
59	ctl	ctl18	nan	5	1	1485	0
60	enc	enc39	old24	5	1	1153	0
61	enc	enc40	old20	6	1	933	0
62	enc	enc41	old72	6	1	1274	0
63	enc	enc42	old30	8	1	905	0
64	enc	enc43	old34	9	1	1628	0
65	ctl	ctl19	nan	5	1	893	0
66	enc	enc44	old45	5	1	1491	0
67	ctl	ctl20	nan	8	1	820	0
68	ctl	ctl21	nan	9	1	784	0
69	enc	enc45	old61	6	1	1719	0
70	ctl	ctl22	nan	8	1	912	0
71	enc	enc46	old55	9	1	753	0
72	enc	enc47	old43	6	1	1024	0
73	enc	enc48	old39	9	1	1945	0
74	enc	enc49	old19	6	1	1051	0
75	enc	enc50	old04	8	1	770	0
76	enc	enc51	old53	9	1	1502	0
77	enc	enc52	old67	8	1	890	0
78	ctl	ctl23	nan	9	1	1157	0
79	enc	enc53	old18	9	1	922	0
80	ctl	ctl24	nan	6	nan	0	1
81	enc	enc54	old74	5	1	1009	0
82	enc	enc55	old38	8	1	728	0
83	enc	enc56	old31	5	1	1097	0
84	enc	enc57	old41	6	1	1583	0
85	ctl	ctl25	nan	6	1	900	0
86	enc	enc58	old26	5	1	1293	0
87	enc	enc59	old48	6	1	1321	0
88	enc	enc60	old76	8	1	1108	0
89	ctl	ctl26	nan	6	1	1830	0
90	ctl	ctl27	nan	9	1	903	0
91	ctl	ctl28	nan	5	1	731	0
92	enc	enc61	old32	5	1	1821	0
93	enc	enc62	old62	5	1	1361	0
94	ctl	ctl29	nan	8	1	1095	0
95	enc	enc63	old05	5	1	2091	0
96	enc	enc64	old03	9	1	989	0
97	ctl	ctl30	nan	9	1	1447	0
98	enc	enc65	old65	9	1	1170	0
99	enc	enc66	old44	5	1	755	0
100	ctl	ctl31	nan	6	nan	0	1
101	ctl	ctl32	nan	5	1	1207	0
102	enc	enc67	old64	8	1	1685	0
103	enc	enc68	old33	6	1	1163	0
104	ctl	ctl33	nan	5	nan	0	1
105	ctl	ctl34	nan	8	1	1505	0
106	enc	enc69	old10	6	1	2018	0
107	enc	enc70	old57	5	1	1435	0
108	ctl	ctl35	nan	8	1	1048	0
109	ctl	ctl36	nan	6	1	1021	0
110	enc	enc71	old71	6	1	1287	0
111	enc	enc72	old07	8	1	1275	0
112	ctl	ctl37	nan	5	1	917	0
113	ctl	ctl38	nan	8	1	1455	0
114	enc	enc73	old66	9	1	1369	0
115	enc	enc74	old17	8	1	1618	0
116	ctl	ctl39	nan	9	1	1415	0
117	enc	enc75	old52	9	1	1369	0
118	enc	enc76	old63	6	1	1668	0
119	enc	enc77	old27	5	1	1459	0
120	enc	enc78	old21	6	1	1071	0
