0	1	2	3	4	5	6	7	8
1	enc	enc00	nan	encoding	0.02	fixation	3.029	7
2	enc	enc000	nan	encoding	10.016	fixation	13.025	4.5
3	ctl	ctl0	nan	control	17.522	fixation	20.531	4.5
4	enc	enc01	old55	encoding	25.027	fixation	28.036	0.5
5	ctl	ctl01	nan	control	28.538	fixation	31.547	0.5
6	enc	enc02	old05	encoding	32.048	fixation	35.057	4.5
7	enc	enc03	old62	encoding	39.554	fixation	42.563	2
8	ctl	ctl02	nan	control	44.552	fixation	47.561	3.5
9	ctl	ctl03	nan	control	51.055	fixation	54.064	1.5
10	enc	enc04	old68	encoding	55.551	fixation	58.56	2.5
11	enc	enc05	old69	encoding	61.051	fixation	64.06	1
12	ctl	ctl04	nan	control	65.063	fixation	68.072	3
13	enc	enc06	old45	encoding	71.064	fixation	74.073	4
14	ctl	ctl05	nan	control	78.068	fixation	81.077	0.5
15	enc	enc07	old63	encoding	81.579	fixation	84.588	2.5
16	ctl	ctl06	nan	control	87.078	fixation	90.087	2.5
17	ctl	ctl07	nan	control	92.578	fixation	95.587	3.5
18	enc	enc08	old07	encoding	99.081	fixation	102.09	1
19	enc	enc09	old76	encoding	103.093	fixation	106.102	2
20	enc	enc10	old08	encoding	108.091	fixation	111.1	0.5
21	enc	enc11	old38	encoding	111.601	fixation	114.61	4.5
22	enc	enc12	old28	encoding	119.107	fixation	122.116	7
23	enc	enc13	old47	encoding	129.103	fixation	132.112	0.5
24	enc	enc14	old43	encoding	132.614	fixation	135.623	2
25	enc	enc15	old41	encoding	137.612	fixation	140.621	1
26	enc	enc16	old40	encoding	141.624	fixation	144.633	1
27	enc	enc17	old02	encoding	145.636	fixation	148.645	3.5
28	ctl	ctl08	nan	control	152.139	fixation	155.148	1
29	enc	enc18	old32	encoding	156.15	fixation	159.159	2
30	enc	enc19	old19	encoding	161.149	fixation	164.158	0.5
31	enc	enc20	old26	encoding	164.659	fixation	167.668	3.5
32	ctl	ctl09	nan	control	171.162	fixation	174.171	7
33	enc	enc21	old42	encoding	181.158	fixation	184.167	2.5
34	enc	enc22	old24	encoding	186.658	fixation	189.667	5
35	enc	enc23	old13	encoding	194.665	fixation	197.674	1
36	enc	enc24	old23	encoding	198.677	fixation	201.686	10
37	enc	enc25	old74	encoding	211.682	fixation	214.691	1.5
38	enc	enc26	old22	encoding	216.179	fixation	219.188	0.5
39	enc	enc27	old71	encoding	219.689	fixation	222.698	2.5
40	enc	enc28	old37	encoding	225.189	fixation	228.198	3.5
41	ctl	ctl10	nan	control	231.692	fixation	234.701	1
42	ctl	ctl11	nan	control	235.704	fixation	238.713	0.5
43	ctl	ctl12	nan	control	239.214	fixation	242.223	1.5
44	ctl	ctl13	nan	control	243.711	fixation	246.72	7
45	enc	enc29	old78	encoding	253.707	fixation	256.716	7
46	enc	enc30	old77	encoding	263.704	fixation	266.713	2
47	ctl	ctl14	nan	control	268.702	fixation	271.711	6.5
48	enc	enc31	old35	encoding	278.213	fixation	281.222	3.5
49	enc	enc32	old06	encoding	284.716	fixation	287.725	2.5
50	enc	enc33	old01	encoding	290.216	fixation	293.225	4
51	enc	enc34	old60	encoding	297.22	fixation	300.229	3.5
52	ctl	ctl15	nan	control	303.723	fixation	306.732	1
53	enc	enc35	old10	encoding	307.735	fixation	310.743	6.5
54	ctl	ctl16	nan	control	317.246	fixation	320.255	7.5
55	ctl	ctl17	nan	control	327.744	fixation	330.753	2.5
56	enc	enc36	old64	encoding	333.244	fixation	336.253	1.5
57	enc	enc37	old18	encoding	337.74	fixation	340.749	1
58	enc	enc38	old51	encoding	341.736	fixation	344.745	3
59	ctl	ctl18	nan	control	347.737	fixation	350.746	2.5
60	enc	enc39	old21	encoding	353.236	fixation	356.245	1
61	enc	enc40	old15	encoding	357.232	fixation	360.241	9
62	enc	enc41	old67	encoding	369.234	fixation	372.243	1.5
63	enc	enc42	old27	encoding	373.731	fixation	376.74	8.5
64	enc	enc43	old34	encoding	385.232	fixation	388.241	8
65	ctl	ctl19	nan	control	396.231	fixation	399.24	1.5
66	enc	enc44	old52	encoding	400.728	fixation	403.737	5
67	ctl	ctl20	nan	control	408.735	fixation	411.744	1
