0	1	2	3	4	5	6	7	8
1	enc	enc00	nan	encoding	0.08	fixation	3.089	4.5
2	enc	enc000	nan	encoding	7.586	fixation	10.595	0.5
3	ctl	ctl0	nan	control	11.096	fixation	14.105	0.5
4	enc	enc01	old53	encoding	14.607	fixation	17.616	6.5
5	enc	enc02	old02	encoding	24.118	fixation	27.127	2
6	enc	enc03	old20	encoding	29.117	fixation	32.126	1.5
7	enc	enc04	old78	encoding	33.613	fixation	36.622	1
8	enc	enc05	old56	encoding	37.609	fixation	40.618	8.5
9	enc	enc06	old51	encoding	49.11	fixation	52.118	2
10	enc	enc07	old30	encoding	54.108	fixation	57.117	2.5
11	ctl	ctl01	nan	control	59.607	fixation	62.616	1.5
12	ctl	ctl02	nan	control	64.104	fixation	67.113	1.5
13	enc	enc08	old45	encoding	68.601	fixation	71.61	0.5
14	ctl	ctl03	nan	control	72.111	fixation	75.12	0.5
15	enc	enc09	old19	encoding	75.622	fixation	78.631	2
16	enc	enc10	old36	encoding	80.62	fixation	83.629	1.5
17	ctl	ctl04	nan	control	85.117	fixation	88.126	2
18	enc	enc11	old13	encoding	90.115	fixation	93.124	7.5
19	enc	enc12	old16	encoding	100.613	fixation	103.622	5
20	enc	enc13	old69	encoding	108.62	fixation	111.629	1.5
21	enc	enc14	old21	encoding	113.117	fixation	116.126	3
22	enc	enc15	old34	encoding	119.118	fixation	122.127	1
23	enc	enc16	old31	encoding	123.13	fixation	126.139	1.5
24	enc	enc17	old17	encoding	127.627	fixation	130.636	8.5
25	enc	enc18	old11	encoding	139.128	fixation	142.137	2
26	ctl	ctl05	nan	control	144.126	fixation	147.135	1
27	ctl	ctl06	nan	control	148.138	fixation	151.147	1.5
28	enc	enc19	old42	encoding	152.635	fixation	155.644	6.5
29	enc	enc20	old67	encoding	162.146	fixation	165.155	1.5
30	enc	enc21	old55	encoding	166.643	fixation	169.652	6.5
31	ctl	ctl07	nan	control	176.155	fixation	179.164	3.5
32	enc	enc22	old70	encoding	182.657	fixation	185.666	8
33	enc	enc23	old04	encoding	193.657	fixation	196.666	13
34	ctl	ctl08	nan	control	209.654	fixation	212.663	1
35	enc	enc24	old06	encoding	213.65	fixation	216.659	2.5
36	enc	enc25	old41	encoding	219.149	fixation	222.158	1.5
37	enc	enc26	old65	encoding	223.646	fixation	226.655	3.5
38	enc	enc27	old44	encoding	230.149	fixation	233.158	2
39	enc	enc28	old14	encoding	235.147	fixation	238.156	3
40	enc	enc29	old39	encoding	241.148	fixation	244.157	7
41	enc	enc30	old64	encoding	251.145	fixation	254.154	1
42	ctl	ctl09	nan	control	255.157	fixation	258.166	0.5
43	ctl	ctl10	nan	control	258.667	fixation	261.676	1
44	enc	enc31	old08	encoding	262.662	fixation	265.671	0.5
45	enc	enc32	old74	encoding	266.173	fixation	269.182	7
46	enc	enc33	old18	encoding	276.169	fixation	279.178	4
47	enc	enc34	old25	encoding	283.173	fixation	286.182	2
48	ctl	ctl11	nan	control	288.172	fixation	291.181	2.5
49	enc	enc35	old72	encoding	293.671	fixation	296.68	4.5
50	enc	enc36	old10	encoding	301.177	fixation	304.186	0.5
51	ctl	ctl12	nan	control	304.688	fixation	307.697	3
52	enc	enc37	old09	encoding	310.689	fixation	313.698	2
53	ctl	ctl13	nan	control	315.687	fixation	318.696	0.5
54	ctl	ctl14	nan	control	319.197	fixation	322.206	1
55	ctl	ctl15	nan	control	323.193	fixation	326.202	2.5
56	ctl	ctl16	nan	control	328.692	fixation	331.701	6.5
57	enc	enc38	old52	encoding	338.187	fixation	341.196	9.5
58	enc	enc39	old59	encoding	350.691	fixation	353.7	3
59	enc	enc40	old58	encoding	356.693	fixation	359.701	3
60	enc	enc41	old77	encoding	362.694	fixation	365.703	1
61	enc	enc42	old61	encoding	366.706	fixation	369.715	2
62	enc	enc43	old23	encoding	371.704	fixation	374.713	1
63	enc	enc44	old38	encoding	375.716	fixation	378.725	0.5
64	enc	enc45	old22	encoding	379.226	fixation	382.235	2.5
65	enc	enc46	old35	encoding	384.726	fixation	387.735	8.5
66	enc	enc47	old32	encoding	396.227	fixation	399.236	5.5
67	enc	enc48	old03	encoding	404.736	fixation	407.745	2
68	enc	enc49	old49	encoding	409.734	fixation	412.743	6
69	enc	enc50	old46	encoding	418.744	fixation	421.753	6
70	enc	enc51	old07	encoding	427.754	fixation	430.763	1.5
71	ctl	ctl17	nan	control	432.251	fixation	435.26	2
72	enc	enc52	old47	encoding	437.249	fixation	440.258	1.5
73	ctl	ctl18	nan	control	441.746	fixation	444.755	4
74	ctl	ctl19	nan	control	448.75	fixation	451.759	0.5
75	ctl	ctl20	nan	control	452.261	fixation	455.27	6
76	enc	enc53	old63	encoding	461.271	fixation	464.28	0.5
77	enc	enc54	old48	encoding	464.781	fixation	467.79	2.5
78	enc	enc55	old62	encoding	470.281	fixation	473.29	1.5
79	enc	enc56	old27	encoding	474.778	fixation	477.787	2.5
80	ctl	ctl21	nan	control	480.277	fixation	483.286	5.5
81	enc	enc57	old57	encoding	488.786	fixation	491.795	4.5
82	ctl	ctl22	nan	control	496.292	fixation	499.301	2.5
83	enc	enc58	old68	encoding	501.791	fixation	504.8	6.5
84	ctl	ctl23	nan	control	511.286	fixation	514.295	6.5
85	ctl	ctl24	nan	control	520.781	fixation	523.79	1.5
