trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc
1	enc	enc00	nan	8	nan	0	1
2	enc	enc000	nan	9	nan	0	1
3	ctl	ctl0	nan	8	3	2121	0
4	enc	enc01	old54	6	nan	0	1
5	enc	enc02	old07	5	nan	0	1
6	enc	enc03	old16	6	nan	0	1
7	enc	enc04	old72	9	nan	0	1
8	enc	enc05	old53	8	3	174	0
9	enc	enc06	old46	9	nan	0	1
10	enc	enc07	old38	8	nan	0	1
11	ctl	ctl01	nan	8	3	1491	0
12	ctl	ctl02	nan	5	3	1274	0
13	enc	enc08	old43	6	nan	0	1
14	ctl	ctl03	nan	6	3	1302	0
15	enc	enc09	old23	5	nan	0	1
16	enc	enc10	old36	6	3	2902	0
17	ctl	ctl04	nan	8	3	1494	0
18	enc	enc11	old08	6	3	2267	0
19	enc	enc12	old19	8	nan	0	1
20	enc	enc13	old75	5	nan	0	1
21	enc	enc14	old22	9	nan	0	1
22	enc	enc15	old35	9	3	2937	0
23	enc	enc16	old39	5	nan	0	1
24	enc	enc17	old24	5	nan	0	1
25	enc	enc18	old13	5	3	2828	0
26	ctl	ctl05	nan	8	3	1532	0
27	ctl	ctl06	nan	5	3	1462	0
28	enc	enc19	old41	8	3	2833	0
29	enc	enc20	old70	6	nan	0	1
30	enc	enc21	old64	5	nan	0	1
31	ctl	ctl07	nan	5	3	1220	0
32	enc	enc22	old76	6	3	2986	0
33	enc	enc23	old11	5	nan	0	1
34	ctl	ctl08	nan	6	3	1663	0
35	enc	enc24	old09	8	nan	0	1
36	enc	enc25	old45	5	nan	0	1
37	enc	enc26	old62	9	nan	0	1
38	enc	enc27	old49	8	nan	0	1
39	enc	enc28	old21	9	nan	0	1
40	enc	enc29	old33	8	3	2851	0
41	enc	enc30	old55	6	3	2417	0
42	ctl	ctl09	nan	9	3	1290	0
43	ctl	ctl10	nan	8	3	1005	0
44	enc	enc31	old05	9	3	2674	0
45	enc	enc32	old67	6	nan	0	1
46	enc	enc33	old18	9	3	2558	0
47	enc	enc34	old26	6	3	2741	0
48	ctl	ctl11	nan	5	3	1384	0
49	enc	enc35	old71	5	nan	0	1
50	enc	enc36	old04	9	3	2105	0
51	ctl	ctl12	nan	9	3	1182	0
52	enc	enc37	old01	8	3	2523	0
53	ctl	ctl13	nan	6	3	1242	0
54	ctl	ctl14	nan	6	3	929	0
55	ctl	ctl15	nan	6	3	1333	0
56	ctl	ctl16	nan	9	3	1424	0
57	enc	enc38	old40	6	nan	0	1
58	enc	enc39	old59	6	3	2274	0
59	enc	enc40	old57	5	3	2425	0
60	enc	enc41	old68	6	3	2648	0
61	enc	enc42	old58	9	3	2261	0
62	enc	enc43	old14	8	nan	0	1
63	enc	enc44	old34	9	nan	0	1
64	enc	enc45	old15	8	3	747	0
65	enc	enc46	old29	9	nan	0	1
66	enc	enc47	old37	6	3	2355	0
67	enc	enc48	old06	6	3	2541	0
68	enc	enc49	old47	8	3	2883	0
69	enc	enc50	old42	9	nan	0	1
70	enc	enc51	old02	6	nan	0	1
71	ctl	ctl17	nan	8	3	1297	0
72	enc	enc52	old48	5	3	2921	0
73	ctl	ctl18	nan	9	3	1165	0
74	ctl	ctl19	nan	8	3	965	0
75	ctl	ctl20	nan	5	3	1290	0
76	enc	enc53	old65	9	3	2149	0
77	enc	enc54	old52	8	nan	0	1
78	enc	enc55	old56	8	3	2512	0
79	enc	enc56	old28	6	3	2721	0
80	ctl	ctl21	nan	5	3	1153	0
81	enc	enc57	old60	9	3	2838	0
82	ctl	ctl22	nan	8	3	810	0
83	enc	enc58	old78	9	3	2823	0
84	ctl	ctl23	nan	9	3	878	0
85	ctl	ctl24	nan	8	3	1202	0
86	ctl	ctl25	nan	9	3	2169	0
87	ctl	ctl26	nan	5	3	758	0
88	enc	enc59	old61	5	3	2912	0
89	ctl	ctl27	nan	6	3	1375	0
90	ctl	ctl28	nan	6	3	945	0
91	enc	enc60	old63	8	3	2430	0
92	ctl	ctl29	nan	9	3	1477	0
93	enc	enc61	old10	8	3	2422	0
94	enc	enc62	old31	5	3	2669	0
95	enc	enc63	old74	8	nan	0	1
96	ctl	ctl30	nan	8	3	1200	0
97	enc	enc64	old69	9	3	2414	0
98	enc	enc65	old77	8	3	2719	0
99	enc	enc66	old66	8	nan	0	1
100	ctl	ctl31	nan	8	3	965	0
101	ctl	ctl32	nan	5	3	855	0
102	enc	enc67	old12	5	3	2757	0
103	ctl	ctl33	nan	9	3	1003	0
104	ctl	ctl34	nan	9	3	958	0
105	ctl	ctl35	nan	6	3	961	0
106	enc	enc68	old03	9	3	2748	0
107	ctl	ctl36	nan	6	3	981	0
108	ctl	ctl37	nan	5	3	1087	0
109	ctl	ctl38	nan	6	3	1247	0
110	enc	enc69	old30	5	nan	0	1
111	enc	enc70	old50	9	3	2819	0
112	enc	enc71	old27	8	nan	0	1
113	enc	enc72	old25	6	3	2812	0
114	enc	enc73	old73	9	nan	0	1
115	ctl	ctl39	nan	9	3	961	0
116	enc	enc74	old51	5	3	2676	0
117	enc	enc75	old44	6	3	2460	0
118	enc	enc76	old20	5	3	2983	0
119	enc	enc77	old32	5	3	2791	0
120	enc	enc78	old17	8	nan	0	1
