trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc
1	ctl	ctl0	nan	9	3	1675	0
2	enc	enc00	nan	5	3	868	0
3	enc	enc000	nan	9	3	900	0
4	ctl	ctl01	nan	6	3	1137	0
5	enc	enc01	old57	8	3	2149	0
6	enc	enc02	old11	5	3	1121	0
7	enc	enc03	old60	5	3	1586	0
8	enc	enc04	old42	6	3	1104	0
9	enc	enc05	old51	5	3	1555	0
10	enc	enc06	old70	9	3	1504	0
11	ctl	ctl02	nan	5	3	1139	0
12	ctl	ctl03	nan	6	3	1140	0
13	ctl	ctl04	nan	6	3	1216	0
14	ctl	ctl05	nan	9	3	1192	0
15	enc	enc07	old64	6	3	1190	0
16	enc	enc08	old08	8	3	2278	0
17	ctl	ctl06	nan	9	3	1018	0
18	enc	enc09	old46	9	3	1229	0
19	enc	enc10	old03	5	3	1604	0
20	enc	enc11	old36	9	3	1237	0
21	enc	enc12	old32	5	3	1409	0
22	enc	enc13	old71	8	3	1237	0
23	enc	enc14	old67	8	3	998	0
24	enc	enc15	old69	9	3	887	0
25	enc	enc16	old73	8	3	1548	0
26	enc	enc17	old01	5	3	1476	0
27	ctl	ctl07	nan	5	3	1323	0
28	ctl	ctl08	nan	8	3	752	0
29	enc	enc18	old33	8	3	1311	0
30	enc	enc19	old24	8	3	1454	0
31	enc	enc20	old14	5	3	1645	0
32	enc	enc21	old77	9	3	2073	0
33	enc	enc22	old18	9	3	1096	0
34	ctl	ctl09	nan	8	3	717	0
35	enc	enc23	old06	6	3	750	0
36	ctl	ctl10	nan	9	3	853	0
37	enc	enc24	old23	8	3	923	0
38	enc	enc25	old41	8	3	872	0
39	enc	enc26	old17	9	3	1098	0
40	enc	enc27	old49	5	3	508	0
41	enc	enc28	old39	6	3	786	0
42	enc	enc29	old40	9	3	1328	0
43	enc	enc30	old50	8	3	925	0
44	enc	enc31	old35	6	3	999	0
45	enc	enc32	old09	6	3	843	0
46	ctl	ctl11	nan	6	3	892	0
47	enc	enc33	old12	9	3	679	0
48	enc	enc34	old63	8	3	1080	0
49	ctl	ctl12	nan	6	3	873	0
50	enc	enc35	old10	9	3	755	0
51	enc	enc36	old59	8	3	1332	0
52	enc	enc37	old15	9	3	1074	0
53	enc	enc38	old76	6	3	750	0
54	enc	enc39	old25	5	3	837	0
55	ctl	ctl13	nan	5	3	842	0
56	enc	enc40	old22	6	3	620	0
57	ctl	ctl14	nan	9	3	795	0
58	ctl	ctl15	nan	8	3	540	0
59	ctl	ctl16	nan	9	3	533	0
60	enc	enc41	old45	6	3	897	0
61	enc	enc42	old29	8	3	1116	0
62	enc	enc43	old38	9	3	790	0
63	enc	enc44	old68	5	3	1177	0
64	enc	enc45	old56	6	3	839	0
65	enc	enc46	old62	9	3	1321	0
66	ctl	ctl17	nan	8	3	747	0
67	enc	enc47	old74	6	3	688	0
68	enc	enc48	old30	9	3	1167	0
69	ctl	ctl18	nan	5	3	762	0
70	ctl	ctl19	nan	5	3	693	0
71	enc	enc49	old26	6	3	684	0
72	ctl	ctl20	nan	8	3	722	0
73	ctl	ctl21	nan	9	3	529	0
74	enc	enc50	old02	8	3	616	0
75	enc	enc51	old58	9	3	908	0
76	ctl	ctl22	nan	8	3	953	0
77	enc	enc52	old48	8	3	937	0
78	enc	enc53	old19	9	3	1073	0
79	ctl	ctl23	nan	9	3	842	0
80	ctl	ctl24	nan	6	3	808	0
81	enc	enc54	old47	5	3	743	0
82	enc	enc55	old34	8	3	1530	0
83	enc	enc56	old27	5	3	1295	0
84	ctl	ctl25	nan	6	3	695	0
85	enc	enc57	old72	6	3	567	0
86	ctl	ctl26	nan	6	3	594	0
87	ctl	ctl27	nan	9	3	538	0
88	enc	enc58	old20	5	3	653	0
89	enc	enc59	old66	6	3	1186	0
90	enc	enc60	old52	8	3	1492	0
91	ctl	ctl28	nan	5	3	927	0
92	ctl	ctl29	nan	8	3	844	0
93	ctl	ctl30	nan	9	3	506	0
94	ctl	ctl31	nan	6	3	695	0
95	enc	enc61	old37	5	3	1107	0
96	ctl	ctl32	nan	5	3	796	0
97	enc	enc62	old55	5	3	672	0
98	ctl	ctl33	nan	5	3	1176	0
99	enc	enc63	old04	5	3	643	0
100	enc	enc64	old07	9	3	1098	0
101	enc	enc65	old53	9	3	1236	0
102	enc	enc66	old75	5	3	2031	0
103	enc	enc67	old61	8	nan	0	1
104	ctl	ctl34	nan	8	3	957	0
105	enc	enc68	old28	6	3	728	0
106	enc	enc69	old05	6	3	622	0
107	ctl	ctl35	nan	8	3	724	0
108	ctl	ctl36	nan	6	3	496	0
109	enc	enc70	old65	5	3	1230	0
110	ctl	ctl37	nan	5	3	672	0
111	enc	enc71	old44	6	3	553	0
112	enc	enc72	old13	8	3	586	0
113	enc	enc73	old43	9	3	437	0
114	enc	enc74	old21	8	3	864	0
115	enc	enc75	old78	9	3	610	0
116	ctl	ctl38	nan	8	3	527	0
117	ctl	ctl39	nan	9	3	566	0
118	enc	enc76	old54	6	3	697	0
119	enc	enc77	old31	5	3	600	0
120	enc	enc78	old16	6	3	793	0
