0	1	2	3	4	5	6	7	8	stim_resp	stim_rt	stim_acc
1	ctl	ctl0		control	0.088	fixation	3.088	2.0	3.0	2594	0
2	enc	enc00		encoding	5.087	fixation	8.087	3.0	3.0	1045	0
3	enc	enc000		encoding	11.087	fixation	14.087	2.0	3.0	1082	0
4	ctl	ctl01		control	16.087	fixation	19.086	1.0	3.0	1787	0
5	enc	enc01	old61	encoding	20.086	fixation	23.086	8.0	3.0	1494	0
6	enc	enc02	old09	encoding	31.085	fixation	34.085	7.5	3.0	852	0
7	enc	enc03	old62	encoding	41.585	fixation	44.584	0.5	3.0	1708	0
8	enc	enc04	old45	encoding	45.084	fixation	48.084	6.0	3.0	1109	0
9	enc	enc05	old40	encoding	54.084	fixation	57.083	2.0	3.0	1066	0
10	enc	enc06	old78	encoding	59.083	fixation	62.083	2.0	3.0	1894	0
11	ctl	ctl02		control	64.083	fixation	67.083	4.0	3.0	1052	0
12	ctl	ctl03		control	71.082	fixation	74.082	2.5	3.0	1088	0
13	ctl	ctl04		control	76.582	fixation	79.582	1.5	3.0	983	0
14	ctl	ctl05		control	81.081	fixation	84.081	5.0	3.0	927	0
15	enc	enc07	old58	encoding	89.081	fixation	92.081	1.0	3.0	831	0
16	enc	enc08	old06	encoding	93.081	fixation	96.08	3.0	3.0	1144	0
17	ctl	ctl06		control	99.08	fixation	102.08	3.0	3.0	1046	0
18	enc	enc09	old48	encoding	105.08	fixation	108.079	2.5	3.0	833	0
19	enc	enc10	old02	encoding	110.579	fixation	113.579	6.5	3.0	853	0
20	enc	enc11	old31	encoding	120.078	fixation	123.078	2.5	3.0	713	0
21	enc	enc12	old37	encoding	125.578	fixation	128.578	2.0	3.0	1014	0
22	enc	enc13	old67	encoding	130.578	fixation	133.577	4.5	3.0	895	0
23	enc	enc14	old68	encoding	138.077	fixation	141.077	4.5		0	1
24	enc	enc15	old75	encoding	145.576	fixation	148.576	2.5	3.0	920	0
25	enc	enc16	old73	encoding	151.076	fixation	154.076	1.0	3.0	1085	0
26	enc	enc17	old13	encoding	155.076	fixation	158.075	1.5	3.0	2063	0
27	ctl	ctl07		control	159.575	fixation	162.575	4.0	3.0	957	0
28	ctl	ctl08		control	166.575	fixation	169.575	3.0	3.0	1469	0
29	enc	enc18	old35	encoding	172.574	fixation	175.574	1.0	3.0	906	0
30	enc	enc19	old14	encoding	176.574	fixation	179.574	1.0	3.0	1079	0
31	enc	enc20	old26	encoding	180.574	fixation	183.573	0.5		0	1
32	enc	enc21	old70	encoding	184.073	fixation	187.073	3.5	3.0	1859	0
33	enc	enc22	old25	encoding	190.573	fixation	193.573	4.5	3.0	744	0
34	ctl	ctl09		control	198.072	fixation	201.072	9.5	3.0	898	0
35	enc	enc23	old03	encoding	210.571	fixation	213.571	3.5	3.0	1003	0
36	ctl	ctl10		control	217.071	fixation	220.071	4.0	3.0	1461	0
37	enc	enc24	old17	encoding	224.07	fixation	227.07	4.0	3.0	1735	0
38	enc	enc25	old47	encoding	231.07	fixation	234.069	1.0	3.0	1805	0
39	enc	enc26	old15	encoding	235.069	fixation	238.069	6.0	3.0	1026	0
40	enc	enc27	old46	encoding	244.069	fixation	247.068	6.5	3.0	819	0
41	enc	enc28	old28	encoding	253.568	fixation	256.568	2.0		0	1
42	enc	enc29	old51	encoding	258.568	fixation	261.567	1.5	3.0	1101	0
43	enc	enc30	old49	encoding	263.067	fixation	266.067	2.5	3.0	794	0
44	enc	enc31	old29	encoding	268.567	fixation	271.567	4.5	3.0	758	0
45	enc	enc32	old01	encoding	276.066	fixation	279.066	0.5		0	1
46	ctl	ctl11		control	279.566	fixation	282.566	1.0	3.0	1422	0
47	enc	enc33	old08	encoding	283.566	fixation	286.565	1.5	3.0	811	0
48	enc	enc34	old54	encoding	288.065	fixation	291.065	2.0	3.0	785	0
49	ctl	ctl12		control	293.065	fixation	296.065	4.0	3.0	488	0
50	enc	enc35	old07	encoding	300.064	fixation	303.064	2.0	3.0	849	0
51	enc	enc36	old63	encoding	305.064	fixation	308.064	2.5	3.0	895	0
52	enc	enc37	old16	encoding	310.563	fixation	313.563	2.0	3.0	1282	0
53	enc	enc38	old72	encoding	315.563	fixation	318.563	14.5		0	1
