trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	CorrectSource	Stim_RT	onset	stimDurSec	fixOnsetSec	fixlen	trial_type	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
7	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	5.0	0.838	47.065	3.0	50.074	0.5	CTL02	12.002000000000002	6.001000000000005	6.000999999999998	59.067	0.0	6.001000000000005	6.000999999999998	50.074
8	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	6.0	0.807	50.575	3.0	53.584	4.0	CTL03	7.02000000000001	3.510000000000005	3.510000000000005	57.59500000000001	0.0	3.510000000000005	3.510000000000005	53.584
10	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	8.0	0.7909999999999999	63.07899999999999	3.0	66.08800000000001	1.5	CTL04	11.000000000000009	5.5	5.500000000000007	74.07900000000001	0.0	5.5	5.500000000000007	66.08800000000001
13	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	8.0	0.84	79.077	3.0	82.086	0.5	CTL05	13.006	6.503	6.503	92.083	0.0	6.503	6.503	82.086
22	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	5.0	1.026	120.082	3.0	123.091	1.5	CTL06	8.99199999999999	4.495999999999995	4.495999999999995	129.07399999999998	0.0	4.495999999999995	4.495999999999995	123.091
25	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	5.0	0.825	134.091	3.0	137.1	2.5	CTL07	11.0	5.5	5.5	145.091	0.0	5.5	5.5	137.1
33	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	6.0	0.746	181.616	3.0	184.625	0.5	CTL08	13.006	6.503000000000014	6.502999999999986	194.622	0.0	6.503000000000014	6.502999999999986	184.625
34	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	9.0	1.036	185.126	3.0	188.135	1.5	CTL09	7.019999999999982	3.509999999999991	3.509999999999991	192.146	0.0	3.509999999999991	3.509999999999991	188.135
35	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	8.0	0.667	189.623	3.0	192.632	9.5	CTL10	8.994	4.496999999999986	4.497000000000014	198.617	0.0	4.496999999999986	4.497000000000014	192.632
36	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	5.0	0.674	202.127	3.0	205.136	2.0	CTL11	25.00800000000001	12.50400000000002	12.50399999999999	227.135	0.0	12.50400000000002	12.50399999999999	205.136
