	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond	Condition	CorrectSource	Stim_RT
0	11.537	3.0	14.546	5.5	False	CTL01	0	8	0.615
1	20.046	3.0	23.055	0.5	Old65	Enc01	1	6	0.6659999999999999
2	23.555999999999997	3.0	26.565	1.0	Old07	Enc02	1	5	0.708
3	27.552	3.0	30.561	1.0	Old15	Enc03	1	6	0.6
4	31.564	3.0	34.573	1.5	Old69	Enc04	1	9	0.747
5	36.061	3.0	39.07	2.0	Old56	Enc05	1	8	0.642
6	41.059	3.0	44.068000000000005	3.0	Old45	Enc06	1	9	0.62
7	47.06	3.0	50.068999999999996	0.5	False	CTL02	0	5	0.531
8	50.57100000000001	3.0	53.58	4.0	False	CTL03	0	6	0.564
9	57.575	3.0	60.583999999999996	2.5	Old30	Enc07	1	8	0.568
10	63.075	3.0	66.084	1.5	False	CTL04	0	8	0.5
11	67.571	3.0	70.58	2.0	Old43	Enc08	1	6	0.7879999999999999
12	72.57	3.0	75.579	3.5	Old14	Enc09	1	5	0.82
13	79.072	3.0	82.081	0.5	False	CTL05	0	8	0.6859999999999999
14	82.583	3.0	85.59200000000001	2.5	Old37	Enc10	1	6	0.6629999999999999
15	88.083	3.0	91.092	0.5	Old13	Enc11	1	6	0.779
16	91.593	3.0	94.602	1.0	Old22	Enc12	1	8	0.9490000000000001
17	95.588	3.0	98.597	1.5	Old77	Enc13	1	5	0.802
18	100.085	3.0	103.094	2.5	Old23	Enc14	1	9	0.6729999999999999
19	105.585	3.0	108.594	3.0	Old32	Enc15	1	9	0.8290000000000001
20	111.586	3.0	114.595	1.0	Old36	Enc16	1	5	0.779
21	115.581	3.0	118.59	1.5	Old21	Enc17	1	5	0.856
22	120.07799999999999	3.0	123.087	1.5	False	CTL06	0	5	0.615
23	124.575	3.0	127.584	1.0	Old05	Enc18	1	5	0.606
24	128.58700000000002	3.0	131.596	2.5	Old50	Enc19	1	8	0.89
25	134.08700000000002	3.0	137.096	2.5	False	CTL07	0	5	0.59
26	139.58700000000002	3.0	142.596	0.5	Old75	Enc20	1	6	0.89
27	143.097	3.0	146.106	5.5	Old59	Enc21	1	5	1.236
28	151.606	3.0	154.615	5.5	Old74	Enc22	1	6	0.9179999999999999
