	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
0	OLD	fruit_blackberry_new.bmp	Old66	1	1	2.956	6	1581
1	OLD	musical_tuba.bmp	Old50	1	1	2.972	8	764
2	OLD	animal_parrot.bmp	Old09	1	1	2.987	8	4682
3	New	animal_seal.bmp	New38	1	2	1.614	8	4682
4	OLD	kitchen_white strainer.bmp	Old38	1	1	3.493	9	2592
5	New	food_walnut01c.bmp	New34	1	2	1.584	9	2592
6	OLD	kitchen_wooden spoon_old.bmp	Old39	1	1	2.208	6	2999
7	OLD	food_softcheese.bmp	Old24	1	1	1.494	5	857
8	OLD	food_baguette01.bmp	Old14	1	1	1.278	5	570
9	New	musical_bongo drum.bmp	New23	1	2	1.642	5	570
10	OLD	vegie_green capsicum.bmp	Old75	1	1	6.207	9	5542
11	New	vegie_cucumber.bmp	New33	1	2	1.768	9	5542
12	New	food_bread.bmp	New28	1	2	2.033	9	5542
13	OLD	vegie_carrot.bmp	Old78	1	1	1.798	8	518
14	OLD	vegie_corn02.bmp	Old73	1	1	1.272	9	524
15	OLD	sporting_bicycle_old.bmp	Old55	1	1	1.686	6	562
16	New	animal_horse.bmp	New20	1	2	1.185	6	562
17	New	kitchen_fork_old.bmp	New18	1	2	1.193	6	562
18	OLD	sporting_Badminton Racquet.bmp	Old54	1	1	1.808	5	2207
19	OLD	kitchen_pitcher.bmp	Old34	1	1	1.294	5	450
20	OLD	fruit_pineapple_old.bmp	Old70	1	1	3.655	8	1652
21	OLD	food_shellpasta.bmp	Old25	1	1	1.617	8	1943
22	OLD	kitchen_ladle.bmp	Old31	1	1	1.441	9	1103
23	OLD	sporting_skipping rope.bmp	Old63	1	1	1.353	5	426
24	OLD	sporting_fishing rod.bmp	Old59	1	1	1.151	5	482
25	OLD	musical_violin_old.bmp	Old51	1	1	1.268	6	545
26	OLD	animal_chimpanzee.bmp	Old03	1	1	1.361	5	514
27	New	food_bagel01.bmp	New17	1	2	2.676	5	514
28	OLD	fruit_lemon_new.bmp	Old69	0	2	3.889	5	514
29	OLD	kitchen_cookie cutter.bmp	Old30	1	1	1.157	5	446
30	OLD	animal_cheetah.bmp	Old02	1	1	3.386	8	682
31	OLD	animal_farm pig.bmp	Old05	0	2	3.006	8	682
32	New	musical_tambourine_new.bmp	New06	1	2	3.885	8	682
33	OLD	kitchen_peppermill.bmp	Old33	1	1	1.456	9	2484
34	OLD	kitchen_big cooking pot.bmp	Old28	1	1	5.696	5	1916
35	OLD	sporting_snow shoes_old.bmp	Old64	1	1	1.254	8	523
36	New	sporting_golf ball.bmp	New19	1	2	1.565	8	523
37	OLD	vegie_garlic01a.bmp	Old74	1	1	1.206	5	404
38	OLD	sporting_mini-trampoline.bmp	Old61	1	1	1.179	6	491
39	New	kitchen_ramekin.bmp	New13	1	2	4.031	6	491
40	OLD	food_toast.bmp	Old26	1	1	1.468	5	440
41	OLD	food_cracker02.bmp	Old18	1	1	3.054	6	955
42	New	kitchen_toaster_old.bmp	New30	1	2	1.315	6	955
43	OLD	sporting_soccer ball_new.bmp	Old65	1	1	1.334	9	472
44	OLD	sporting_footballhelmet.bmp	Old57	1	1	3.844	5	3138
45	OLD	musical_triangle.bmp	Old49	1	1	1.196	5	491
46	New	musical_uculele_new.bmp	New39	0	1	5.743	8	488
47	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	2.131	6	1437
48	New	kitchen_kettle_new.bmp	New24	1	2	1.963	6	1437
49	OLD	food_bottleofredwine01.bmp	Old15	1	1	1.291	8	471
50	OLD	musical_piano_old.bmp	Old48	1	1	1.435	6	2048
51	OLD	fruit_watermelon_old.bmp	Old71	1	1	3.573	9	590
52	New	fruit_cherry.bmp	Old67	1	1	1.301	5	289
53	OLD	animal_camel_new.bmp	Old01	1	1	1.156	8	485
54	New	animal_pigeon.bmp	New32	1	2	1.377	8	485
55	OLD	food_pickle01a.bmp	Old22	1	1	4.273	9	468
56	OLD	sporting_karate clothing.bmp	Old60	1	1	1.328	9	436
57	New	musical_bagpipes.bmp	New35	1	2	1.336	9	436
58	New	musical_zamponia windflute.bmp	New29	1	2	2.066	9	436
59	OLD	sporting_rollerblade.bmp	Old62	1	1	1.254	6	1683
60	New	sporting_basketball_new.bmp	New14	1	2	1.839	6	1683
61	New	kitchen_baking spatula.bmp	New01	1	2	1.036	6	1683
62	OLD	Kitchen_apron.bmp	Old27	1	1	1.298	6	453
63	OLD	sporting_americanfootball.bmp	Old53	1	1	4.754	9	1099
64	New	sporting_weighlifting.bmp	New25	1	2	1.309	9	1099
65	New	sporting_baseball bat_new.bmp	New08	1	2	1.384	9	1099
66	OLD	food_pecan02.bmp	Old21	0	2	5.616	9	1099
67	OLD	musical_double bass.bmp	Old45	1	1	2.454	8	931
68	OLD	kitchen_scrubbing brush.bmp	Old36	1	1	1.356	5	357
69	New	vegie_broccoli.bmp	New36	0	1	1.182	6	598
70	New	fruit_rasberry.bmp	New10	1	2	1.245	6	598
71	OLD	musical_accordion_old.bmp	Old41	0	2	1.634	6	598
72	OLD	animal_frog.bmp	Old06	1	1	1.127	6	658
73	OLD	musical_drums_old.bmp	Old46	1	1	1.335	6	1296
74	New	animal_giraffe.bmp	New03	1	2	1.283	6	1296
75	New	fruit_granny smith apple.bmp	New16	1	2	1.398	6	1296
76	OLD	musical_harmonica_new.bmp	Old47	1	1	3.365	8	662
77	New	food_pizza.bmp	New22	1	2	1.731	8	662
78	New	animal_dolphin_old.bmp	New09	1	2	0.964	8	662
79	OLD	animal_zebra_old.bmp	Old13	0	2	0.821	8	662
80	New	sporting_flippers.bmp	New02	1	2	0.891	8	662
81	OLD	kitchen_plate.bmp	Old35	1	1	1.95	8	1616
82	OLD	animal_siamese cat.bmp	Old12	1	1	1.293	5	1369
83	OLD	animal_monarch_old.bmp	Old08	1	1	1.273	6	421
84	New	sporting_windsurf.bmp	New31	1	2	8.595	6	421
85	New	fruit_apricot_new.bmp	New04	1	2	0.963	6	421
86	OLD	animal_dalmation_old.bmp	Old04	1	1	1.203	8	706
87	OLD	hard_musical_recorder.bmp	Old40	1	1	1.421	8	563
88	OLD	food_frenchfries.bmp	Old20	1	1	1.147	9	493
89	OLD	musical_xylophone_old.bmp	Old52	1	1	1.2	6	480
90	OLD	kitchen_coffee pot.bmp	Old29	0	2	3.61	6	480
91	New	food_drink.bmp	New05	1	2	1.337	6	480
92	OLD	vegie_radish.bmp	Old77	1	1	1.275	5	431
93	OLD	kitchen_tea cup and saucer.bmp	Old37	1	1	1.229	5	427
94	OLD	animal_sheep.bmp	Old11	0	2	2.769	5	427
95	OLD	food_croissant01.bmp	Old19	1	1	2.641	6	2199
96	New	animal_ostrich.bmp	New26	1	2	1.254	6	2199
97	New	kitchen_spatula_old.bmp	New37	1	2	1.075	6	2199
98	OLD	vegie_mushroom.bmp	Old76	1	1	1.463	5	2284
99	OLD	musical_clarinet_new.bmp	Old44	1	1	2.511	8	1226
100	New	kitchen_garlic press.bmp	New07	1	2	1.344	8	1226
101	OLD	food_chocolatemilk.bmp	Old17	1	1	1.626	5	328
102	New	musical_french horn_old.bmp	New12	1	2	1.346	5	328
103	OLD	musical_harp_new.bmp	Old43	1	1	1.491	9	526
104	OLD	animal_penguin.bmp	Old10	1	1	1.441	5	2302
105	OLD	sporting_hockey stick_old.bmp	Old58	0	2	3.153	5	2302
106	OLD	kitchen_martini glass.bmp	Old32	1	1	1.17	6	378
107	OLD	food_rawchicken.bmp	Old23	1	1	1.41	6	448
108	OLD	animal_lion_new.bmp	Old07	1	1	1.03	8	467
109	New	vegie_snowpea01.bmp	New27	1	2	1.783	8	467
110	New	vegie_pumpkin.bmp	New21	1	2	1.247	8	467
111	New	food_cookie01.bmp	New11	1	2	1.212	8	467
112	OLD	food_candy.bmp	Old16	1	1	1.363	9	515
113	OLD	fruit_green grapes.bmp	Old68	1	1	1.35	6	1071
114	OLD	sporting_boxing_gloves.bmp	Old56	1	1	2.491	5	2567
115	New	animal_gorilla.bmp	New15	1	2	1.783	5	2567
116	OLD	vegie_cauliflower.bmp	Old72	1	1	1.255	6	404
