	Condition	CorrectSource	Stim_RT	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond
0	0	6	0.86	16.04	3.0	19.039	1.0	False	CTL01
1	1	8	0.8859999999999999	20.039	3.0	23.039	8.0	Old54	Enc01
2	1	5	0.715	31.038	3.0	34.038000000000004	7.5	Old07	Enc02
3	1	5	1.01	41.538000000000004	3.0	44.537	0.5	Old63	Enc03
4	1	6	1.305	45.037	3.0	48.037	6.0	Old45	Enc04
5	1	5	0.878	54.037	3.0	57.036	2.0	Old52	Enc05
6	1	9	0.812	59.036	3.0	62.036	2.0	Old72	Enc06
7	0	5	0.785	64.036	3.0	67.036	4.0	False	CTL02
8	0	6	0.664	71.035	3.0	74.035	2.5	False	CTL03
9	0	6	0.784	76.535	3.0	79.53399999999998	1.5	False	CTL04
10	0	9	0.978	81.03399999999998	3.0	84.03399999999998	5.0	False	CTL05
11	1	6	0.955	89.03399999999998	3.0	92.033	1.0	Old61	Enc07
12	1	8	0.87	93.033	3.0	96.033	3.0	Old13	Enc08
13	0	9	0.9470000000000001	99.033	3.0	102.03299999999999	3.0	False	CTL06
14	1	9	0.713	105.03200000000001	3.0	108.03200000000001	2.5	Old48	Enc09
15	1	5	0.853	110.53200000000001	3.0	113.53200000000001	6.5	Old08	Enc10
16	1	9	0.495	120.031	3.0	123.031	2.5	Old36	Enc11
17	1	5	0.904	125.531	3.0	128.53	2.0	Old31	Enc12
18	1	8	0.89	130.53	3.0	133.53	4.5	Old77	Enc13
19	1	8	0.73	138.03	3.0	141.029	4.5	Old67	Enc14
20	1	9	0.848	145.529	3.0	148.529	2.5	Old69	Enc15
21	1	8	1.149	151.029	3.0	154.028	1.0	Old74	Enc16
22	1	5	1.081	155.028	3.0	158.028	1.5	Old01	Enc17
23	0	5	1.266	159.528	3.0	162.528	4.0	False	CTL07
24	0	8	0.774	166.52700000000002	3.0	169.52700000000002	3.0	False	CTL08
25	1	8	0.7190000000000001	172.52700000000002	3.0	175.52700000000002	1.0	Old32	Enc18
26	1	8	0.706	176.52700000000002	3.0	179.52599999999998	1.0	Old17	Enc19
27	1	5	0.868	180.52599999999998	3.0	183.52599999999998	0.5	Old26	Enc20
28	1	9	0.94	184.02599999999998	3.0	187.02599999999998	3.5	Old66	Enc21
29	1	9	0.711	190.525	3.0	193.525	4.5	Old16	Enc22
30	0	8	0.6629999999999999	198.025	3.0	201.024	9.5	False	CTL09
31	1	6	0.626	210.524	3.0	213.523	3.5	Old09	Enc23
32	0	9	1.298	217.023	3.0	220.023	4.0	False	CTL10
