	Condition	CorrectSource	Stim_RT	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond
0	1	6	0.0	14.568	3.0	17.567	6.5	Old55	Enc01
1	1	5	0.0	24.066999999999997	3.0	27.066	2.0	Old05	Enc02
2	1	6	0.0	29.066	3.0	32.066	1.5	Old23	Enc03
3	1	9	0.0	33.566	3.0	36.566	1.0	Old74	Enc04
4	1	8	0.0	37.565	3.0	40.565	8.5	Old56	Enc05
5	1	9	0.0	49.06399999999999	3.0	52.06399999999999	2.0	Old42	Enc06
6	1	8	0.0	54.06399999999999	3.0	57.06399999999999	2.5	Old35	Enc07
7	0	8	0.0	59.563	3.0	62.563	1.5	False	CTL01
8	0	5	0.0	64.063	3.0	67.063	1.5	False	CTL02
9	1	6	0.0	68.562	3.0	71.562	0.5	Old46	Enc08
10	0	6	0.0	72.062	3.0	75.062	0.5	False	CTL03
11	1	5	0.0	75.562	3.0	78.562	2.0	Old16	Enc09
12	1	6	0.0	80.561	3.0	83.561	1.5	Old34	Enc10
13	0	8	0.0	85.061	3.0	88.061	2.0	False	CTL04
14	1	6	0.0	90.06	3.0	93.06	7.5	Old12	Enc11
15	1	8	0.0	100.559	3.0	103.559	5.0	Old22	Enc12
16	1	5	0.0	108.559	3.0	111.55799999999999	1.5	Old66	Enc13
17	1	9	0.0	113.05799999999999	3.0	116.05799999999999	3.0	Old14	Enc14
18	1	9	0.0	119.05799999999999	3.0	122.057	1.0	Old36	Enc15
19	1	5	0.0	123.057	3.0	126.057	1.5	Old33	Enc16
20	1	5	0.0	127.557	3.0	130.55700000000002	8.5	Old18	Enc17
21	1	5	0.0	139.056	3.0	142.056	2.0	Old03	Enc18
22	0	8	0.0	144.055	3.0	147.055	1.0	False	CTL05
23	0	5	0.0	148.055	3.0	151.055	1.5	False	CTL06
24	1	8	0.0	152.555	3.0	155.554	6.5	Old40	Enc19
25	1	6	0.0	162.054	3.0	165.053	1.5	Old76	Enc20
26	1	5	0.0	166.553	3.0	169.553	6.5	Old53	Enc21
27	0	5	0.0	176.05200000000002	3.0	179.05200000000002	3.5	False	CTL07
28	1	6	0.0	182.55200000000002	3.0	185.55200000000002	8.0	Old71	Enc22
29	1	5	0.0	193.551	3.0	196.551	13.0	Old13	Enc23
30	0	6	0.0	209.549	3.0	212.549	1.0	False	CTL08
31	1	8	0.0	213.549	3.0	216.549	2.5	Old08	Enc24
32	1	5	0.0	219.048	3.0	222.048	1.5	Old41	Enc25
33	1	9	0.0	223.548	3.0	226.548	3.5	Old62	Enc26
34	1	8	0.0	230.047	3.0	233.047	2.0	Old43	Enc27
35	1	9	0.0	235.047	3.0	238.047	3.0	Old24	Enc28
36	1	8	0.0	241.046	3.0	244.046	7.0	Old28	Enc29
