	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
0	25.070999999999998	3.0	28.070999999999998	0.5	Old55	Enc01	OLD	musical_tuba.bmp	Old50	1	1	5.702000000000001	6	2033
1	28.570999999999998	3.0	31.57	0.5	False	CTL01	OLD	fruit_green grapes.bmp	Old68	1	1	3.502	6	2417
2	32.07	3.0	35.07	4.5	Old02	Enc02	OLD	vegie_cauliflower.bmp	Old72	1	1	3.806	9	2764
3	39.57	3.0	42.568999999999996	2.0	Old62	Enc03	OLD	sporting_rollerblade.bmp	Old62	1	1	3.259	5	3176
4	44.568999999999996	3.0	47.568999999999996	3.5	False	CTL02	New	fruit_granny smith apple.bmp	New16	1	2	3.2560000000000002	5	3176
5	51.068999999999996	3.0	54.068000000000005	1.5	False	CTL03	OLD	sporting_bicycle_old.bmp	Old55	0	2	7.22	5	3176
6	55.568000000000005	3.0	58.568000000000005	2.5	Old66	Enc04	OLD	sporting_fishing rod.bmp	Old59	1	1	4.386	8	1984
7	61.068000000000005	3.0	64.067	1.0	Old73	Enc05	OLD	food_frenchfries.bmp	Old20	1	1	4.159	8	3344
8	65.067	3.0	68.067	3.0	False	CTL04	OLD	musical_clarinet_new.bmp	Old44	1	1	2.3040000000000003	6	1707
9	71.067	3.0	74.066	4.0	Old43	Enc06	OLD	kitchen_wooden spoon_old.bmp	Old39	0	2	6.0360000000000005	6	1707
10	78.066	3.0	81.066	0.5	False	CTL05	OLD	sporting_mini-trampoline.bmp	Old61	1	1	2.539	9	3525
11	81.566	3.0	84.566	2.5	Old65	Enc07	New	animal_seal.bmp	New38	1	2	3.693	9	3525
12	87.065	3.0	90.065	2.5	False	CTL06	New	musical_bongo drum.bmp	New23	1	2	1.679	9	3525
13	92.565	3.0	95.565	3.5	False	CTL07	OLD	food_shellpasta.bmp	Old25	1	1	3.0260000000000002	6	3120
14	99.064	3.0	102.064	1.0	Old07	Enc08	OLD	Kitchen_apron.bmp	Old27	0	2	1.425	6	3120
15	103.064	3.0	106.064	2.0	Old72	Enc09	OLD	fruit_watermelon_old.bmp	Old71	1	1	2.887	8	2827
16	108.06299999999999	3.0	111.06299999999999	0.5	Old10	Enc10	OLD	kitchen_martini glass.bmp	Old32	1	1	1.9680000000000002	6	1416
17	111.56299999999999	3.0	114.56299999999999	4.5	Old29	Enc11	New	kitchen_toaster_old.bmp	New30	1	2	3.3169999999999997	6	1416
18	119.06200000000001	3.0	122.06200000000001	7.0	Old27	Enc12	OLD	animal_zebra_old.bmp	Old13	1	1	2.9330000000000003	9	2815
19	129.062	3.0	132.061	0.5	Old52	Enc13	OLD	kitchen_scrubbing brush.bmp	Old36	1	1	7.501	5	1736
20	132.561	3.0	135.561	2.0	Old49	Enc14	OLD	animal_penguin.bmp	Old10	1	1	3.2739999999999996	5	2223
21	137.561	3.0	140.561	1.0	Old44	Enc15	OLD	vegie_green capsicum.bmp	Old75	0	2	3.404	5	2223
22	141.56	3.0	144.56	1.0	Old45	Enc16	New	vegie_pumpkin.bmp	New21	1	2	1.8730000000000002	5	2223
23	145.56	3.0	148.56	3.5	Old08	Enc17	OLD	vegie_garlic01a.bmp	Old74	1	1	2.468	8	1457
24	152.06	3.0	155.059	1.0	False	CTL08	OLD	animal_siamese cat.bmp	Old12	1	1	5.045	6	1066
25	156.059	3.0	159.059	2.0	Old36	Enc18	OLD	kitchen_tea cup and saucer.bmp	Old37	1	1	2.173	5	4502
26	161.059	3.0	164.058	0.5	Old22	Enc19	New	kitchen_garlic press.bmp	New07	1	2	1.671	5	4502
27	164.558	3.0	167.558	3.5	Old17	Enc20	New	musical_bagpipes.bmp	New35	1	2	2.537	5	4502
28	171.058	3.0	174.058	7.0	False	CTL09	New	animal_horse.bmp	New20	1	2	1.49	5	4502
29	181.05700000000002	3.0	184.05700000000002	2.5	Old41	Enc21	OLD	vegie_mushroom.bmp	Old76	1	1	3.18	8	1163
30	186.55599999999998	3.0	189.55599999999998	5.0	Old21	Enc22	OLD	kitchen_plate.bmp	Old35	0	2	2.298	8	1163
31	194.55599999999998	3.0	197.555	1.0	Old05	Enc23	OLD	food_bottleofredwine01.bmp	Old15	1	1	1.436	9	1321
32	198.555	3.0	201.555	10.0	Old20	Enc24	New	fruit_rasberry.bmp	New10	1	2	4.498	9	1321
33	211.554	3.0	214.554	1.5	Old76	Enc25	OLD	animal_camel_new.bmp	Old01	1	1	2.116	6	2655
34	216.054	3.0	219.053	0.5	Old23	Enc26	OLD	sporting_americanfootball.bmp	Old53	1	1	1.899	8	1270
35	219.553	3.0	222.553	2.5	Old78	Enc27	OLD	animal_lion_new.bmp	Old07	1	1	2.8169999999999997	8	4752
36	225.053	3.0	228.053	3.5	Old38	Enc28	New	sporting_golf ball.bmp	New19	1	2	2.056	8	4752
37	231.55200000000002	3.0	234.55200000000002	1.0	False	CTL10	New	animal_gorilla.bmp	New15	0	1	2.307	9	1470
38	235.55200000000002	3.0	238.55200000000002	0.5	False	CTL11	OLD	food_pickle01a.bmp	Old22	1	1	2.7289999999999996	8	1691
39	239.05200000000002	3.0	242.051	1.5	False	CTL12	New	kitchen_kettle_new.bmp	New24	1	2	6.141	8	1691
40	243.551	3.0	246.551	7.0	False	CTL13	OLD	animal_sheep.bmp	Old11	1	1	2.166	5	2855
41	253.55	3.0	256.55	7.0	Old67	Enc29	OLD	kitchen_coffee pot.bmp	Old29	1	1	1.899	9	2126
42	263.55	3.0	266.54900000000004	2.0	Old70	Enc30	OLD	food_candy.bmp	Old16	1	1	1.534	6	1824
43	268.54900000000004	3.0	271.54900000000004	6.5	False	CTL14	New	sporting_flippers.bmp	New02	1	2	1.8219999999999998	6	1824
44	278.048	3.0	281.048	3.5	Old30	Enc31	OLD	sporting_soccer ball_new.bmp	Old65	1	1	3.4019999999999997	6	2049
45	284.548	3.0	287.547	2.5	Old04	Enc32	New	musical_tambourine_new.bmp	New06	1	2	1.9080000000000001	6	2049
46	290.047	3.0	293.047	4.0	Old03	Enc33	New	sporting_basketball_new.bmp	New14	0	1	2.39	8	1814
47	297.047	3.0	300.046	3.5	Old53	Enc34	New	fruit_cherry.bmp	Old67	1	1	1.883	9	5447
48	303.546	3.0	306.546	1.0	False	CTL15	New	food_cookie01.bmp	New11	1	2	3.97	9	5447
49	307.546	3.0	310.545	6.5	Old12	Enc35	OLD	food_toast.bmp	Old26	1	1	2.201	8	3208
50	317.045	3.0	320.04400000000004	7.5	False	CTL16	OLD	food_softcheese.bmp	Old24	1	1	2.9819999999999998	5	1534
51	327.54400000000004	3.0	330.54400000000004	2.5	False	CTL17	New	animal_ostrich.bmp	New26	1	2	1.71	5	1534
52	333.043	3.0	336.043	1.5	Old59	Enc36	OLD	musical_triangle.bmp	Old49	0	2	1.536	5	1534
53	337.543	3.0	340.543	1.0	Old14	Enc37	New	vegie_snowpea01.bmp	New27	1	2	3.5839999999999996	5	1534
54	341.543	3.0	344.542	3.0	Old51	Enc38	OLD	animal_dalmation_old.bmp	Old04	1	1	4.151	6	1208
55	347.542	3.0	350.542	2.5	False	CTL18	OLD	musical_piano_old.bmp	Old48	1	1	1.774	6	1302
56	353.042	3.0	356.041	1.0	Old24	Enc39	OLD	food_cracker02.bmp	Old18	1	1	2.447	5	2812
57	357.041	3.0	360.041	9.0	Old25	Enc40	OLD	hard_musical_recorder.bmp	Old40	1	1	3.722	9	4868
58	369.04	3.0	372.04	1.5	Old77	Enc41	OLD	kitchen_pitcher.bmp	Old34	1	1	1.791	8	2215
59	373.54	3.0	376.539	8.5	Old34	Enc42	New	food_walnut01c.bmp	New34	1	2	2.1959999999999997	8	2215
60	385.039	3.0	388.038	8.0	Old39	Enc43	OLD	sporting_skipping rope.bmp	Old63	1	1	3.5780000000000003	6	505
61	396.038	3.0	399.037	1.5	False	CTL19	New	food_bagel01.bmp	New17	1	2	1.554	6	505
62	400.537	3.0	403.537	5.0	Old46	Enc44	New	food_pizza.bmp	New22	1	2	1.298	6	505
63	408.537	3.0	411.536	1.0	False	CTL20	OLD	musical_harp_new.bmp	Old43	1	1	1.922	9	1845
64	412.536	3.0	415.536	3.0	False	CTL21	OLD	musical_accordion_old.bmp	Old41	0	2	3.576	9	1845
65	418.536	3.0	421.535	5.0	Old60	Enc45	OLD	kitchen_white strainer.bmp	Old38	1	1	1.655	6	732
66	426.535	3.0	429.535	0.5	False	CTL22	OLD	food_croissant01.bmp	Old19	1	1	1.7080000000000002	6	2135
67	430.035	3.0	433.034	1.5	Old63	Enc46	New	sporting_baseball bat_new.bmp	New08	1	2	4.216	6	2135
68	434.534	3.0	437.534	0.5	Old47	Enc47	OLD	food_chocolatemilk.bmp	Old17	0	2	1.3330000000000002	6	2135
69	438.034	3.0	441.034	2.0	Old28	Enc48	OLD	kitchen_cookie cutter.bmp	Old30	0	2	1.79	6	2135
70	443.033	3.0	446.033	1.5	Old16	Enc49	OLD	sporting_boxing_gloves.bmp	Old56	1	1	2.508	5	2927
71	447.533	3.0	450.533	1.0	Old06	Enc50	OLD	musical_drums_old.bmp	Old46	0	2	1.84	5	2927
72	451.533	3.0	454.532	2.5	Old57	Enc51	OLD	animal_frog.bmp	Old06	1	1	1.676	8	1448
73	457.032	3.0	460.032	5.5	Old71	Enc52	New	food_bread.bmp	New28	1	2	4.268	8	1448
74	465.531	3.0	468.531	2.5	False	CTL23	OLD	sporting_footballhelmet.bmp	Old57	1	1	1.567	6	2208
75	471.031	3.0	474.031	1.5	Old15	Enc53	OLD	animal_parrot.bmp	Old09	1	1	5.5489999999999995	5	1183
76	475.531	3.0	478.53	0.5	False	CTL24	OLD	animal_cheetah.bmp	Old02	1	1	4.237	8	563
77	479.03	3.0	482.03	3.0	Old74	Enc54	New	fruit_apricot_new.bmp	New04	1	2	2.642	8	563
78	485.03	3.0	488.029	3.5	Old31	Enc55	New	animal_dolphin_old.bmp	New09	1	2	1.486	8	563
79	491.529	3.0	494.529	7.5	Old37	Enc56	OLD	sporting_snow shoes_old.bmp	Old64	0	2	4.768	8	563
80	502.028	3.0	505.028	2.5	Old50	Enc57	New	vegie_cucumber.bmp	New33	0	1	3.6239999999999997	9	550
81	507.528	3.0	510.527	0.5	False	CTL25	OLD	fruit_pineapple_old.bmp	Old70	1	1	1.357	8	525
82	511.027	3.0	514.0269999999998	1.0	Old18	Enc58	OLD	food_rawchicken.bmp	Old23	1	1	1.5190000000000001	9	1576
83	515.0269999999998	3.0	518.0269999999998	4.0	Old48	Enc59	New	musical_uculele_new.bmp	New39	0	1	1.735	5	4561
84	522.026	3.0	525.026	11.0	Old75	Enc60	OLD	fruit_lemon_new.bmp	Old69	1	1	1.536	9	1377
85	536.525	3.0	539.525	0.5	False	CTL26	New	kitchen_fork_old.bmp	New18	1	2	1.456	9	1377
86	540.025	3.0	543.025	4.0	False	CTL27	OLD	food_pecan02.bmp	Old21	1	1	1.4040000000000001	9	1547
87	547.024	3.0	550.024	0.5	False	CTL28	OLD	animal_monarch_old.bmp	Old08	1	1	1.5230000000000001	5	1357
88	550.524	3.0	553.524	2.5	Old33	Enc61	OLD	fruit_blackberry_new.bmp	Old66	1	1	1.876	9	2183
89	556.023	3.0	559.023	3.0	Old56	Enc62	OLD	vegie_corn02.bmp	Old73	1	1	3.4219999999999997	5	1252
90	562.023	3.0	565.023	1.0	False	CTL29	OLD	vegie_carrot.bmp	Old78	1	1	2.2159999999999997	5	2007
91	566.0219999999998	3.0	569.0219999999998	2.0	Old11	Enc63	OLD	sporting_karate clothing.bmp	Old60	1	1	1.693	6	2016
92	571.0219999999998	3.0	574.0219999999998	0.5	Old13	Enc64	OLD	musical_violin_old.bmp	Old51	1	1	2.9339999999999997	5	5424
93	574.5219999999998	3.0	577.521	7.0	False	CTL30	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	1.9569999999999999	8	918
94	584.521	3.0	587.521	0.5	Old61	Enc65	OLD	animal_farm pig.bmp	Old05	1	1	1.7269999999999999	6	2553
95	588.021	3.0	591.02	0.5	Old42	Enc66	New	food_drink.bmp	New05	1	2	1.6880000000000002	6	2553
96	591.52	3.0	594.52	0.5	False	CTL31	OLD	kitchen_ladle.bmp	Old31	1	1	2.282	8	2486
