	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond	Condition	CorrectSource	Stim_RT
0	25.076999999999998	3.0	28.076	0.5	Old54	Enc01	1	8	1.598
1	28.576	3.0	31.576	0.5	False	CTL01	0	6	1.81
2	32.076	3.0	35.076	4.5	Old10	Enc02	1	5	1.426
3	39.575	3.0	42.575	2.0	Old63	Enc03	1	5	1.7819999999999998
4	44.575	3.0	47.575	3.5	False	CTL02	0	5	1.125
5	51.074	3.0	54.074	1.5	False	CTL03	0	6	0.997
6	55.574	3.0	58.574	2.5	Old72	Enc04	1	6	1.537
7	61.073	3.0	64.07300000000001	1.0	Old77	Enc05	1	5	1.1640000000000001
8	65.07300000000001	3.0	68.07300000000001	3.0	False	CTL04	0	6	1.643
9	71.07300000000002	3.0	74.072	4.0	Old43	Enc06	1	9	1.466
10	78.072	3.0	81.072	0.5	False	CTL05	0	9	0.779
11	81.572	3.0	84.571	2.5	Old61	Enc07	1	6	1.3359999999999999
12	87.071	3.0	90.071	2.5	False	CTL06	0	9	1.5619999999999998
13	92.571	3.0	95.57	3.5	False	CTL07	0	5	0.685
14	99.07	3.0	102.07	1.0	Old05	Enc08	1	8	1.4
15	103.07	3.0	106.069	2.0	Old75	Enc09	1	9	1.219
16	108.069	3.0	111.069	0.5	Old03	Enc10	1	5	1.578
17	111.569	3.0	114.569	4.5	Old31	Enc11	1	9	2.241
18	119.068	3.0	122.068	7.0	Old34	Enc12	1	5	1.561
19	129.067	3.0	132.067	0.5	Old40	Enc13	1	8	1.645
20	132.567	3.0	135.567	2.0	Old51	Enc14	1	8	1.18
21	137.567	3.0	140.566	1.0	Old46	Enc15	1	9	1.245
22	141.566	3.0	144.566	1.0	Old45	Enc16	1	8	1.3880000000000001
23	145.566	3.0	148.566	3.5	Old02	Enc17	1	5	1.44
24	152.065	3.0	155.065	1.0	False	CTL08	0	8	0.9329999999999999
25	156.065	3.0	159.065	2.0	Old38	Enc18	1	8	1.521
26	161.065	3.0	164.06400000000002	0.5	Old17	Enc19	1	8	1.6780000000000002
27	164.56400000000002	3.0	167.56400000000002	3.5	Old14	Enc20	1	5	1.946
28	171.06400000000002	3.0	174.063	7.0	False	CTL09	0	8	1.3019999999999998
29	181.063	3.0	184.062	2.5	Old47	Enc21	1	9	1.338
30	186.562	3.0	189.562	5.0	Old22	Enc22	1	9	1.76
31	194.56099999999998	3.0	197.56099999999998	1.0	Old08	Enc23	1	6	0.9329999999999999
32	198.56099999999998	3.0	201.56099999999998	10.0	Old15	Enc24	1	8	1.531
33	211.56	3.0	214.56	1.5	Old76	Enc25	1	8	0.915
34	216.06	3.0	219.05900000000003	0.5	Old20	Enc26	1	9	1.064
35	219.55900000000003	3.0	222.55900000000003	2.5	Old67	Enc27	1	5	1.3319999999999999
36	225.05900000000003	3.0	228.058	3.5	Old32	Enc28	1	6	1.012
37	231.558	3.0	234.558	1.0	False	CTL10	0	9	1.0
38	235.558	3.0	238.558	0.5	False	CTL11	0	6	0.9079999999999999
39	239.05700000000002	3.0	242.05700000000002	1.5	False	CTL12	0	6	1.395
40	243.55700000000002	3.0	246.55700000000002	7.0	False	CTL13	0	5	0.632
41	253.55599999999998	3.0	256.556	7.0	Old73	Enc29	1	9	1.484
42	263.555	3.0	266.555	2.0	Old70	Enc30	1	8	1.046
43	268.555	3.0	271.555	6.5	False	CTL14	0	9	0.9590000000000001
44	278.05400000000003	3.0	281.05400000000003	3.5	Old27	Enc31	1	6	1.485
45	284.553	3.0	287.553	2.5	Old09	Enc32	1	6	1.496
46	290.053	3.0	293.053	4.0	Old04	Enc33	1	9	1.6159999999999999
47	297.052	3.0	300.052	3.5	Old56	Enc34	1	8	2.279
48	303.552	3.0	306.551	1.0	False	CTL15	0	8	0.0
49	307.551	3.0	310.551	6.5	Old13	Enc35	1	9	0.9079999999999999
50	317.051	3.0	320.05	7.5	False	CTL16	0	9	0.77
51	327.55	3.0	330.54900000000004	2.5	False	CTL17	0	8	0.741
52	333.04900000000004	3.0	336.04900000000004	1.5	Old53	Enc36	1	8	0.877
53	337.54900000000004	3.0	340.548	1.0	Old19	Enc37	1	9	1.476
54	341.548	3.0	344.548	3.0	Old50	Enc38	1	6	1.699
55	347.548	3.0	350.548	2.5	False	CTL18	0	5	0.7390000000000001
56	353.04699999999997	3.0	356.04699999999997	1.0	Old26	Enc39	1	5	1.126
57	357.04699999999997	3.0	360.04699999999997	9.0	Old21	Enc40	1	6	2.177
58	369.046	3.0	372.046	1.5	Old68	Enc41	1	6	1.092
59	373.545	3.0	376.545	8.5	Old35	Enc42	1	8	1.238
60	385.04400000000004	3.0	388.04400000000004	8.0	Old29	Enc43	1	9	1.374
