	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond	Condition	CorrectSource	Stim_RT
0	16.023	3.0	19.032	1.0	False	CTL01	0	6	0.888
1	20.035	3.0	23.044	8.0	Old63	Enc01	1	8	1.02
2	31.034000000000002	3.0	34.043	7.5	Old03	Enc02	1	5	0.693
3	41.532	3.0	44.541000000000004	0.5	Old62	Enc03	1	5	0.9940000000000001
4	45.043	3.0	48.052	6.0	Old50	Enc04	1	6	1.0590000000000002
5	54.053000000000004	3.0	57.062	2.0	Old44	Enc05	1	5	1.137
6	59.051	3.0	62.06	2.0	Old71	Enc06	1	9	0.963
7	64.05	3.0	67.059	4.0	False	CTL02	0	5	0.852
8	71.054	3.0	74.063	2.5	False	CTL03	0	6	0.76
9	76.554	3.0	79.563	1.5	False	CTL04	0	6	0.7879999999999999
10	81.05	3.0	84.059	5.0	False	CTL05	0	9	0.9390000000000001
11	89.05799999999998	3.0	92.067	1.0	Old54	Enc07	1	6	0.715
12	93.07	3.0	96.079	3.0	Old02	Enc08	1	8	1.063
13	99.071	3.0	102.08	3.0	False	CTL06	0	9	0.774
14	105.072	3.0	108.081	2.5	Old41	Enc09	1	9	0.765
15	110.572	3.0	113.581	6.5	Old06	Enc10	1	5	0.8809999999999999
16	120.084	3.0	123.09299999999999	2.5	Old33	Enc11	1	9	1.4
17	125.584	3.0	128.593	2.0	Old37	Enc12	1	5	0.78
18	130.582	3.0	133.591	4.5	Old67	Enc13	1	8	0.67
19	138.088	3.0	141.097	4.5	Old74	Enc14	1	8	0.836
20	145.593	3.0	148.602	2.5	Old76	Enc15	1	9	0.843
21	151.093	3.0	154.102	1.0	Old72	Enc16	1	8	0.767
22	155.088	3.0	158.097	1.5	Old08	Enc17	1	5	0.78
23	159.585	3.0	162.594	4.0	False	CTL07	0	5	0.826
24	166.58900000000003	3.0	169.59799999999998	3.0	False	CTL08	0	8	0.758
25	172.59099999999998	3.0	175.6	1.0	Old29	Enc18	1	8	0.732
26	176.60299999999998	3.0	179.612	1.0	Old23	Enc19	1	8	0.7440000000000001
27	180.615	3.0	183.62400000000002	0.5	Old15	Enc20	1	5	0.764
28	184.125	3.0	187.13400000000001	3.5	Old78	Enc21	1	9	0.95
29	190.628	3.0	193.637	4.5	Old24	Enc22	1	9	0.807
30	198.13400000000001	3.0	201.143	9.5	False	CTL09	0	8	0.733
31	210.638	3.0	213.64700000000002	3.5	Old07	Enc23	1	6	0.7879999999999999
32	217.14	3.0	220.149	4.0	False	CTL10	0	9	0.774
33	224.145	3.0	227.15400000000002	4.0	Old17	Enc24	1	8	0.609
34	231.149	3.0	234.158	1.0	Old51	Enc25	1	8	0.565
35	235.16099999999997	3.0	238.17	6.0	Old25	Enc26	1	9	1.145
36	244.171	3.0	247.18	6.5	Old47	Enc27	1	5	0.6779999999999999
37	253.683	3.0	256.692	2.0	Old36	Enc28	1	6	0.63
38	258.681	3.0	261.69	1.5	Old46	Enc29	1	9	0.7120000000000001
39	263.178	3.0	266.187	2.5	Old42	Enc30	1	8	0.8390000000000001
40	268.678	3.0	271.687	4.5	Old28	Enc31	1	6	0.787
41	276.184	3.0	279.193	0.5	Old12	Enc32	1	6	0.785
42	279.694	3.0	282.703	1.0	False	CTL11	0	6	0.85
43	283.70599999999996	3.0	286.715	1.5	Old05	Enc33	1	9	0.67
44	288.203	3.0	291.212	2.0	Old61	Enc34	1	8	0.853
45	293.20099999999996	3.0	296.21	4.0	False	CTL12	0	6	0.6629999999999999
46	300.205	3.0	303.214	2.0	Old04	Enc35	1	9	0.595
47	305.204	3.0	308.21299999999997	2.5	Old56	Enc36	1	8	0.948
48	310.703	3.0	313.712	2.0	Old16	Enc37	1	9	0.841
49	315.702	3.0	318.711	14.0	Old68	Enc38	1	6	0.69
50	333.204	3.0	336.213	4.0	Old26	Enc39	1	5	0.763
51	340.208	3.0	343.217	1.5	False	CTL13	0	5	0.711
52	344.705	3.0	347.714	1.0	Old22	Enc40	1	6	0.83
53	348.717	3.0	351.726	3.0	False	CTL14	0	9	0.9940000000000001
54	354.718	3.0	357.727	5.5	False	CTL15	0	8	0.825
55	363.227	3.0	366.236	2.0	False	CTL16	0	9	0.723
56	368.225	3.0	371.23400000000004	2.5	Old40	Enc41	1	6	1.005
57	373.725	3.0	376.73400000000004	3.0	Old39	Enc42	1	8	0.905
58	379.726	3.0	382.735	3.0	Old32	Enc43	1	9	1.0
59	385.728	3.0	388.73699999999997	2.0	Old75	Enc44	1	5	1.1179999999999999
60	390.726	3.0	393.735	5.0	Old53	Enc45	1	6	0.968
61	398.733	3.0	401.74199999999996	4.5	Old60	Enc46	1	9	0.992
62	406.23900000000003	3.0	409.24800000000005	10.0	False	CTL17	0	8	0.7979999999999999
63	419.746	3.0	422.755	2.5	Old69	Enc47	1	6	0.9390000000000001
64	425.246	3.0	428.255	2.5	Old35	Enc48	1	9	0.695
65	430.745	3.0	433.754	6.0	False	CTL18	0	5	0.7
66	439.756	3.0	442.765	3.5	False	CTL19	0	5	0.76
67	446.25800000000004	3.0	449.267	1.5	Old21	Enc49	1	6	0.946
68	450.755	3.0	453.764	2.5	False	CTL20	0	8	0.865
69	456.255	3.0	459.264	4.0	False	CTL21	0	9	0.941
70	463.259	3.0	466.26800000000003	2.0	Old13	Enc50	1	8	0.905
71	468.25800000000004	3.0	471.26599999999996	3.0	Old57	Enc51	1	9	0.914
72	474.259	3.0	477.26800000000003	3.0	False	CTL22	0	8	1.001
73	480.26	3.0	483.269	4.0	Old52	Enc52	1	8	0.903
74	487.264	3.0	490.273	0.5	Old14	Enc53	1	9	0.723
75	490.775	3.0	493.784	8.0	False	CTL23	0	9	0.9159999999999999
76	501.774	3.0	504.783	3.0	False	CTL24	0	6	0.629
77	507.776	3.0	510.785	0.5	Old48	Enc54	1	5	0.675
78	511.286	3.0	514.295	1.5	Old38	Enc55	1	8	1.013
79	515.783	3.0	518.7919999999998	4.0	Old30	Enc56	1	5	0.884
80	522.7869999999998	3.0	525.7959999999998	5.0	False	CTL25	0	6	0.743
81	530.794	3.0	533.803	7.5	Old73	Enc57	1	6	0.8079999999999999
82	541.2919999999998	3.0	544.3009999999998	1.0	False	CTL26	0	6	0.8059999999999999
83	545.288	3.0	548.297	1.5	False	CTL27	0	9	0.802
84	549.784	3.0	552.793	0.5	Old18	Enc58	1	5	0.882
85	553.295	3.0	556.304	1.5	Old66	Enc59	1	6	1.147
86	557.7919999999998	3.0	560.8009999999998	2.0	Old49	Enc60	1	8	1.0490000000000002
87	562.79	3.0	565.799	1.0	False	CTL28	0	5	0.9309999999999999
88	566.802	3.0	569.811	5.0	False	CTL29	0	8	0.711
89	574.809	3.0	577.818	2.0	False	CTL30	0	9	0.8
90	579.807	3.0	582.816	5.5	False	CTL31	0	6	0.77
91	588.316	3.0	591.325	0.5	Old34	Enc61	1	5	0.7170000000000001
92	591.827	3.0	594.836	8.0	False	CTL32	0	5	1.238
93	602.826	3.0	605.835	1.0	Old59	Enc62	1	5	1.03
94	606.822	3.0	609.831	0.5	False	CTL33	0	5	0.9620000000000001
95	610.332	3.0	613.341	3.5	Old10	Enc63	1	5	0.892
96	616.835	3.0	619.844	1.5	Old09	Enc64	1	9	0.7490000000000001
97	621.332	3.0	624.341	2.5	Old55	Enc65	1	9	0.772
98	626.831	3.0	629.84	9.5	Old70	Enc66	1	5	0.7609999999999999
99	639.335	3.0	642.344	0.5	Old65	Enc67	1	8	1.112
100	642.846	3.0	645.855	1.0	False	CTL34	0	8	1.745
101	646.8580000000002	3.0	649.867	3.0	Old31	Enc68	1	6	1.021
102	652.859	3.0	655.868	1.0	Old11	Enc69	1	6	0.98
103	656.8539999999998	3.0	659.863	2.0	False	CTL35	0	8	0.809
104	661.8530000000002	3.0	664.862	0.5	False	CTL36	0	6	0.698
105	665.363	3.0	668.372	2.0	Old64	Enc70	1	5	1.012
106	670.3610000000001	3.0	673.37	8.5	False	CTL37	0	5	0.71
107	681.862	3.0	684.8710000000002	1.5	Old43	Enc71	1	6	0.872
108	686.3589999999998	3.0	689.368	1.0	Old01	Enc72	1	8	0.831
109	690.3539999999998	3.0	693.363	1.0	Old45	Enc73	1	9	1.004
110	694.35	3.0	697.3589999999998	4.0	Old20	Enc74	1	8	0.816
111	701.3539999999998	3.0	704.363	9.5	Old77	Enc75	1	9	0.9079999999999999
112	713.8580000000002	3.0	716.867	4.5	False	CTL38	0	8	0.9
