	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT	Condition	CorrectSource	Stim_RT
0	OLD	kitchen_white strainer.bmp	Old38	1	1	2.91	8	5528	0	8	0.0
1	New	kitchen_kettle_new.bmp	New24	1	2	1.849	8	5528	1	6	0.0
2	OLD	vegie_radish.bmp	Old77	1	1	2.316	6	2231	1	5	0.0
3	OLD	sporting_Badminton Racquet.bmp	Old54	1	1	1.891	8	1214	1	6	0.0
4	OLD	food_bottleofredwine01.bmp	Old15	1	1	1.827	5	1225	1	9	0.0
5	New	vegie_broccoli.bmp	New36	1	2	1.574	5	1225	1	8	0.0
6	OLD	musical_tuba.bmp	Old50	1	1	1.8769999999999998	5	1057	1	9	0.0
7	OLD	animal_chimpanzee.bmp	Old03	1	1	1.413	5	1100	0	5	0.0
8	New	kitchen_baking spatula.bmp	New01	1	2	1.181	5	1100	0	6	0.0
9	OLD	sporting_bicycle_old.bmp	Old55	1	1	1.66	9	1264	1	8	0.0
10	New	animal_ostrich.bmp	New26	1	2	1.195	9	1264	0	8	0.0
11	OLD	animal_monarch_old.bmp	Old08	1	1	3.4730000000000003	5	1324	1	6	0.0
12	OLD	sporting_skipping rope.bmp	Old63	1	1	1.693	8	1465	1	5	0.0
13	New	animal_giraffe.bmp	New03	1	2	1.26	8	1465	0	8	0.0
14	OLD	kitchen_ladle.bmp	Old31	1	1	1.615	6	4262	1	6	0.0
15	New	animal_dolphin_old.bmp	New09	1	2	1.227	6	4262	1	6	0.0
16	OLD	vegie_corn02.bmp	Old73	1	1	2.144	6	1817	1	8	0.0
17	OLD	kitchen_martini glass.bmp	Old32	1	1	1.581	5	1350	1	5	0.0
18	OLD	animal_sheep.bmp	Old11	1	1	1.421	6	2139	1	9	0.0
19	OLD	fruit_lemon_new.bmp	Old69	0	2	1.204	6	2139	1	9	0.0
20	OLD	sporting_hockey stick_old.bmp	Old58	1	1	1.4409999999999998	6	1791	1	5	0.0
21	OLD	sporting_fishing rod.bmp	Old59	1	1	1.429	9	1043	1	5	0.0
22	OLD	vegie_carrot.bmp	Old78	1	1	1.432	9	1046	0	5	0.0
23	New	food_bagel01.bmp	New17	1	2	1.187	9	1046	1	5	0.0
24	New	musical_uculele_new.bmp	New39	0	1	1.297	8	1107	1	8	0.0
25	New	kitchen_garlic press.bmp	New07	1	2	1.9509999999999998	8	1107	0	5	0.0
26	OLD	kitchen_wooden spoon_old.bmp	Old39	1	1	1.318	6	832	1	6	0.0
27	New	musical_french horn_old.bmp	New12	1	2	1.989	6	832	1	5	0.0
28	OLD	musical_clarinet_new.bmp	Old44	1	1	1.196	8	2084	1	6	0.0
29	OLD	vegie_garlic01a.bmp	Old74	1	1	1.966	5	1311	1	5	0.0
30	New	fruit_cherry.bmp	Old67	1	1	2.721	6	931	1	8	0.0
31	OLD	animal_camel_new.bmp	Old01	1	1	4.274	9	1056	1	5	0.0
32	OLD	musical_harmonica_new.bmp	Old47	1	1	1.53	6	492	1	9	0.0
33	OLD	food_pecan02.bmp	Old21	1	1	1.983	5	631	0	6	0.0
34	OLD	animal_parrot.bmp	Old09	0	2	1.188	5	631	0	9	0.0
35	New	food_bread.bmp	New28	1	2	1.939	5	631	0	8	0.0
