	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
0	New	vegie_pumpkin.bmp	New21	1	2	4.496	False	0
1	OLD	kitchen_big cooking pot.bmp	Old28	1	1	1.858	9.0	9157
2	OLD	animal_camel_new.bmp	Old01	1	1	4.152	9.0	2225
3	OLD	food_candy.bmp	Old16	1	1	2.982	8.0	950
4	OLD	sporting_mini-trampoline.bmp	Old61	1	1	3.382	9.0	6861
5	New	food_bagel01.bmp	New17	1	2	3.235	9.0	6861
6	OLD	vegie_mushroom.bmp	Old76	1	1	2.183	8.0	1016
7	OLD	animal_sheep.bmp	Old11	1	1	3.781	8.0	966
8	OLD	vegie_cauliflower.bmp	Old72	1	1	1.837	8.0	915
9	OLD	musical_tuba.bmp	Old50	1	1	2.397	8.0	3531
10	OLD	food_pickle01a.bmp	Old22	1	1	5.485	6.0	2809
11	New	vegie_snowpea01.bmp	New27	1	2	2.416	6.0	2809
12	OLD	kitchen_white strainer.bmp	Old38	1	1	1.893	5.0	577
13	OLD	musical_triangle.bmp	Old49	1	1	6.137	9.0	4443
14	OLD	musical_harp_new.bmp	Old43	1	1	2.296	9.0	803
15	OLD	animal_dalmation_old.bmp	Old04	1	1	2.576	8.0	800
16	New	kitchen_ramekin.bmp	New13	1	2	4.95	8.0	800
17	OLD	animal_cheetah.bmp	Old02	1	1	2.119	5.0	770
18	OLD	vegie_garlic01a.bmp	Old74	1	1	2.465	6.0	862
19	New	animal_giraffe.bmp	New03	1	2	5.417	6.0	862
20	OLD	animal_parrot.bmp	Old09	0	2	2.2	6.0	862
21	OLD	musical_piano_old.bmp	Old48	1	1	2.135	9.0	1545
22	New	sporting_flippers.bmp	New02	1	2	6.593	9.0	1545
23	OLD	animal_lion_new.bmp	Old07	1	1	2.554	9.0	2938
24	OLD	sporting_fishing rod.bmp	Old59	1	1	2.291	8.0	879
25	OLD	food_rawchicken.bmp	Old23	1	1	3.353	5.0	466
26	New	musical_french horn_old.bmp	New12	0	1	5.086	5.0	2995
27	OLD	sporting_rollerblade.bmp	Old62	1	1	2.242	6.0	838
28	OLD	sporting_boxing_gloves.bmp	Old56	1	1	2.698	5.0	926
29	New	animal_dolphin_old.bmp	New09	1	2	3.27	5.0	926
30	OLD	animal_frog.bmp	Old06	1	1	1.882	9.0	2070
31	OLD	fruit_watermelon_old.bmp	Old71	1	1	3.585	6.0	2017
32	OLD	food_chocolatemilk.bmp	Old17	1	1	3.416	9.0	3942
33	New	animal_seal.bmp	New38	1	2	4.968	9.0	3942
34	OLD	food_baguette01.bmp	Old14	1	1	2.769	9.0	1769
35	OLD	food_cracker02.bmp	Old18	1	1	2.152	9.0	481
36	OLD	kitchen_cookie cutter.bmp	Old30	1	1	2.499	9.0	1439
37	OLD	food_croissant01.bmp	Old19	1	1	1.876	9.0	816
38	New	musical_tambourine_new.bmp	New06	1	2	3.167	9.0	816
39	OLD	sporting_skipping rope.bmp	Old63	1	1	2.544	5.0	4370
40	OLD	musical_double bass.bmp	Old45	1	1	2.259	5.0	7871
41	New	vegie_cucumber.bmp	New33	0	1	3.084	8.0	2968
42	New	animal_gorilla.bmp	New15	1	2	5.097	8.0	2968
43	OLD	animal_farm pig.bmp	Old05	1	1	2.165	8.0	1198
44	New	sporting_windsurf.bmp	New31	1	2	3.051	8.0	1198
45	OLD	food_toast.bmp	Old26	1	1	4.919	9.0	1258
46	OLD	musical_drums_old.bmp	Old46	1	1	1.983	6.0	743
47	OLD	kitchen_martini glass.bmp	Old32	1	1	1.736	6.0	921
48	OLD	animal_zebra_old.bmp	Old13	1	1	1.938	6.0	1267
49	New	food_drink.bmp	New05	1	2	3.336	6.0	1267
50	OLD	kitchen_scrubbing brush.bmp	Old36	1	1	5.039	8.0	1734
51	OLD	sporting_karate clothing.bmp	Old60	1	1	3.038	5.0	2164
