	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
0	OLD	sporting_footballhelmet.bmp	Old57	1	1	2.334	5	3799
1	OLD	vegie_corn02.bmp	Old73	1	1	2.054	8	1803
2	OLD	food_cracker02.bmp	Old18	1	1	1.953	8	1394
3	New	sporting_golf ball.bmp	New19	1	2	4.098	8	1394
4	New	fruit_granny smith apple.bmp	New16	1	2	4.509	8	1394
5	OLD	kitchen_cookie cutter.bmp	Old30	1	1	1.687	6	1468
6	OLD	animal_zebra_old.bmp	Old13	1	1	2.287	5	1587
7	OLD	fruit_lemon_new.bmp	Old69	0	2	4.538	5	1587
8	OLD	animal_siamese cat.bmp	Old12	1	1	1.644	5	1241
9	OLD	sporting_skipping rope.bmp	Old63	1	1	1.647	6	1061
10	New	kitchen_fork_old.bmp	New18	1	2	2.977	6	1061
11	OLD	animal_monarch_old.bmp	Old08	1	1	1.386	5	1641
12	OLD	sporting_americanfootball.bmp	Old53	1	1	1.463	8	1204
13	OLD	kitchen_scrubbing brush.bmp	Old36	1	1	1.459	8	1567
14	New	fruit_apricot_new.bmp	New04	1	2	2.294	8	1567
15	OLD	musical_clarinet_new.bmp	Old44	1	1	3.971	9	1669
16	OLD	food_rawchicken.bmp	Old23	1	1	2.23	8	1124
17	New	food_cookie01.bmp	New11	1	2	2.568	8	1124
18	New	animal_dolphin_old.bmp	New09	1	2	5.119	8	1124
19	New	kitchen_baking spatula.bmp	New01	1	2	2.498	8	1124
20	OLD	food_pecan02.bmp	Old21	1	1	1.437	5	1154
21	New	vegie_snowpea01.bmp	New27	1	2	1.947	5	1154
22	OLD	musical_accordion_old.bmp	Old41	1	1	2.348	9	878
23	OLD	animal_sheep.bmp	Old11	1	1	1.65	8	583
24	New	sporting_weighlifting.bmp	New25	1	2	1.639	8	583
25	OLD	animal_dalmation_old.bmp	Old04	1	1	1.172	5	1012
26	OLD	musical_double bass.bmp	Old45	1	1	1.451	6	536
27	OLD	food_frenchfries.bmp	Old20	1	1	2.034	6	576
28	OLD	kitchen_tea cup and saucer.bmp	Old37	1	1	1.584	9	640
29	OLD	vegie_mushroom.bmp	Old76	1	1	1.182	8	494
30	OLD	sporting_soccer ball_new.bmp	Old65	0	2	3.177	8	494
31	OLD	animal_parrot.bmp	Old09	1	1	2.113	6	476
32	OLD	sporting_rollerblade.bmp	Old62	1	1	1.24	5	541
33	New	animal_ostrich.bmp	New26	1	2	1.831	5	541
34	OLD	kitchen_white strainer.bmp	Old38	1	1	1.636	9	1258
35	OLD	sporting_karate clothing.bmp	Old60	1	1	1.543	8	552
36	OLD	animal_frog.bmp	Old06	1	1	1.665	5	430
37	OLD	food_shellpasta.bmp	Old25	1	1	1.675	9	488
