	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
0	14.567	3.0	17.566	6.5	Old64	Enc01	OLD	kitchen_cookie cutter.bmp	Old30	1	1	1.682	6	5309
1	24.066	3.0	27.066	2.0	Old12	Enc02	New	animal_dolphin_old.bmp	New09	1	2	4.332	6	5309
2	29.065	3.0	32.065	1.5	Old26	Enc03	New	sporting_flippers.bmp	New02	1	2	1.338	6	5309
3	33.565	3.0	36.565	1.0	Old69	Enc04	OLD	kitchen_coffee pot.bmp	Old29	1	1	1.3130000000000002	8	2915
4	37.565	3.0	40.565	8.5	Old55	Enc05	New	vegie_cucumber.bmp	New33	0	1	1.547	8	1755
5	49.06399999999999	3.0	52.06399999999999	2.0	Old52	Enc06	OLD	kitchen_tea cup and saucer.bmp	Old37	0	2	1.9380000000000002	8	1755
6	54.063	3.0	57.063	2.5	Old36	Enc07	OLD	fruit_pineapple_old.bmp	Old70	1	1	1.248	6	3813
7	59.563	3.0	62.563	1.5	False	CTL01	OLD	animal_chimpanzee.bmp	Old03	1	1	2.193	6	2320
8	64.063	3.0	67.062	1.5	False	CTL02	OLD	food_chocolatemilk.bmp	Old17	1	1	1.615	6	1476
9	68.562	3.0	71.562	0.5	Old49	Enc08	OLD	musical_drums_old.bmp	Old46	1	1	4.188	9	875
10	72.062	3.0	75.062	0.5	False	CTL03	New	animal_gorilla.bmp	New15	1	2	3.7319999999999998	9	875
11	75.562	3.0	78.562	2.0	Old25	Enc09	OLD	musical_tuba.bmp	Old50	1	1	1.771	6	954
12	80.561	3.0	83.561	1.5	Old37	Enc10	OLD	food_croissant01.bmp	Old19	1	1	1.4240000000000002	5	901
13	85.061	3.0	88.061	2.0	False	CTL04	OLD	fruit_lemon_new.bmp	Old69	1	1	1.214	5	2044
14	90.061	3.0	93.06	7.5	Old11	Enc11	OLD	vegie_corn02.bmp	Old73	1	1	1.358	9	1854
15	100.56	3.0	103.56	5.0	Old22	Enc12	New	musical_french horn_old.bmp	New12	1	2	3.872	9	1854
16	108.559	3.0	111.559	1.5	Old77	Enc13	New	sporting_golf ball.bmp	New19	1	2	1.433	9	1854
17	113.059	3.0	116.059	3.0	Old18	Enc14	OLD	sporting_americanfootball.bmp	Old53	1	1	1.364	6	2060
18	119.05799999999999	3.0	122.05799999999999	1.0	Old27	Enc15	OLD	musical_triangle.bmp	Old49	1	1	1.214	6	572
19	123.05799999999999	3.0	126.05799999999999	1.5	Old31	Enc16	OLD	animal_camel_new.bmp	Old01	1	1	1.162	8	922
20	127.55799999999999	3.0	130.55700000000002	8.5	Old23	Enc17	OLD	fruit_watermelon_old.bmp	Old71	1	1	1.5130000000000001	6	803
21	139.05700000000002	3.0	142.05700000000002	2.0	Old08	Enc18	OLD	animal_siamese cat.bmp	Old12	1	1	1.423	5	772
22	144.056	3.0	147.056	1.0	False	CTL05	New	animal_giraffe.bmp	New03	1	2	2.8169999999999997	5	772
23	148.056	3.0	151.056	1.5	False	CTL06	New	vegie_pumpkin.bmp	New21	1	2	2.109	5	772
24	152.556	3.0	155.555	6.5	Old45	Enc19	OLD	sporting_snow shoes_old.bmp	Old64	1	1	1.222	6	2347
25	162.055	3.0	165.055	1.5	Old74	Enc20	New	fruit_apricot_new.bmp	New04	1	2	2.5780000000000003	6	2347
26	166.555	3.0	169.554	6.5	Old60	Enc21	New	animal_seal.bmp	New38	1	2	1.719	6	2347
27	176.054	3.0	179.054	3.5	False	CTL07	OLD	food_rawchicken.bmp	Old23	0	2	7.726	6	2347
28	182.553	3.0	185.553	8.0	Old78	Enc22	OLD	musical_double bass.bmp	Old45	0	2	6.2620000000000005	6	2347
29	193.55200000000002	3.0	196.55200000000002	13.0	Old04	Enc23	OLD	sporting_hockey stick_old.bmp	Old58	1	1	1.3519999999999999	8	2353
30	209.551	3.0	212.551	1.0	False	CTL08	New	food_walnut01c.bmp	New34	0	1	1.7109999999999999	5	1369
31	213.551	3.0	216.551	2.5	Old13	Enc24	OLD	sporting_soccer ball_new.bmp	Old65	1	1	1.3419999999999999	6	3063
32	219.05	3.0	222.05	1.5	Old40	Enc25	New	sporting_weighlifting.bmp	New25	1	2	1.122	6	3063
33	223.55	3.0	226.55	3.5	Old63	Enc26	OLD	kitchen_white strainer.bmp	Old38	1	1	1.409	9	3280
34	230.05	3.0	233.049	2.0	Old43	Enc27	OLD	Kitchen_apron.bmp	Old27	1	1	1.4809999999999999	9	843
35	235.049	3.0	238.049	3.0	Old14	Enc28	New	vegie_broccoli.bmp	New36	1	2	2.182	9	843
36	241.049	3.0	244.048	7.0	Old29	Enc29	OLD	food_baguette01.bmp	Old14	1	1	1.276	9	1727
37	251.048	3.0	254.048	1.0	Old53	Enc30	OLD	kitchen_pitcher.bmp	Old34	1	1	1.255	5	2178
38	255.048	3.0	258.047	0.5	False	CTL09	New	fruit_granny smith apple.bmp	New16	1	2	1.456	5	2178
39	258.547	3.0	261.547	1.0	False	CTL10	New	kitchen_ramekin.bmp	New13	1	2	3.235	5	2178
