	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
0	OLD	food_shellpasta.bmp	Old25	1	1	2.672	8	27731
1	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	5.66	9	4065
2	OLD	musical_double bass.bmp	Old45	0	2	2.573	9	4065
3	New	animal_dolphin_old.bmp	New09	1	2	1.596	9	4065
4	OLD	kitchen_coffee pot.bmp	Old29	0	2	1.314	9	4065
5	New	musical_tambourine_new.bmp	New06	1	2	1.164	9	4065
6	OLD	vegie_mushroom.bmp	Old76	1	1	1.524	5	1141
7	New	food_bread.bmp	New28	1	2	2.406	5	1141
8	New	food_pizza.bmp	New22	1	2	1.533	5	1141
9	OLD	animal_farm pig.bmp	Old05	0	2	1.423	5	1141
10	New	kitchen_toaster_old.bmp	New30	1	2	1.331	5	1141
11	OLD	kitchen_wooden spoon_old.bmp	Old39	0	2	1.181	5	1141
12	OLD	musical_tuba.bmp	Old50	1	1	1.556	9	940
13	New	kitchen_garlic press.bmp	New07	1	2	1.733	9	940
14	New	fruit_rasberry.bmp	New10	0	1	1.326	5	528
15	OLD	musical_xylophone_old.bmp	Old52	0	2	1.504	5	528
16	New	animal_pigeon.bmp	New32	1	2	1.21	5	528
17	OLD	kitchen_pitcher.bmp	Old34	0	2	1.784	5	528
18	OLD	Kitchen_apron.bmp	Old27	0	2	0.824	5	528
19	OLD	sporting_mini-trampoline.bmp	Old61	0	2	0.933	5	528
20	New	kitchen_fork_old.bmp	New18	1	2	1.07	5	528
21	OLD	sporting_americanfootball.bmp	Old53	1	1	1.585	8	1417
22	New	sporting_basketball_new.bmp	New14	0	1	2.839	9	836
23	OLD	animal_sheep.bmp	Old11	0	2	1.665	9	836
24	OLD	kitchen_ladle.bmp	Old31	1	1	2.067	5	480
25	OLD	sporting_bicycle_old.bmp	Old55	0	2	1.636	5	480
26	OLD	food_pickle01a.bmp	Old22	1	1	1.352	9	1089
27	OLD	musical_piano_old.bmp	Old48	0	2	2.411	9	1089
28	New	kitchen_spatula_old.bmp	New37	1	2	1.682	9	1089
29	OLD	fruit_lemon_new.bmp	Old69	0	2	1.606	9	1089
30	OLD	fruit_blackberry_new.bmp	Old66	1	1	1.003	8	1449
31	New	fruit_cherry.bmp	Old67	1	1	1.983	5	831
32	OLD	food_candy.bmp	Old16	1	1	1.901	8	808
33	OLD	vegie_radish.bmp	Old77	0	2	1.829	8	808
34	OLD	animal_chimpanzee.bmp	Old03	1	1	1.577	6	682
35	OLD	sporting_Badminton Racquet.bmp	Old54	0	2	1.725	6	682
36	New	kitchen_baking spatula.bmp	New01	1	2	1.651	6	682
37	OLD	food_pecan02.bmp	Old21	1	1	1.735	8	705
38	New	kitchen_ramekin.bmp	New13	1	2	1.371	8	705
39	New	sporting_weighlifting.bmp	New25	1	2	0.866	8	705
40	OLD	hard_musical_recorder.bmp	Old40	1	1	1.645	5	642
41	OLD	food_softcheese.bmp	Old24	1	1	2.63	8	645
42	OLD	sporting_karate clothing.bmp	Old60	1	1	1.784	9	872
43	OLD	sporting_fishing rod.bmp	Old59	1	1	3.018	5	465
44	New	food_walnut01c.bmp	New34	1	2	2.477	5	465
45	OLD	kitchen_scrubbing brush.bmp	Old36	0	2	0.882	5	465
46	OLD	fruit_watermelon_old.bmp	Old71	0	2	0.956	5	465
47	OLD	vegie_green capsicum.bmp	Old75	0	2	1.027	5	465
48	OLD	vegie_cauliflower.bmp	Old72	1	1	1.513	8	764
49	OLD	food_baguette01.bmp	Old14	1	1	1.611	5	473
50	OLD	sporting_skipping rope.bmp	Old63	0	2	1.675	5	473
51	OLD	vegie_garlic01a.bmp	Old74	1	1	1.75	6	863
52	OLD	animal_cheetah.bmp	Old02	1	1	2.362	8	675
53	New	sporting_windsurf.bmp	New31	1	2	1.942	8	675
54	OLD	kitchen_white strainer.bmp	Old38	0	2	0.806	8	675
55	New	animal_horse.bmp	New20	1	2	1.435	8	675
56	New	musical_bongo drum.bmp	New23	1	2	0.816	8	675
57	New	fruit_granny smith apple.bmp	New16	1	2	1.261	8	675
58	New	sporting_flippers.bmp	New02	1	2	0.889	8	675
59	OLD	food_toast.bmp	Old26	0	2	0.756	8	675
60	OLD	fruit_pineapple_old.bmp	Old70	1	1	1.435	8	832
61	OLD	animal_siamese cat.bmp	Old12	0	2	1.333	8	832
62	OLD	kitchen_plate.bmp	Old35	0	2	1.246	8	832
63	OLD	animal_frog.bmp	Old06	0	2	0.906	8	832
64	OLD	animal_monarch_old.bmp	Old08	0	2	0.901	8	832
65	New	vegie_snowpea01.bmp	New27	1	2	0.983	8	832
66	OLD	musical_drums_old.bmp	Old46	0	2	0.933	8	832
67	OLD	kitchen_tea cup and saucer.bmp	Old37	0	2	0.934	8	832
68	OLD	kitchen_peppermill.bmp	Old33	0	2	1.613	8	832
69	OLD	musical_violin_old.bmp	Old51	1	1	1.235	5	481
70	OLD	musical_accordion_old.bmp	Old41	0	2	1.076	5	481
71	New	vegie_pumpkin.bmp	New21	1	2	1.254	5	481
72	New	food_cookie01.bmp	New11	1	2	2.394	5	481
73	New	animal_gorilla.bmp	New15	0	1	1.088	8	1451
74	OLD	food_rawchicken.bmp	Old23	0	2	2.182	8	1451
75	OLD	musical_harp_new.bmp	Old43	0	2	0.975	8	1451
76	OLD	sporting_boxing_gloves.bmp	Old56	0	2	1.109	8	1451
77	OLD	kitchen_big cooking pot.bmp	Old28	0	2	0.686	8	1451
78	OLD	food_frenchfries.bmp	Old20	1	1	1.224	5	1206
79	New	musical_zamponia windflute.bmp	New29	1	2	1.635	5	1206
80	OLD	vegie_corn02.bmp	Old73	0	2	0.936	5	1206
81	OLD	fruit_green grapes.bmp	Old68	1	1	1.064	9	1092
82	OLD	food_bottleofredwine01.bmp	Old15	1	1	2.03	5	476
83	New	kitchen_kettle_new.bmp	New24	1	2	1.438	5	476
84	New	food_drink.bmp	New05	1	2	1.084	5	476
85	OLD	kitchen_cookie cutter.bmp	Old30	0	2	0.784	5	476
86	OLD	animal_lion_new.bmp	Old07	1	1	1.583	5	887
87	OLD	animal_camel_new.bmp	Old01	1	1	1.865	8	702
88	New	vegie_cucumber.bmp	New33	0	1	1.383	9	742
89	OLD	sporting_rollerblade.bmp	Old62	0	2	1.766	9	742
