	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT	Condition	CorrectSource	Stim_RT
0	New	sporting_weighlifting.bmp	New25	1	2	3.9589999999999996	False	0	0	6	1.459
1	OLD	fruit_blackberry_new.bmp	Old66	1	1	2.904	5.0	2218	1	8	1.608
2	New	vegie_snowpea01.bmp	New27	1	2	2.184	5.0	2218	1	5	1.2
3	OLD	kitchen_ladle.bmp	Old31	1	1	3.032	5.0	1030	1	5	0.8540000000000001
4	New	food_walnut01c.bmp	New34	1	2	2.252	5.0	1030	1	6	1.36
5	New	fruit_cherry.bmp	Old67	1	1	2.281	6.0	1541	1	5	1.1079999999999999
6	OLD	sporting_footballhelmet.bmp	Old57	1	1	2.0380000000000003	9.0	996	1	9	1.5419999999999998
7	OLD	kitchen_white strainer.bmp	Old38	1	1	2.8819999999999997	8.0	1134	0	5	1.472
8	OLD	sporting_americanfootball.bmp	Old53	1	1	2.464	6.0	1116	0	6	0.948
9	OLD	fruit_watermelon_old.bmp	Old71	1	1	3.023	9.0	1245	0	6	0.8320000000000001
10	OLD	musical_accordion_old.bmp	Old41	1	1	1.618	6.0	993	0	9	0.727
11	OLD	animal_zebra_old.bmp	Old13	1	1	4.4639999999999995	6.0	910	1	6	0.727
12	OLD	musical_double bass.bmp	Old45	1	1	2.367	6.0	1784	1	8	1.2990000000000002
13	OLD	food_baguette01.bmp	Old14	1	1	1.7109999999999999	8.0	1002	0	9	0.706
14	New	sporting_flippers.bmp	New02	1	2	1.9769999999999999	8.0	1002	1	9	0.905
15	New	food_pizza.bmp	New22	1	2	1.409	8.0	1002	1	5	1.581
16	New	sporting_basketball_new.bmp	New14	0	1	4.551	8.0	682	1	9	0.925
17	OLD	food_candy.bmp	Old16	0	2	2.197	8.0	682	1	5	1.482
18	OLD	sporting_bicycle_old.bmp	Old55	1	1	1.7169999999999999	5.0	1727	1	8	1.746
19	OLD	food_rawchicken.bmp	Old23	1	1	1.9369999999999998	8.0	1002	1	8	1.321
20	OLD	vegie_cauliflower.bmp	Old72	1	1	2.193	5.0	840	1	9	1.047
21	New	animal_horse.bmp	New20	1	2	1.837	5.0	840	1	8	1.099
22	OLD	musical_tuba.bmp	Old50	1	1	1.819	9.0	2314	1	5	1.215
23	New	kitchen_spatula_old.bmp	New37	1	2	1.597	9.0	2314	0	5	1.262
24	New	fruit_granny smith apple.bmp	New16	1	2	1.867	9.0	2314	0	8	0.665
25	OLD	sporting_mini-trampoline.bmp	Old61	1	1	1.256	8.0	628	1	8	0.6559999999999999
26	OLD	hard_musical_recorder.bmp	Old40	1	1	1.7619999999999998	8.0	619	1	8	1.101
27	New	kitchen_baking spatula.bmp	New01	1	2	1.8719999999999999	8.0	619	1	5	1.3130000000000002
28	New	animal_giraffe.bmp	New03	1	2	1.6280000000000001	8.0	619	1	9	1.139
29	OLD	animal_camel_new.bmp	Old01	1	1	1.1540000000000001	8.0	667	1	9	1.092
30	OLD	animal_parrot.bmp	Old09	1	1	2.294	6.0	658	0	8	0.754
31	OLD	food_croissant01.bmp	Old19	1	1	2.126	9.0	832	1	6	1.489
32	OLD	food_pecan02.bmp	Old21	1	1	2.07	6.0	1018	0	9	0.818
33	New	musical_tambourine_new.bmp	New06	1	2	3.4330000000000003	6.0	1018	1	8	1.5419999999999998
34	New	musical_uculele_new.bmp	New39	0	1	1.344	5.0	1001	1	8	1.1540000000000001
35	New	kitchen_kettle_new.bmp	New24	0	1	4.192	8.0	1145	1	9	1.455
36	New	animal_ostrich.bmp	New26	1	2	1.7369999999999999	8.0	1145	1	5	1.227
37	OLD	musical_drums_old.bmp	Old46	1	1	1.73	6.0	700	1	6	1.06
38	OLD	musical_piano_old.bmp	Old48	1	1	1.423	8.0	605	1	9	1.589
39	OLD	vegie_carrot.bmp	Old78	0	2	5.06	8.0	605	1	8	1.3090000000000002
40	OLD	animal_siamese cat.bmp	Old12	1	1	1.354	9.0	610	1	6	1.249
41	New	fruit_rasberry.bmp	New10	1	2	3.408	9.0	610	1	6	1.095
42	New	musical_french horn_old.bmp	New12	1	2	1.4480000000000002	9.0	610	0	6	1.2329999999999999
43	New	animal_pigeon.bmp	New32	1	2	0.909	9.0	610	1	9	1.317
44	New	musical_bongo drum.bmp	New23	1	2	1.0070000000000001	9.0	610	1	8	2.228
45	OLD	kitchen_big cooking pot.bmp	Old28	1	1	1.421	8.0	1427	0	6	1.429
46	New	animal_dolphin_old.bmp	New09	1	2	1.393	8.0	1427	1	9	1.033
47	OLD	vegie_radish.bmp	Old77	1	1	1.5919999999999999	5.0	471	1	8	1.9709999999999999
48	OLD	musical_triangle.bmp	Old49	1	1	2.267	5.0	887	1	9	1.359
49	New	vegie_cucumber.bmp	New33	0	1	1.426	6.0	553	1	6	1.113
50	OLD	food_cracker02.bmp	Old18	1	1	1.7919999999999998	5.0	472	1	5	0.841
51	New	food_bread.bmp	New28	0	1	4.723	8.0	1798	0	5	0.5329999999999999
52	New	musical_bagpipes.bmp	New35	1	2	1.806	8.0	1798	1	6	1.3880000000000001
53	OLD	kitchen_tea cup and saucer.bmp	Old37	1	1	1.365	6.0	605	0	9	0.872
54	OLD	kitchen_scrubbing brush.bmp	Old36	1	1	1.6269999999999998	9.0	1513	0	8	0.735
55	New	sporting_baseball bat_new.bmp	New08	1	2	3.347	9.0	1513	0	9	0.586
56	OLD	animal_sheep.bmp	Old11	1	1	1.117	8.0	680	1	6	0.883
57	New	animal_seal.bmp	New38	1	2	1.291	8.0	680	1	8	1.0390000000000001
58	New	food_cookie01.bmp	New11	1	2	0.966	8.0	680	1	9	1.11
59	OLD	musical_harp_new.bmp	Old43	1	1	1.255	5.0	403	1	5	1.429
60	New	musical_zamponia windflute.bmp	New29	1	2	1.3459999999999999	5.0	403	1	6	1.023
61	OLD	animal_lion_new.bmp	Old07	1	1	1.315	6.0	702	1	9	1.2309999999999999
62	OLD	kitchen_peppermill.bmp	Old33	1	1	1.624	5.0	509	0	8	0.693
63	OLD	Kitchen_apron.bmp	Old27	1	1	1.92	5.0	1282	1	6	0.9129999999999999
64	OLD	kitchen_wooden spoon_old.bmp	Old39	1	1	1.4769999999999999	6.0	537	1	9	1.094
65	OLD	kitchen_pitcher.bmp	Old34	1	1	1.858	8.0	551	0	5	0.5539999999999999
66	OLD	sporting_hockey stick_old.bmp	Old58	1	1	1.416	6.0	606	0	5	0.568
67	OLD	fruit_pineapple_old.bmp	Old70	1	1	1.485	6.0	688	1	6	0.816
68	OLD	sporting_fishing rod.bmp	Old59	1	1	1.244	6.0	657	0	8	0.711
69	OLD	sporting_snow shoes_old.bmp	Old64	1	1	1.9569999999999999	8.0	1037	0	9	0.523
70	New	kitchen_ramekin.bmp	New13	1	2	2.77	8.0	1037	1	8	1.127
71	OLD	kitchen_coffee pot.bmp	Old29	0	2	3.77	8.0	1037	1	9	1.137
72	New	food_bagel01.bmp	New17	1	2	1.107	8.0	1037	0	8	0.496
73	OLD	food_softcheese.bmp	Old24	1	1	1.47	6.0	1018	1	8	1.3419999999999999
74	OLD	animal_penguin.bmp	Old10	0	2	8.12	6.0	1018	1	9	1.169
75	OLD	sporting_Badminton Racquet.bmp	Old54	1	1	1.652	5.0	665	0	9	2.131
76	OLD	animal_dalmation_old.bmp	Old04	0	2	1.2690000000000001	5.0	665	0	6	0.467
77	New	vegie_pumpkin.bmp	New21	0	1	2.529	5.0	1316	1	5	1.17
78	OLD	vegie_corn02.bmp	Old73	1	1	1.598	9.0	637	1	8	0.835
79	OLD	musical_violin_old.bmp	Old51	1	1	1.69	5.0	1878	1	5	1.2109999999999999
80	New	vegie_broccoli.bmp	New36	1	2	1.642	5.0	1878	0	6	0.47
81	OLD	animal_frog.bmp	Old06	1	1	1.143	9.0	471	1	6	0.59
82	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	2.363	9.0	1700	0	6	0.556
83	OLD	fruit_green grapes.bmp	Old68	1	1	1.239	8.0	405	0	9	0.568
84	OLD	food_bottleofredwine01.bmp	Old15	1	1	1.099	9.0	558	1	5	0.935
85	OLD	animal_cheetah.bmp	Old02	1	1	3.9419999999999997	8.0	712	1	6	0.937
86	OLD	food_chocolatemilk.bmp	Old17	1	1	1.7469999999999999	8.0	516	1	8	1.568
87	New	kitchen_toaster_old.bmp	New30	1	2	1.6780000000000002	8.0	516	0	5	0.602
88	New	kitchen_fork_old.bmp	New18	1	2	0.985	8.0	516	0	8	0.613
89	New	food_drink.bmp	New05	1	2	0.8170000000000001	8.0	516	0	9	0.518
90	OLD	food_frenchfries.bmp	Old20	1	1	1.2309999999999999	5.0	397	0	6	0.5760000000000001
91	New	sporting_windsurf.bmp	New31	1	2	2.2359999999999998	5.0	397	1	5	0.899
92	OLD	musical_xylophone_old.bmp	Old52	1	1	1.425	8.0	527	0	5	0.8690000000000001
93	OLD	animal_chimpanzee.bmp	Old03	1	1	4.249	9.0	479	1	5	0.773
94	New	kitchen_garlic press.bmp	New07	1	2	1.435	9.0	479	0	5	0.968
95	OLD	sporting_karate clothing.bmp	Old60	1	1	1.831	9.0	2453	1	5	1.05
96	OLD	kitchen_martini glass.bmp	Old32	1	1	1.2819999999999998	5.0	462	1	9	0.8029999999999999
97	OLD	sporting_skipping rope.bmp	Old63	1	1	1.266	5.0	463	1	9	1.01
98	OLD	food_pickle01a.bmp	Old22	1	1	1.083	6.0	543	1	5	0.998
99	OLD	sporting_soccer ball_new.bmp	Old65	0	2	3.12	6.0	543	1	8	0.9179999999999999
100	OLD	vegie_green capsicum.bmp	Old75	0	2	1.57	6.0	543	0	8	0.728
101	OLD	food_toast.bmp	Old26	1	1	1.097	5.0	357	1	6	1.156
102	New	animal_gorilla.bmp	New15	1	2	1.6769999999999998	5.0	357	1	6	0.9059999999999999
103	OLD	animal_farm pig.bmp	Old05	1	1	1.473	8.0	1141	0	8	0.574
104	New	fruit_apricot_new.bmp	New04	1	2	1.43	8.0	1141	0	6	0.456
105	OLD	fruit_lemon_new.bmp	Old69	1	1	3.068	9.0	1561	1	5	0.601
106	OLD	kitchen_plate.bmp	Old35	1	1	1.306	6.0	596	0	5	0.603
107	OLD	vegie_mushroom.bmp	Old76	1	1	1.675	6.0	4246	1	6	0.9259999999999999
108	OLD	kitchen_cookie cutter.bmp	Old30	1	1	1.413	9.0	595	1	8	1.2919999999999998
109	OLD	musical_harmonica_new.bmp	Old47	1	1	2.33	9.0	972	1	9	1.072
