	Condition	CorrectSource	Stim_RT	stimOnsetSec	stimDurSec	ImageID	tNumXcond
0	0.0	8.0	1.386	False	False	False	False
1	1.0	6.0	0.858	False	False		
2	1.0	5.0	0.845	False	False		
3	1.0	6.0	1.485	False	False		
4	1.0	9.0	1.348	False	False		
5	1.0	8.0	1.534	False	False		
6	1.0	9.0	0.785	False	False		
7	0.0	5.0	0.67	False	False		
8	0.0	6.0	0.7170000000000001	False	False		
9	1.0	8.0	0.604	False	False		
10	0.0	8.0	0.7140000000000001	False	False		
11	1.0	6.0	0.862	False	False		
12	1.0	5.0	0.755	False	False		
13	0.0	8.0	0.585	False	False		
14	1.0	6.0	0.875	False	False		
15	1.0	6.0	1.162	False	False		
16	1.0	8.0	1.0090000000000001	False	False		
17	1.0	5.0	0.915	False	False		
18	1.0	9.0	1.123	False	False		
19	1.0	9.0	0.882	False	False		
20	1.0	5.0	0.8190000000000001	False	False		
21	1.0	5.0	0.818	False	False		
22	0.0	5.0	0.746	False	False		
23	1.0	5.0	0.8690000000000001	False	False		
24	1.0	8.0	0.96	False	False		
25	0.0	5.0	0.701	False	False		
26	1.0	6.0	0.875	False	False		
27	1.0	5.0	1.288	False	False		
28	1.0	6.0	0.81	False	False		
29	1.0	5.0	1.815	False	False		
30	1.0	8.0	0.9009999999999999	False	False		
31	1.0	5.0	1.023	False	False		
32	1.0	9.0	1.51	False	False		
33	0.0	6.0	0.7659999999999999	False	False		
34	0.0	9.0	0.6679999999999999	False	False		
35	0.0	8.0	0.606	False	False		
36	0.0	5.0	0.615	False	False		
37	1.0	8.0	0.8079999999999999	False	False		
38	0.0	9.0	0.941	False	False		
39	1.0	9.0	1.474	False	False		
40	0.0	6.0	1.262	False	False		
41	1.0	8.0	1.011	False	False		
42	1.0	6.0	0.7959999999999999	False	False		
43	1.0	9.0	0.825	False	False		
44	1.0	6.0	0.6809999999999999	False	False		
45	1.0	9.0	0.815	False	False		
46	1.0	6.0	0.862	False	False		
47	0.0	6.0	0.769	False	False		
48	1.0	5.0	0.6940000000000001	False	False		
49	1.0	9.0	0.752	False	False		
50	1.0	8.0	0.644	False	False		
51	1.0	6.0	0.722	False	False		
52	0.0	6.0	1.161	False	False		
53	0.0	9.0	0.8009999999999999	False	False		
54	1.0	6.0	0.573	False	False		
55	1.0	5.0	0.778	False	False		
56	1.0	6.0	0.612	False	False		
57	0.0	8.0	0.8170000000000001	False	False		
58	1.0	9.0	0.8340000000000001	False	False		
59	1.0	8.0	0.701	False	False		
60	1.0	9.0	1.157	False	False		
61	0.0	9.0	0.0	False	False		
62	1.0	8.0	0.645	False	False		
63	1.0	9.0	0.6659999999999999	False	False		
64	0.0	8.0	0.49700000000000005	False	False		
65	0.0	5.0	0.591	False	False		
66	0.0	5.0	0.0	False	False		
67	0.0	8.0	0.547	False	False		
68	0.0	9.0	0.639	False	False		
69	0.0	8.0	0.627	False	False		
70	1.0	6.0	0.6940000000000001	False	False		
71	1.0	6.0	0.888	False	False		
72	1.0	8.0	0.94	False	False		
73	1.0	9.0	0.838	False	False		
74	1.0	6.0	1.055	False	False		
75	0.0	9.0	1.151	False	False		
76	0.0	5.0	0.622	False	False		
77	1.0	5.0	0.779	False	False		
78	1.0	9.0	0.0	False	False		
79	1.0	8.0	0.9740000000000001	False	False		
80	1.0	8.0	0.76	False	False		
81	0.0	6.0	0.531	False	False		
82	1.0	6.0	0.69	False	False		
83	0.0	6.0	0.715	False	False		
84	1.0	9.0	0.598	False	False		
85	1.0	9.0	0.8690000000000001	False	False		
86	1.0	5.0	0.773	False	False		
87	0.0	9.0	0.626	False	False		
88	1.0	8.0	0.725	False	False		
89	0.0	8.0	0.635	False	False		
90	1.0	8.0	0.604	False	False		
91	0.0	8.0	0.62	False	False		
92	1.0	5.0	0.662	False	False		
93	0.0	5.0	0.636	False	False		
94	1.0	8.0	0.757	False	False		
95	1.0	9.0	0.634	False	False		
96	0.0	9.0	0.608	False	False		
97	0.0	9.0	0.6729999999999999	False	False		
98	1.0	8.0	0.6729999999999999	False	False		
99	1.0	8.0	0.773	False	False		
100	0.0	6.0	0.552	False	False		
101	1.0	5.0	0.69	False	False		
102	1.0	9.0	0.639	False	False		
103	1.0	5.0	0.733	False	False		
104	1.0	9.0	1.103	False	False		
105	1.0	8.0	0.564	False	False		
106	0.0	6.0	0.65	False	False		
107	1.0	6.0	0.59	False	False		
108	1.0	9.0	0.7070000000000001	False	False		
109	0.0	5.0	0.7659999999999999	False	False		
110	0.0	6.0	0.612	False	False		
111	1.0	5.0	0.665	False	False		
112	1.0	6.0	0.672	False	False		
113	0.0	9.0	0.622	False	False		
114	1.0	5.0	0.784	False	False		
115	1.0	5.0	0.6559999999999999	False	False		
116	1.0	8.0	0.591	False	False		
