	stimOnsetSec	stimDurSec	ImageID	tNumXcond	Condition	CorrectSource	Stim_RT
0	False	False	False	False	0.0	8.0	1.39
1	False	False			1.0	6.0	1.145
2	False	False			1.0	5.0	1.083
3	False	False			1.0	6.0	1.255
4	False	False			1.0	9.0	1.251
5	False	False			1.0	8.0	1.09
6	False	False			1.0	9.0	0.867
7	False	False			0.0	5.0	1.442
8	False	False			0.0	6.0	0.963
9	False	False			1.0	8.0	1.639
10	False	False			0.0	8.0	0.8909999999999999
11	False	False			1.0	6.0	1.2670000000000001
12	False	False			1.0	5.0	0.988
13	False	False			0.0	8.0	1.078
14	False	False			1.0	6.0	1.158
15	False	False			1.0	6.0	0.9620000000000001
16	False	False			1.0	8.0	1.46
17	False	False			1.0	5.0	1.2009999999999998
18	False	False			1.0	9.0	0.9440000000000001
19	False	False			1.0	9.0	1.196
20	False	False			1.0	5.0	1.419
21	False	False			1.0	5.0	1.063
22	False	False			0.0	5.0	1.295
23	False	False			1.0	5.0	1.038
24	False	False			1.0	8.0	1.1059999999999999
25	False	False			0.0	5.0	1.126
26	False	False			1.0	6.0	1.01
27	False	False			1.0	5.0	1.355
28	False	False			1.0	6.0	0.887
29	False	False			1.0	5.0	0.9620000000000001
30	False	False			1.0	8.0	1.284
31	False	False			1.0	5.0	1.128
32	False	False			1.0	9.0	1.382
33	False	False			0.0	6.0	0.983
34	False	False			0.0	9.0	1.465
35	False	False			0.0	8.0	0.8
36	False	False			0.0	5.0	0.7440000000000001
37	False	False			1.0	8.0	1.722
38	False	False			0.0	9.0	1.251
39	False	False			1.0	9.0	1.199
40	False	False			0.0	6.0	1.008
41	False	False			1.0	8.0	1.7209999999999999
42	False	False			1.0	6.0	1.9709999999999999
43	False	False			1.0	9.0	1.281
44	False	False			1.0	6.0	1.386
45	False	False			1.0	9.0	0.627
46	False	False			1.0	6.0	0.695
47	False	False			0.0	6.0	2.025
48	False	False			1.0	5.0	0.7090000000000001
49	False	False			1.0	9.0	0.728
50	False	False			1.0	8.0	1.265
51	False	False			1.0	6.0	0.853
52	False	False			0.0	6.0	1.218
53	False	False			0.0	9.0	0.534
54	False	False			1.0	6.0	0.75
55	False	False			1.0	5.0	2.104
56	False	False			1.0	6.0	0.9620000000000001
57	False	False			0.0	8.0	0.818
58	False	False			1.0	9.0	0.741
59	False	False			1.0	8.0	0.7929999999999999
60	False	False			1.0	9.0	1.368
61	False	False			0.0	9.0	0.0
62	False	False			1.0	8.0	0.8059999999999999
63	False	False			1.0	9.0	0.5589999999999999
64	False	False			0.0	8.0	1.103
65	False	False			0.0	5.0	0.8079999999999999
66	False	False			0.0	5.0	0.588
67	False	False			0.0	8.0	0.5579999999999999
68	False	False			0.0	9.0	0.8490000000000001
69	False	False			0.0	8.0	0.747
70	False	False			1.0	6.0	0.778
71	False	False			1.0	6.0	1.4780000000000002
72	False	False			1.0	8.0	1.709
73	False	False			1.0	9.0	1.239
74	False	False			1.0	6.0	1.776
75	False	False			0.0	9.0	1.169
76	False	False			0.0	5.0	0.885
77	False	False			1.0	5.0	0.863
78	False	False			1.0	9.0	0.8270000000000001
79	False	False			1.0	8.0	0.6809999999999999
80	False	False			1.0	8.0	0.5720000000000001
81	False	False			0.0	6.0	0.736
82	False	False			1.0	6.0	0.429
83	False	False			0.0	6.0	1.124
84	False	False			1.0	9.0	0.759
85	False	False			1.0	9.0	1.334
86	False	False			1.0	5.0	1.197
87	False	False			0.0	9.0	0.731
88	False	False			1.0	8.0	0.769
89	False	False			0.0	8.0	0.642
90	False	False			1.0	8.0	0.6779999999999999
91	False	False			0.0	8.0	0.742
92	False	False			1.0	5.0	0.711
93	False	False			0.0	5.0	1.7409999999999999
94	False	False			1.0	8.0	0.58
95	False	False			1.0	9.0	2.725
96	False	False			0.0	9.0	0.789
97	False	False			0.0	9.0	0.485
98	False	False			1.0	8.0	2.319
99	False	False			1.0	8.0	1.604
100	False	False			0.0	6.0	0.622
101	False	False			1.0	5.0	0.618
102	False	False			1.0	9.0	0.9940000000000001
103	False	False			1.0	5.0	1.8119999999999998
104	False	False			1.0	9.0	1.048
105	False	False			1.0	8.0	0.644
106	False	False			0.0	6.0	1.117
107	False	False			1.0	6.0	0.475
108	False	False			1.0	9.0	1.032
109	False	False			0.0	5.0	1.776
110	False	False			0.0	6.0	1.38
111	False	False			1.0	5.0	1.67
112	False	False			1.0	6.0	0.499
113	False	False			0.0	9.0	0.841
114	False	False			1.0	5.0	0.79
115	False	False			1.0	5.0	0.925
116	False	False			1.0	8.0	1.817
117	False	False					
118	False	False					
119	False	False					
120	False	False					
121	False	False					
122	False	False					
123	False	False					
124	False	False					
125	False	False					
126	False	False					
127	False	False					
128	False	False					
129	False	False					
130	False	False					
131	False	False					
132	False	False					
133	False	False					
134	False	False					
135	False	False					
136	False	False					
137	False	False					
138	False	False					
139	False	False					
140	False	False					
141	False	False					
142	False	False					
143	False	False					
144	False	False					
145	False	False					
146	False	False					
147	False	False					
148	False	False					
149	False	False					
150	False	False					
151	False	False					
152	False	False					
153	False	False					
154	False	False					
155	False	False					
156	False	False					
157	False	False					
158	False	False					
159	False	False					
160	False	False					
161	False	False					
162	False	False					
163	False	False					
164	False	False					
165	False	False					
166	False	False					
167	False	False					
168	False	False					
169	False	False					
170	False	False					
171	False	False					
172	False	False					
173	False	False					
174	False	False					
175	False	False					
176	False	False					
177	False	False					
178	False	False					
179	False	False					
180	False	False					
181	False	False					
182	False	False					
183	False	False					
184	False	False					
185	False	False					
186	False	False					
187	False	False					
188	False	False					
189	False	False					
190	False	False					
191	False	False					
192	False	False					
193	False	False					
194	False	False					
195	False	False					
196	False	False					
197	False	False					
198	False	False					
199	False	False					
200	False	False					
201	False	False					
202	False	False					
203	False	False					
204	False	False					
205	False	False					
206	False	False					
207	False	False					
208	False	False					
