	Condition	CorrectSource	Stim_RT	stimOnsetSec	stimDurSec	ImageID	tNumXcond
0	1.0	8.0	0.44799999999999995	False	False	False	False
1	0.0	6.0	0.674	False	False		
2	1.0	5.0	0.603	False	False		
3	1.0	5.0	0.5770000000000001	False	False		
4	0.0	5.0	0.6829999999999999	False	False		
5	0.0	6.0	0.483	False	False		
6	1.0	6.0	0.491	False	False		
7	1.0	5.0	0.591	False	False		
8	0.0	6.0	0.755	False	False		
9	1.0	9.0	0.5539999999999999	False	False		
10	0.0	9.0	0.414	False	False		
11	1.0	6.0	0.503	False	False		
12	0.0	9.0	0.38799999999999996	False	False		
13	0.0	5.0	0.44	False	False		
14	1.0	8.0	0.384	False	False		
15	1.0	9.0	0.40399999999999997	False	False		
16	1.0	5.0	0.414	False	False		
17	1.0	9.0	0.583	False	False		
18	1.0	5.0	0.445	False	False		
19	1.0	8.0	0.465	False	False		
20	1.0	8.0	0.602	False	False		
21	1.0	9.0	0.5479999999999999	False	False		
22	1.0	8.0	0.439	False	False		
23	1.0	5.0	0.515	False	False		
24	0.0	8.0	0.428	False	False		
25	1.0	8.0	0.456	False	False		
26	1.0	8.0	0.418	False	False		
27	1.0	5.0	0.38	False	False		
28	0.0	8.0	0.43700000000000006	False	False		
29	1.0	9.0	0.44799999999999995	False	False		
30	1.0	9.0	0.515	False	False		
31	1.0	6.0	0.436	False	False		
32	1.0	8.0	0.496	False	False		
33	1.0	8.0	0.467	False	False		
34	1.0	9.0	0.48200000000000004	False	False		
35	1.0	5.0	0.515	False	False		
36	1.0	6.0	0.48	False	False		
37	0.0	9.0	0.473	False	False		
38	0.0	6.0	0.524	False	False		
39	0.0	6.0	0.502	False	False		
40	0.0	5.0	0.389	False	False		
41	1.0	9.0	0.409	False	False		
42	1.0	8.0	0.38799999999999996	False	False		
43	0.0	9.0	0.63	False	False		
44	1.0	6.0	0.485	False	False		
45	1.0	6.0	0.462	False	False		
46	1.0	9.0	0.402	False	False		
47	1.0	8.0	0.382	False	False		
48	0.0	8.0	0.551	False	False		
49	1.0	9.0	0.5870000000000001	False	False		
50	0.0	9.0	0.38799999999999996	False	False		
51	0.0	8.0	0.392	False	False		
52	1.0	8.0	0.429	False	False		
53	1.0	9.0	0.46799999999999997	False	False		
54	1.0	6.0	0.449	False	False		
55	0.0	5.0	0.40700000000000003	False	False		
56	1.0	5.0	0.40399999999999997	False	False		
57	1.0	6.0	0.544	False	False		
58	1.0	6.0	0.43700000000000006	False	False		
59	1.0	8.0	0.428	False	False		
60	1.0	9.0	0.423	False	False		
61	0.0	5.0	0.447	False	False		
62	1.0	5.0	0.47	False	False		
63	0.0	8.0	0.447	False	False		
64	0.0	9.0	0.42700000000000005	False	False		
65	1.0	6.0	0.409	False	False		
66	0.0	8.0	0.498	False	False		
67	1.0	9.0	0.523	False	False		
68	1.0	6.0	0.41	False	False		
69	1.0	9.0	0.452	False	False		
70	1.0	6.0	0.414	False	False		
71	1.0	8.0	0.429	False	False		
72	1.0	9.0	0.441	False	False		
73	1.0	8.0	0.381	False	False		
74	0.0	9.0	0.44	False	False		
75	1.0	9.0	0.41200000000000003	False	False		
76	0.0	6.0	0.42700000000000005	False	False		
77	1.0	5.0	0.413	False	False		
78	1.0	8.0	0.428	False	False		
79	1.0	5.0	0.413	False	False		
80	1.0	6.0	0.435	False	False		
81	0.0	6.0	0.502	False	False		
82	1.0	5.0	0.503	False	False		
83	1.0	6.0	0.539	False	False		
84	1.0	8.0	0.479	False	False		
85	0.0	6.0	0.513	False	False		
86	0.0	9.0	0.563	False	False		
87	0.0	5.0	0.462	False	False		
88	1.0	5.0	0.48700000000000004	False	False		
89	1.0	5.0	0.41100000000000003	False	False		
90	0.0	8.0	0.498	False	False		
91	1.0	5.0	0.534	False	False		
92	1.0	9.0	0.584	False	False		
93	0.0	9.0	0.618	False	False		
94	1.0	9.0	0.397	False	False		
95	1.0	5.0	0.423	False	False		
96	0.0	6.0	0.488	False	False		
97	0.0	5.0	0.6809999999999999	False	False		
98	1.0	8.0	0.41600000000000004	False	False		
99	1.0	6.0	0.375	False	False		
100	0.0	5.0	0.358	False	False		
101	0.0	8.0	0.41200000000000003	False	False		
102	1.0	6.0	0.405	False	False		
103	1.0	5.0	0.366	False	False		
104	0.0	8.0	0.467	False	False		
105	0.0	6.0	0.304	False	False		
106	1.0	6.0	0.37	False	False		
107	1.0	8.0	0.406	False	False		
108	0.0	5.0	0.47200000000000003	False	False		
109	0.0	8.0	0.434	False	False		
110	1.0	9.0	0.41200000000000003	False	False		
111	1.0	8.0	0.413	False	False		
112	0.0	9.0	0.474	False	False		
113	1.0	9.0	0.363	False	False		
114	1.0	6.0	0.46299999999999997	False	False		
115	1.0	5.0	0.43	False	False		
116	1.0	6.0	0.419	False	False		
117				False	False		
118				False	False		
119				False	False		
120				False	False		
121				False	False		
122				False	False		
123				False	False		
124				False	False		
125				False	False		
126				False	False		
127				False	False		
128				False	False		
129				False	False		
130				False	False		
131				False	False		
132				False	False		
133				False	False		
134				False	False		
135				False	False		
136				False	False		
137				False	False		
138				False	False		
139				False	False		
140				False	False		
141				False	False		
142				False	False		
143				False	False		
144				False	False		
145				False	False		
146				False	False		
147				False	False		
148				False	False		
149				False	False		
150				False	False		
151				False	False		
152				False	False		
153				False	False		
154				False	False		
155				False	False		
156				False	False		
157				False	False		
158				False	False		
159				False	False		
160				False	False		
161				False	False		
162				False	False		
163				False	False		
164				False	False		
165				False	False		
166				False	False		
167				False	False		
168				False	False		
169				False	False		
170				False	False		
171				False	False		
172				False	False		
173				False	False		
174				False	False		
175				False	False		
176				False	False		
177				False	False		
178				False	False		
179				False	False		
180				False	False		
181				False	False		
182				False	False		
183				False	False		
184				False	False		
185				False	False		
186				False	False		
187				False	False		
188				False	False		
189				False	False		
190				False	False		
191				False	False		
192				False	False		
193				False	False		
194				False	False		
195				False	False		
196				False	False		
197				False	False		
198				False	False		
199				False	False		
200				False	False		
201				False	False		
202				False	False		
203				False	False		
204				False	False		
205				False	False		
206				False	False		
207				False	False		
208				False	False		
209				False	False		
210				False	False		
211				False	False		
212				False	False		
213				False	False		
214				False	False		
215				False	False		
216				False	False		
217				False	False		
218				False	False		
219				False	False		
220				False	False		
221				False	False		
222				False	False		
223				False	False		
224				False	False		
225				False	False		
226				False	False		
227				False	False		
228				False	False		
229				False	False		
230				False	False		
231				False	False		
232				False	False		
233				False	False		
