	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT	Condition	CorrectSource	Stim_RT
0	New	animal_ostrich.bmp	New26	1	2	2.353	False	0	0	8	0.9570000000000001
1	OLD	sporting_snow shoes_old.bmp	Old64	1	1	2.513	8.0	787	1	6	1.18
2	OLD	animal_sheep.bmp	Old11	1	1	3.928	8.0	739	1	5	1.042
3	OLD	sporting_boxing_gloves.bmp	Old56	1	1	2.9960000000000004	6.0	947	1	6	1.0490000000000002
4	OLD	food_rawchicken.bmp	Old23	1	1	1.653	8.0	442	1	9	0.986
5	OLD	animal_dalmation_old.bmp	Old04	0	2	1.453	8.0	442	1	8	0.981
6	OLD	sporting_Badminton Racquet.bmp	Old54	1	1	1.489	9.0	629	1	9	0.83
7	New	musical_bagpipes.bmp	New35	1	2	1.4809999999999999	9.0	629	0	5	0.762
8	New	sporting_baseball bat_new.bmp	New08	1	2	2.2119999999999997	9.0	629	0	6	0.6990000000000001
9	New	musical_french horn_old.bmp	New12	1	2	1.5619999999999998	9.0	629	1	8	1.001
10	OLD	animal_lion_new.bmp	Old07	0	2	2.674	9.0	629	0	8	0.867
11	OLD	food_croissant01.bmp	Old19	1	1	1.23	8.0	492	1	6	0.799
12	New	musical_bongo drum.bmp	New23	1	2	1.581	8.0	492	1	5	0.826
13	New	kitchen_spatula_old.bmp	New37	1	2	0.995	8.0	492	0	8	0.621
14	OLD	musical_accordion_old.bmp	Old41	0	2	3.122	8.0	492	1	6	1.3130000000000002
15	OLD	animal_parrot.bmp	Old09	0	2	2.875	8.0	492	1	6	0.889
16	New	food_bagel01.bmp	New17	1	2	1.072	8.0	492	1	8	1.3530000000000002
17	OLD	food_chocolatemilk.bmp	Old17	1	1	3.378	9.0	435	1	5	0.946
18	OLD	kitchen_cookie cutter.bmp	Old30	1	1	1.393	9.0	593	1	9	0.9329999999999999
19	OLD	animal_chimpanzee.bmp	Old03	0	2	1.608	9.0	593	1	9	0.794
20	OLD	kitchen_big cooking pot.bmp	Old28	0	2	1.119	9.0	593	1	5	0.853
21	OLD	fruit_watermelon_old.bmp	Old71	1	1	2.168	6.0	337	1	5	2.072
22	OLD	musical_clarinet_new.bmp	Old44	1	1	1.712	8.0	491	0	5	0.899
23	New	fruit_rasberry.bmp	New10	1	2	1.2919999999999998	8.0	491	1	5	0.745
24	New	musical_uculele_new.bmp	New39	0	1	2.838	8.0	348	1	8	0.865
25	OLD	fruit_pineapple_old.bmp	Old70	1	1	1.459	6.0	352	0	5	0.7340000000000001
26	OLD	sporting_skipping rope.bmp	Old63	0	2	1.848	6.0	352	1	6	0.861
27	OLD	Kitchen_apron.bmp	Old27	1	1	1.413	9.0	580	1	5	0.997
28	New	sporting_windsurf.bmp	New31	1	2	1.723	9.0	580	1	6	0.8320000000000001
29	OLD	animal_frog.bmp	Old06	1	1	1.732	8.0	638	1	5	0.8740000000000001
30	OLD	kitchen_ladle.bmp	Old31	1	1	1.2890000000000001	6.0	429	1	8	0.607
31	New	vegie_pumpkin.bmp	New21	0	1	2.41	6.0	448	1	5	0.985
32	OLD	animal_monarch_old.bmp	Old08	1	1	3.013	8.0	468	1	9	1.09
33	OLD	sporting_americanfootball.bmp	Old53	0	2	1.6880000000000002	8.0	468	0	6	0.737
34	OLD	hard_musical_recorder.bmp	Old40	1	1	2.7239999999999998	9.0	1654	0	9	0.6709999999999999
35	OLD	kitchen_coffee pot.bmp	Old29	0	2	1.403	9.0	1654	0	8	0.555
36	OLD	vegie_garlic01a.bmp	Old74	0	2	1.104	9.0	1654	0	5	0.621
37	OLD	food_bottleofredwine01.bmp	Old15	1	1	1.8559999999999999	5.0	1973	1	8	0.995
38	New	vegie_broccoli.bmp	New36	1	2	1.3159999999999998	5.0	1973	0	9	0.54
39	New	food_pizza.bmp	New22	1	2	0.789	5.0	1973	1	9	1.021
40	New	kitchen_ramekin.bmp	New13	1	2	0.963	5.0	1973	0	6	2.1830000000000003
41	OLD	kitchen_tea cup and saucer.bmp	Old37	1	1	2.315	5.0	701	1	8	1.032
42	New	kitchen_garlic press.bmp	New07	1	2	1.287	5.0	701	1	6	0.866
43	OLD	animal_siamese cat.bmp	Old12	0	2	1.4880000000000002	5.0	701	1	9	0.67
44	New	food_walnut01c.bmp	New34	1	2	3.4330000000000003	5.0	701	1	6	0.569
45	OLD	vegie_carrot.bmp	Old78	1	1	1.166	9.0	470	1	9	1.122
46	OLD	fruit_lemon_new.bmp	Old69	1	1	2.8	8.0	560	1	6	1.153
47	OLD	vegie_mushroom.bmp	Old76	0	2	3.752	8.0	560	0	6	0.75
48	OLD	vegie_corn02.bmp	Old73	1	1	1.025	6.0	342	1	5	1.2790000000000001
49	OLD	sporting_bicycle_old.bmp	Old55	1	1	1.27	8.0	586	1	9	0.8240000000000001
50	New	vegie_snowpea01.bmp	New27	1	2	1.263	8.0	586	1	8	0.9620000000000001
51	OLD	sporting_soccer ball_new.bmp	Old65	0	2	0.867	8.0	586	1	6	0.784
52	OLD	food_shellpasta.bmp	Old25	1	1	1.5430000000000001	5.0	288	0	6	0.672
53	OLD	sporting_karate clothing.bmp	Old60	0	2	1.042	5.0	288	0	9	0.608
54	OLD	vegie_green capsicum.bmp	Old75	0	2	0.9670000000000001	5.0	288	1	6	1.23
55	OLD	fruit_blackberry_new.bmp	Old66	1	1	3.591	5.0	263	1	5	1.099
