	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond	Condition	CorrectSource	Stim_RT
0	11.550999999999998	3.0	14.550999999999998	5.5	False	CTL01	0	8	0.9570000000000001
1	20.05	3.0	23.05	0.5	Old53	Enc01	1	6	2.451
2	23.55	3.0	26.55	1.0	Old03	Enc02	1	5	0.02
3	27.549	3.0	30.549	1.0	Old16	Enc03	1	6	2.452
4	31.549	3.0	34.549	1.5	Old71	Enc04	1	9	0.951
5	36.049	3.0	39.048	2.0	Old63	Enc05	1	8	1.4509999999999998
6	41.048	3.0	44.048	3.0	Old40	Enc06	1	9	1.452
7	47.048	3.0	50.047	0.5	False	CTL02	0	5	0.452
8	50.547	3.0	53.547	4.0	False	CTL03	0	6	1.057
9	57.547	3.0	60.547	2.5	Old39	Enc07	1	8	1.4809999999999999
10	63.04600000000001	3.0	66.046	1.5	False	CTL04	0	8	0.787
11	67.546	3.0	70.546	2.0	Old45	Enc08	1	6	2.165
12	72.545	3.0	75.545	3.5	Old26	Enc09	1	5	1.4
13	79.045	3.0	82.045	0.5	False	CTL05	0	8	0.737
14	82.544	3.0	85.544	2.5	Old36	Enc10	1	6	2.455
15	88.044	3.0	91.044	0.5	Old08	Enc11	1	6	1.526
16	91.544	3.0	94.543	1.0	Old18	Enc12	1	8	0.955
17	95.543	3.0	98.543	1.5	Old73	Enc13	1	5	1.956
18	100.04299999999999	3.0	103.04299999999999	2.5	Old24	Enc14	1	9	2.454
19	105.542	3.0	108.542	3.0	Old34	Enc15	1	9	1.955
20	111.542	3.0	114.542	1.0	Old32	Enc16	1	5	0.955
21	115.541	3.0	118.541	1.5	Old15	Enc17	1	5	1.956
22	120.041	3.0	123.041	1.5	False	CTL06	0	5	0.938
23	124.541	3.0	127.54	1.0	Old06	Enc18	1	5	0.456
24	128.54	3.0	131.54	2.5	Old41	Enc19	1	8	1.4569999999999999
25	134.04	3.0	137.04	2.5	False	CTL07	0	5	0.7609999999999999
26	139.539	3.0	142.539	0.5	Old68	Enc20	1	6	0.457
27	143.039	3.0	146.039	5.5	Old57	Enc21	1	5	1.9569999999999999
28	151.53799999999998	3.0	154.53799999999998	5.5	Old67	Enc22	1	6	0.958
29	160.037	3.0	163.037	2.0	Old05	Enc23	1	5	2.195
30	165.037	3.0	168.037	1.0	Old04	Enc24	1	8	2.053
31	169.037	3.0	172.03599999999997	3.0	Old42	Enc25	1	5	0.9590000000000001
32	175.03599999999997	3.0	178.03599999999997	3.5	Old65	Enc26	1	9	2.3609999999999998
33	181.53599999999997	3.0	184.535	0.5	False	CTL08	0	6	0.862
34	185.035	3.0	188.035	1.5	False	CTL09	0	9	1.063
35	189.535	3.0	192.53400000000002	9.5	False	CTL10	0	8	0.45899999999999996
36	202.03400000000002	3.0	205.033	2.0	False	CTL11	0	5	0.46
37	207.033	3.0	210.033	2.0	Old48	Enc27	1	8	0.46
38	212.033	3.0	215.032	1.0	False	CTL12	0	9	0.46
39	216.032	3.0	219.032	0.5	Old25	Enc28	1	9	1.4609999999999999
40	219.532	3.0	222.532	0.5	False	CTL13	0	6	0.461
41	223.032	3.0	226.03099999999998	2.0	Old37	Enc29	1	8	1.9609999999999999
42	228.03099999999998	3.0	231.03099999999998	4.5	Old56	Enc30	1	6	1.962
43	235.53099999999998	3.0	238.53	3.5	Old09	Enc31	1	9	1.962
44	242.03	3.0	245.03	8.0	Old72	Enc32	1	6	0.46299999999999997
45	253.02900000000002	3.0	256.029	9.0	Old22	Enc33	1	9	0.8420000000000001
46	265.028	3.0	268.028	0.5	Old14	Enc34	1	6	1.4269999999999998
47	268.528	3.0	271.527	2.5	False	CTL14	0	6	1.36
48	274.027	3.0	277.027	8.5	Old69	Enc35	1	5	0.9640000000000001
49	285.526	3.0	288.526	0.5	Old12	Enc36	1	9	1.964
50	289.026	3.0	292.025	5.5	Old11	Enc37	1	8	0.9640000000000001
51	297.525	3.0	300.525	3.0	Old46	Enc38	1	6	1.3430000000000002
52	303.524	3.0	306.524	4.0	False	CTL15	0	6	0.601
53	310.524	3.0	313.524	6.5	False	CTL16	0	9	0.85
54	320.02299999999997	3.0	323.02299999999997	0.5	Old59	Enc39	1	6	1.2890000000000001
55	323.52299999999997	3.0	326.522	11.0	Old62	Enc40	1	5	1.466
56	338.02099999999996	3.0	341.02099999999996	9.5	Old78	Enc41	1	6	1.9669999999999999
57	350.52	3.0	353.52	1.0	False	CTL17	0	8	0.615
58	354.52	3.0	357.52	5.5	Old61	Enc42	1	9	0.467
59	363.019	3.0	366.019	1.5	Old19	Enc43	1	8	1.47
60	367.519	3.0	370.51800000000003	1.0	Old30	Enc44	1	9	2.468
61	371.51800000000003	3.0	374.51800000000003	2.0	False	CTL18	0	9	0.938
62	376.51800000000003	3.0	379.52	3.5	Old17	Enc45	1	8	0.9690000000000001
63	383.017	3.0	386.017	1.5	Old27	Enc46	1	9	1.008
64	387.517	3.0	390.517	0.5	False	CTL19	0	8	0.922
65	391.01599999999996	3.0	394.01599999999996	2.5	False	CTL20	0	5	1.19
66	396.51599999999996	3.0	399.517	0.5	False	CTL21	0	5	0.8740000000000001
67	400.01599999999996	3.0	403.015	2.5	False	CTL22	0	8	1.203
68	405.515	3.0	408.515	2.0	False	CTL23	0	9	0.7509999999999999
69	410.515	3.0	413.514	11.0	False	CTL24	0	8	0.52
70	424.51300000000003	3.0	427.51300000000003	1.0	Old38	Enc47	1	6	0.47200000000000003
71	428.51300000000003	3.0	431.51300000000003	1.5	Old13	Enc48	1	6	1.301
72	433.01300000000003	3.0	436.01199999999983	0.5	Old49	Enc49	1	8	1.9709999999999999
73	436.51199999999983	3.0	439.51199999999983	0.5	Old47	Enc50	1	9	0.972
74	440.01199999999983	3.0	443.01199999999983	2.0	Old10	Enc51	1	6	2.1519999999999997
75	445.01199999999983	3.0	448.01099999999997	1.0	False	CTL25	0	9	0.8140000000000001
76	449.01099999999997	3.0	452.01099999999997	2.0	False	CTL26	0	5	0.973
77	454.01099999999997	3.0	457.01	4.0	Old52	Enc52	1	5	0.973
78	461.01	3.0	464.01	4.5	Old60	Enc53	1	9	1.0659999999999998
79	468.509	3.0	471.509	8.5	Old44	Enc54	1	8	1.474
80	480.00800000000004	3.0	483.00800000000004	1.0	Old55	Enc55	1	8	2.306
