	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond
0	OLD	vegie_corn02.bmp	Old73	1	1	16.999000000000002	5	2980	16.044	3.0	19.044	1.0	False	CTL01
1	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	2.2569999999999997	9	1605	20.044	3.0	23.043000000000003	8.0	Old53	Enc01
2	New	kitchen_toaster_old.bmp	New30	1	2	1.841	9	1605	31.043000000000003	3.0	34.042	7.5	Old10	Enc02
3	OLD	sporting_footballhelmet.bmp	Old57	1	1	1.419	6	1289	41.542	3.0	44.541000000000004	0.5	Old60	Enc03
4	New	fruit_granny smith apple.bmp	New16	1	2	2.627	6	1289	45.041000000000004	3.0	48.041000000000004	6.0	Old43	Enc04
5	OLD	kitchen_big cooking pot.bmp	Old28	1	1	5.774	9	2429	54.041000000000004	3.0	57.04	2.0	Old46	Enc05
6	New	animal_horse.bmp	New20	1	2	1.472	9	2429	59.04	3.0	62.04	2.0	Old69	Enc06
7	OLD	kitchen_tea cup and saucer.bmp	Old37	1	1	1.6969999999999998	8	4732	64.04	3.0	67.04	4.0	False	CTL02
8	OLD	sporting_karate clothing.bmp	Old60	1	1	4.083	6	3478	71.039	3.0	74.039	2.5	False	CTL03
9	New	musical_zamponia windflute.bmp	New29	1	2	3.1039999999999996	6	3478	76.539	3.0	79.538	1.5	False	CTL04
10	OLD	kitchen_scrubbing brush.bmp	Old36	0	2	2.08	6	3478	81.038	3.0	84.038	5.0	False	CTL05
11	New	musical_tambourine_new.bmp	New06	1	2	1.555	6	3478	89.038	3.0	92.037	1.0	Old65	Enc07
12	OLD	food_pecan02.bmp	Old21	1	1	1.921	8	1147	93.037	3.0	96.037	3.0	Old03	Enc08
13	New	sporting_golf ball.bmp	New19	1	2	1.8019999999999998	8	1147	99.037	3.0	102.036	3.0	False	CTL06
14	New	kitchen_fork_old.bmp	New18	1	2	1.67	8	1147	105.036	3.0	108.036	2.5	Old40	Enc09
15	OLD	animal_cheetah.bmp	Old02	0	2	5.215	8	1147	110.536	3.0	113.535	6.5	Old08	Enc10
16	New	animal_dolphin_old.bmp	New09	1	2	1.771	8	1147	120.035	3.0	123.035	2.5	Old29	Enc11
17	New	vegie_pumpkin.bmp	New21	1	2	1.585	8	1147	125.53399999999999	3.0	128.534	2.0	Old33	Enc12
18	OLD	animal_chimpanzee.bmp	Old03	1	1	1.64	8	2444	130.534	3.0	133.534	4.5	Old68	Enc13
19	OLD	musical_accordion_old.bmp	Old41	0	2	11.64	8	2444	138.033	3.0	141.033	4.5	Old78	Enc14
20	OLD	musical_triangle.bmp	Old49	1	1	1.956	6	2419	145.533	3.0	148.532	2.5	Old67	Enc15
21	OLD	hard_musical_recorder.bmp	Old40	1	1	1.5019999999999998	9	2009	151.032	3.0	154.032	1.0	Old74	Enc16
22	OLD	vegie_carrot.bmp	Old78	1	1	1.109	8	2079	155.032	3.0	158.032	1.5	Old11	Enc17
23	OLD	food_pickle01a.bmp	Old22	1	1	1.473	8	1532	159.531	3.0	162.531	4.0	False	CTL07
24	New	food_bagel01.bmp	New17	1	2	3.452	8	1532	166.53099999999998	3.0	169.53099999999998	3.0	False	CTL08
25	New	sporting_basketball_new.bmp	New14	0	1	2.1519999999999997	6	5264	172.53	3.0	175.53	1.0	Old34	Enc18
26	OLD	animal_camel_new.bmp	Old01	1	1	1.315	6	1269	176.53	3.0	179.53	1.0	Old17	Enc19
27	OLD	fruit_green grapes.bmp	Old68	1	1	1.359	8	1240	180.53	3.0	183.52900000000002	0.5	Old18	Enc20
28	New	animal_giraffe.bmp	New03	1	2	2.69	8	1240	184.02900000000002	3.0	187.02900000000002	3.5	Old72	Enc21
29	OLD	animal_sheep.bmp	Old11	0	2	1.643	8	1240	190.52900000000002	3.0	193.528	4.5	Old23	Enc22
30	OLD	sporting_skipping rope.bmp	Old63	1	1	1.165	5	829	198.028	3.0	201.028	9.5	False	CTL09
31	New	food_drink.bmp	New05	1	2	2.65	5	829	210.52700000000002	3.0	213.52700000000002	3.5	Old01	Enc23
32	OLD	sporting_boxing_gloves.bmp	Old56	1	1	1.18	6	1060	217.02599999999998	3.0	220.02599999999998	4.0	False	CTL10
33	OLD	kitchen_ladle.bmp	Old31	1	1	1.662	9	4794	224.02599999999998	3.0	227.02599999999998	4.0	Old19	Enc24
34	OLD	food_chocolatemilk.bmp	Old17	1	1	1.511	6	2281	231.025	3.0	234.025	1.0	Old47	Enc25
35	OLD	musical_harmonica_new.bmp	Old47	0	2	2.339	6	2281	235.025	3.0	238.025	6.0	Old15	Enc26
36	New	animal_pigeon.bmp	New32	1	2	2.529	6	2281	244.024	3.0	247.024	6.5	Old50	Enc27
37	New	sporting_baseball bat_new.bmp	New08	1	2	5.0569999999999995	6	2281	253.523	3.0	256.52299999999997	2.0	Old37	Enc28
38	OLD	sporting_fishing rod.bmp	Old59	1	1	1.037	8	786	258.52299999999997	3.0	261.52299999999997	1.5	Old44	Enc29
39	OLD	kitchen_martini glass.bmp	Old32	1	1	1.4	6	862	263.022	3.0	266.022	2.5	Old51	Enc30
40	OLD	vegie_garlic01a.bmp	Old74	1	1	2.113	8	1819	268.522	3.0	271.522	4.5	Old39	Enc31
41	OLD	musical_piano_old.bmp	Old48	1	1	1.8869999999999998	5	1466	276.02099999999996	3.0	279.02099999999996	0.5	Old13	Enc32
42	OLD	fruit_pineapple_old.bmp	Old70	0	2	6.82	5	1466	279.52099999999996	3.0	282.52099999999996	1.0	False	CTL11
43	OLD	kitchen_pitcher.bmp	Old34	1	1	0.9279999999999999	6	5281	283.52099999999996	3.0	286.52	1.5	Old09	Enc33
44	OLD	sporting_bicycle_old.bmp	Old55	0	2	1.979	6	5281	288.02	3.0	291.02	2.0	Old59	Enc34
45	OLD	food_frenchfries.bmp	Old20	1	1	1.136	5	1090	293.02	3.0	296.02	4.0	False	CTL12
46	New	kitchen_ramekin.bmp	New13	0	1	4.012	9	1369	300.019	3.0	303.019	2.0	Old02	Enc35
47	OLD	vegie_mushroom.bmp	Old76	1	1	1.2229999999999999	8	1084	305.019	3.0	308.019	2.5	Old63	Enc36
48	OLD	kitchen_white strainer.bmp	Old38	0	2	8.853	8	1084	310.518	3.0	313.518	2.0	Old22	Enc37
49	New	animal_seal.bmp	New38	1	2	1.976	8	1084	315.518	3.0	318.518	14.0	Old77	Enc38
50	OLD	vegie_cauliflower.bmp	Old72	1	1	1.3159999999999998	5	1062	333.01599999999996	3.0	336.01599999999996	4.0	Old25	Enc39
51	New	kitchen_garlic press.bmp	New07	1	2	1.905	5	1062	340.01599999999996	3.0	343.015	1.5	False	CTL13
52	OLD	kitchen_coffee pot.bmp	Old29	1	1	1.53	6	1771	344.515	3.0	347.515	1.0	Old24	Enc40
53	New	musical_uculele_new.bmp	New39	0	1	1.225	9	1239	348.515	3.0	351.515	3.0	False	CTL14
54	OLD	sporting_soccer ball_new.bmp	Old65	1	1	1.433	6	1415	354.515	3.0	357.514	5.5	False	CTL15
55	OLD	sporting_americanfootball.bmp	Old53	1	1	0.78	6	1411	363.014	3.0	366.01300000000003	2.0	False	CTL16
56	OLD	food_cracker02.bmp	Old18	0	2	4.247	6	1411	368.01300000000003	3.0	371.01300000000003	2.5	Old41	Enc41
57	New	food_pizza.bmp	New22	1	2	1.883	6	1411	373.51300000000003	3.0	376.51300000000003	3.0	Old38	Enc42
58	OLD	animal_dalmation_old.bmp	Old04	0	2	4.7010000000000005	6	1411	379.51199999999983	3.0	382.51199999999983	3.0	Old30	Enc43
59	New	kitchen_kettle_new.bmp	New24	1	2	2.718	6	1411	385.51199999999983	3.0	388.51199999999983	2.0	Old66	Enc44
60	OLD	animal_lion_new.bmp	Old07	1	1	0.8759999999999999	8	5095	390.51099999999997	3.0	393.51099999999997	5.0	Old54	Enc45
61	New	musical_bagpipes.bmp	New35	1	2	1.745	8	5095	398.51099999999997	3.0	401.51	4.5	Old64	Enc46
62	OLD	vegie_green capsicum.bmp	Old75	1	1	1.121	5	1906	406.01	3.0	409.01	10.0	False	CTL17
63	OLD	food_toast.bmp	Old26	0	2	2.002	5	1906	419.509	3.0	422.509	2.5	Old73	Enc47
64	OLD	sporting_mini-trampoline.bmp	Old61	1	1	1.24	5	2749	425.00800000000004	3.0	428.00800000000004	2.5	Old31	Enc48
65	New	food_bread.bmp	New28	1	2	1.5390000000000001	5	2749	430.50800000000004	3.0	433.50800000000004	6.0	False	CTL18
66	OLD	sporting_Badminton Racquet.bmp	Old54	1	1	1.6669999999999998	6	2150	439.50699999999983	3.0	442.50699999999983	3.5	False	CTL19
67	New	kitchen_spatula_old.bmp	New37	1	2	2.645	6	2150	446.00699999999983	3.0	449.006	1.5	Old26	Enc49
