	Condition	CorrectSource	Stim_RT	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond
0	1	8	0.0	25.023000000000003	3.0	28.031999999999996	0.5	Old60	Enc01
1	0	6	1.1540000000000001	28.533	3.0	31.541999999999998	0.5	False	CTL01
2	1	5	2.059	32.044000000000004	3.0	35.053000000000004	4.5	Old03	Enc02
3	1	5	1.778	39.549	3.0	42.558	2.0	Old53	Enc03
4	0	5	0.9470000000000001	44.548	3.0	47.556999999999995	3.5	False	CTL02
5	0	6	1.5490000000000002	51.05	3.0	54.059	1.5	False	CTL03
6	1	6	0.0	55.547	3.0	58.556000000000004	2.5	Old66	Enc04
7	1	5	1.4869999999999999	61.047	3.0	64.056	1.0	Old77	Enc05
8	0	6	0.0	65.059	3.0	68.068	3.0	False	CTL04
9	1	9	1.882	71.06	3.0	74.069	4.0	Old41	Enc06
10	0	9	1.206	78.064	3.0	81.07300000000002	0.5	False	CTL05
11	1	6	1.679	81.575	3.0	84.584	2.5	Old55	Enc07
12	0	9	1.251	87.075	3.0	90.084	2.5	False	CTL06
13	0	5	1.575	92.574	3.0	95.583	3.5	False	CTL07
14	1	8	1.672	99.077	3.0	102.086	1.0	Old07	Enc08
15	1	9	2.381	103.072	3.0	106.081	2.0	Old70	Enc09
16	1	5	2.926	108.071	3.0	111.08	0.5	Old12	Enc10
17	1	9	2.16	111.581	3.0	114.59	4.5	Old34	Enc11
18	1	5	1.5659999999999998	119.087	3.0	122.096	7.0	Old39	Enc12
19	1	8	1.425	129.084	3.0	132.093	0.5	Old42	Enc13
20	1	8	2.306	132.594	3.0	135.60299999999998	2.0	Old46	Enc14
21	1	9	1.6119999999999999	137.592	3.0	140.601	1.0	Old50	Enc15
22	1	8	1.568	141.588	3.0	144.597	1.0	Old44	Enc16
23	1	5	2.1719999999999997	145.6	3.0	148.609	3.5	Old01	Enc17
24	0	8	0.91	152.102	3.0	155.111	1.0	False	CTL08
25	1	8	1.986	156.09799999999998	3.0	159.107	2.0	Old27	Enc18
26	1	8	2.3480000000000003	161.096	3.0	164.105	0.5	Old25	Enc19
27	1	5	2.582	164.606	3.0	167.615	3.5	Old15	Enc20
28	0	8	1.383	171.109	3.0	174.118	7.0	False	CTL09
29	1	9	1.4409999999999998	181.106	3.0	184.115	2.5	Old48	Enc21
30	1	9	2.342	186.605	3.0	189.614	5.0	Old18	Enc22
31	1	6	1.902	194.613	3.0	197.622	1.0	Old05	Enc23
32	1	8	2.7060000000000004	198.625	3.0	201.63400000000001	10.0	Old19	Enc24
33	1	8	1.764	211.63	3.0	214.639	1.5	Old72	Enc25
34	1	9	1.9469999999999998	216.127	3.0	219.136	0.5	Old16	Enc26
35	1	5	1.9969999999999999	219.637	3.0	222.646	2.5	Old78	Enc27
36	1	6	2.057	225.137	3.0	228.146	3.5	Old36	Enc28
37	0	9	0.754	231.64	3.0	234.649	1.0	False	CTL10
38	0	6	0.774	235.65200000000002	3.0	238.66099999999997	0.5	False	CTL11
39	0	6	1.176	239.162	3.0	242.171	1.5	False	CTL12
40	0	5	0.639	243.65900000000002	3.0	246.668	7.0	False	CTL13
41	1	9	2.2969999999999997	253.65599999999998	3.0	256.665	7.0	Old75	Enc29
42	1	8	1.605	263.652	3.0	266.661	2.0	Old76	Enc30
43	0	9	0.0	268.651	3.0	271.66	6.5	False	CTL14
44	1	6	1.735	278.16200000000003	3.0	281.171	3.5	Old30	Enc31
45	1	6	1.56	284.665	3.0	287.67400000000004	2.5	Old04	Enc32
46	1	9	1.964	290.165	3.0	293.17400000000004	4.0	Old08	Enc33
47	1	8	1.735	297.16900000000004	3.0	300.178	3.5	Old61	Enc34
48	0	8	0.0	303.672	3.0	306.681	1.0	False	CTL15
49	1	9	1.732	307.684	3.0	310.693	6.5	Old09	Enc35
50	0	9	0.8759999999999999	317.19599999999997	3.0	320.205	7.5	False	CTL16
51	0	8	1.21	327.694	3.0	330.70300000000003	2.5	False	CTL17
52	1	8	2.334	333.19300000000004	3.0	336.202	1.5	Old64	Enc36
53	1	9	1.989	337.69	3.0	340.699	1.0	Old20	Enc37
54	1	6	2.698	341.685	3.0	344.694	3.0	Old43	Enc38
55	0	5	1.016	347.68699999999995	3.0	350.69599999999997	2.5	False	CTL18
56	1	5	1.548	353.18699999999995	3.0	356.195	1.0	Old14	Enc39
57	1	6	2.8169999999999997	357.19800000000004	3.0	360.207	9.0	Old23	Enc40
58	1	6	2.294	369.20099999999996	3.0	372.21	1.5	Old67	Enc41
59	1	8	2.82	373.69800000000004	3.0	376.707	8.5	Old28	Enc42
60	1	9	1.855	385.199	3.0	388.208	8.0	Old37	Enc43
61	0	5	0.8	396.19800000000004	3.0	399.207	1.5	False	CTL19
62	1	5	2.815	400.695	3.0	403.704	5.0	Old40	Enc44
63	0	8	1.088	408.702	3.0	411.711	1.0	False	CTL20
64	0	9	0.795	412.69800000000004	3.0	415.707	3.0	False	CTL21
65	1	6	1.962	418.699	3.0	421.708	5.0	Old59	Enc45
66	0	8	0.763	426.70599999999996	3.0	429.715	0.5	False	CTL22
67	1	9	2.1959999999999997	430.217	3.0	433.226	1.5	Old56	Enc46
68	1	6	1.42	434.713	3.0	437.722	0.5	Old45	Enc47
69	1	9	2.149	438.224	3.0	441.233	2.0	Old33	Enc48
70	1	6	2.263	443.222	3.0	446.231	1.5	Old17	Enc49
71	1	8	1.8459999999999999	447.719	3.0	450.728	1.0	Old02	Enc50
72	1	9	1.561	451.731	3.0	454.74	2.5	Old57	Enc51
73	1	8	1.765	457.231	3.0	460.24	5.5	Old73	Enc52
74	0	9	0.769	465.73900000000003	3.0	468.74800000000005	2.5	False	CTL23
75	1	9	1.805	471.23900000000003	3.0	474.24800000000005	1.5	Old26	Enc53
76	0	6	0.988	475.736	3.0	478.745	0.5	False	CTL24
77	1	5	2.261	479.24699999999996	3.0	482.256	3.0	Old68	Enc54
78	1	8	2.492	485.24800000000005	3.0	488.25699999999983	3.5	Old35	Enc55
79	1	5	2.588	491.751	3.0	494.76	7.5	Old32	Enc56
80	1	6	2.09	502.249	3.0	505.25800000000004	2.5	Old47	Enc57
81	0	6	0.0	507.74800000000005	3.0	510.75699999999983	0.5	False	CTL25
82	1	5	2.888	511.259	3.0	514.268	1.0	Old24	Enc58
83	1	6	2.78	515.271	3.0	518.28	4.0	Old52	Enc59
84	1	8	2.488	522.275	3.0	525.284	11.0	Old69	Enc60
85	0	6	1.0490000000000002	536.785	3.0	539.794	0.5	False	CTL26
86	0	9	0.898	540.2959999999998	3.0	543.305	4.0	False	CTL27
87	0	5	0.774	547.3	3.0	550.309	0.5	False	CTL28
88	1	5	2.512	550.81	3.0	553.819	2.5	Old31	Enc61
