	Condition	CorrectSource	Stim_RT	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond
0	1	8	1.932	25.026999999999997	3.0	28.035999999999998	0.5	Old55	Enc01
1	0	6	1.045	28.538	3.0	31.546999999999997	0.5	False	CTL01
2	1	5	1.903	32.048	3.0	35.056999999999995	4.5	Old05	Enc02
3	1	5	2.252	39.554	3.0	42.563	2.0	Old62	Enc03
4	0	5	1.798	44.552	3.0	47.56100000000001	3.5	False	CTL02
5	0	6	1.3430000000000002	51.055	3.0	54.06399999999999	1.5	False	CTL03
6	1	6	2.303	55.551	3.0	58.56	2.5	Old68	Enc04
7	1	5	2.915	61.051	3.0	64.06	1.0	Old69	Enc05
8	0	6	1.415	65.063	3.0	68.072	3.0	False	CTL04
9	1	9	1.885	71.064	3.0	74.07300000000002	4.0	Old45	Enc06
10	0	9	1.465	78.068	3.0	81.077	0.5	False	CTL05
11	1	6	2.722	81.579	3.0	84.588	2.5	Old63	Enc07
12	0	9	2.247	87.07799999999997	3.0	90.087	2.5	False	CTL06
13	0	5	1.402	92.578	3.0	95.587	3.5	False	CTL07
14	1	8	2.299	99.081	3.0	102.09	1.0	Old07	Enc08
15	1	9	2.311	103.09299999999999	3.0	106.102	2.0	Old76	Enc09
16	1	5	2.657	108.09100000000001	3.0	111.1	0.5	Old08	Enc10
17	1	9	2.475	111.601	3.0	114.61	4.5	Old38	Enc11
18	1	5	0.0	119.10700000000001	3.0	122.116	7.0	Old28	Enc12
19	1	8	1.78	129.10299999999998	3.0	132.112	0.5	Old47	Enc13
20	1	8	1.693	132.614	3.0	135.623	2.0	Old43	Enc14
21	1	9	1.9909999999999999	137.612	3.0	140.621	1.0	Old41	Enc15
22	1	8	2.986	141.624	3.0	144.63299999999998	1.0	Old40	Enc16
23	1	5	1.774	145.636	3.0	148.645	3.5	Old02	Enc17
24	0	8	1.439	152.139	3.0	155.148	1.0	False	CTL08
25	1	8	1.916	156.15	3.0	159.159	2.0	Old32	Enc18
26	1	8	0.0	161.149	3.0	164.158	0.5	Old19	Enc19
27	1	5	1.375	164.65900000000002	3.0	167.668	3.5	Old26	Enc20
28	0	8	0.767	171.162	3.0	174.171	7.0	False	CTL09
29	1	9	1.635	181.158	3.0	184.167	2.5	Old42	Enc21
30	1	9	1.751	186.658	3.0	189.667	5.0	Old24	Enc22
31	1	6	1.767	194.665	3.0	197.674	1.0	Old13	Enc23
32	1	8	2.867	198.67700000000002	3.0	201.68599999999998	10.0	Old23	Enc24
33	1	8	2.086	211.68200000000002	3.0	214.69099999999997	1.5	Old74	Enc25
34	1	9	1.8519999999999999	216.179	3.0	219.188	0.5	Old22	Enc26
35	1	5	1.51	219.68900000000002	3.0	222.69799999999998	2.5	Old71	Enc27
36	1	6	2.226	225.18900000000002	3.0	228.19799999999998	3.5	Old37	Enc28
37	0	9	1.443	231.692	3.0	234.701	1.0	False	CTL10
38	0	6	1.2790000000000001	235.704	3.0	238.713	0.5	False	CTL11
39	0	6	1.473	239.21400000000003	3.0	242.22299999999998	1.5	False	CTL12
40	0	5	1.031	243.71099999999998	3.0	246.72	7.0	False	CTL13
41	1	9	1.7309999999999999	253.707	3.0	256.716	7.0	Old78	Enc29
42	1	8	2.358	263.704	3.0	266.71299999999997	2.0	Old77	Enc30
43	0	9	1.271	268.702	3.0	271.711	6.5	False	CTL14
44	1	6	2.176	278.21299999999997	3.0	281.222	3.5	Old35	Enc31
45	1	6	2.793	284.716	3.0	287.725	2.5	Old06	Enc32
46	1	9	1.828	290.216	3.0	293.225	4.0	Old01	Enc33
47	1	8	2.864	297.22	3.0	300.22900000000004	3.5	Old60	Enc34
48	0	8	0.8809999999999999	303.723	3.0	306.732	1.0	False	CTL15
49	1	9	1.845	307.735	3.0	310.743	6.5	Old10	Enc35
50	0	9	1.069	317.246	3.0	320.255	7.5	False	CTL16
51	0	8	1.155	327.744	3.0	330.75300000000004	2.5	False	CTL17
52	1	8	1.5030000000000001	333.244	3.0	336.25300000000004	1.5	Old64	Enc36
53	1	9	2.095	337.74	3.0	340.749	1.0	Old18	Enc37
54	1	6	2.042	341.736	3.0	344.745	3.0	Old51	Enc38
55	0	5	1.113	347.73699999999997	3.0	350.746	2.5	False	CTL18
56	1	5	2.494	353.236	3.0	356.245	1.0	Old21	Enc39
57	1	6	1.33	357.23199999999997	3.0	360.241	9.0	Old15	Enc40
58	1	6	1.383	369.23400000000004	3.0	372.24300000000017	1.5	Old67	Enc41
59	1	8	1.5819999999999999	373.731	3.0	376.74	8.5	Old27	Enc42
