	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 3 74 74 45  1  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.     3.     3.     3.3    0.476  0.     0.     0.   ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=7.4;Time=110953.075;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.0
quatern_c	0.97704554
quatern_d	0.2130304
qoffset_x	110.238434
qoffset_y	-56.871902
qoffset_z	-94.31346
srow_x	[ -3.         0.        -0.       110.238434]
srow_y	[ -0.          2.7277083  -1.3737284 -56.871902 ]
srow_z	[  0.          1.2488425   3.000483  -94.31346  ]
intent_name	b''
magic	b'n+1'
