	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 3 80 80 41  1  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	"[-1.         3.         3.         3.3        0.4750014  0.
  0.         0.       ]"
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=4.6;Time=122417.960'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-0.00944769
quatern_c	0.9760416
quatern_d	0.21684423
qoffset_x	126.87965
qoffset_y	-92.49566
qoffset_z	-91.68478
srow_x	[-2.9980717e+00 -7.5150274e-02 -8.4623188e-02  1.2687965e+02]
srow_y	[-3.5505790e-02  2.7173359e+00 -1.3978329e+00 -9.2495659e+01]
srow_z	[ -0.10151431   1.2690303    2.9881256  -91.68478   ]
intent_name	b''
magic	b'n+1'
