	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	54
dim	[  3 256 256  48   1   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.      0.9375  0.9375  3.      3.      0.      0.      0.    ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=10;Time=103814.155;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	1.0253609e-10
quatern_c	0.9998477
quatern_d	-0.017452406
qoffset_x	118.79518
qoffset_y	-100.25038
qoffset_z	-63.906654
srow_x	[-9.3750000e-01  1.9228444e-10  2.0816708e-17  1.1879518e+02]
srow_y	[ 1.9216735e-10  9.3692893e-01  1.0469862e-01 -1.0025038e+02]
srow_z	[-6.7106251e-12 -3.2718278e-02  2.9981763e+00 -6.3906654e+01]
intent_name	b''
magic	b'n+1'
