	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[  4 128 128  70  33   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	"[-1.        2.        2.        2.       10.011995  0.        0.
  0.      ]"
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=1.1e+02;Time=133115.260'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-0.017200513
quatern_c	0.9893234
quatern_d	0.1391302
qoffset_x	137.9669
qoffset_y	-109.60948
qoffset_z	-91.863655
srow_x	[-1.9924718e+00 -9.0232000e-02 -1.4803457e-01  1.3796690e+02]
srow_y	[-4.5902956e-02  1.9213877e+00 -5.5331969e-01 -1.0960948e+02]
srow_z	[ -0.16717935   0.54783887   1.9162278  -91.863655  ]
intent_name	b''
magic	b'n+1'
