	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[  4  80  80  41 310   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	"[-1.        3.        3.        3.3       2.499999  0.        0.
  0.      ]"
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=25;Time=113702.420'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-0.025578665
quatern_c	-0.99278265
quatern_d	-0.11472033
qoffset_x	110.06329
qoffset_y	-97.20615
qoffset_z	-58.42033
srow_x	[ -2.9926684    0.16876377   0.136745   110.06329   ]
srow_y	[  0.13596487   2.91711     -0.7557123  -97.20615   ]
srow_z	[  0.15952624   0.6796976    3.2093952  -58.42033   ]
intent_name	b''
magic	b'n+1'
