	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 3 80 80 41  1  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	"[-1.         3.         3.         3.3        0.4750014  0.
  0.         0.       ]"
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=0;Time=125330.370'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.031727836
quatern_c	0.99833614
quatern_d	0.044791054
qoffset_x	116.438995
qoffset_y	-131.35966
qoffset_z	-70.28792
srow_x	[ -2.9920874    0.18530251  -0.12578319 116.438995  ]
srow_y	[   0.19479802    2.9819226    -0.29142958 -131.35966   ]
srow_z	[ -0.09729491   0.27166224   3.284698   -70.28792   ]
intent_name	b''
magic	b'n+1'
