trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc
1	enc	enc00	nan	8	1	337	0
2	enc	enc000	nan	9	1	2147	0
3	ctl	ctl0	nan	8	4	1761	0
4	enc	enc01	old57	6	4	761	0
5	enc	enc02	old02	5	4	1262	0
6	enc	enc03	old24	6	4	1262	0
7	enc	enc04	old67	9	4	1762	0
8	enc	enc05	old59	8	4	262	0
9	enc	enc06	old49	9	4	1262	0
10	enc	enc07	old38	8	4	1263	0
11	ctl	ctl01	nan	8	4	763	0
12	ctl	ctl02	nan	5	4	1264	0
13	enc	enc08	old43	6	1	1325	0
14	ctl	ctl03	nan	6	4	764	0
15	enc	enc09	old19	5	1	1662	0
16	enc	enc10	old28	6	1	1286	0
17	ctl	ctl04	nan	8	4	265	0
18	enc	enc11	old05	6	4	265	0
19	enc	enc12	old25	8	1	1143	0
20	enc	enc13	old78	5	a	1481	0
21	enc	enc14	old21	9	1	1780	0
22	enc	enc15	old36	9	4	1266	0
23	enc	enc16	old35	5	1	1815	0
24	enc	enc17	old16	5	4	267	0
25	enc	enc18	old11	5	4	1268	0
26	ctl	ctl05	nan	8	1	977	0
27	ctl	ctl06	nan	5	1	1024	0
28	enc	enc19	old52	8	4	269	0
29	enc	enc20	old77	6	4	769	0
30	enc	enc21	old60	5	4	1269	0
31	ctl	ctl07	nan	5	1	1114	0
32	enc	enc22	old66	6	4	270	0
33	enc	enc23	old10	5	1	1116	0
34	ctl	ctl08	nan	6	4	771	0
35	enc	enc24	old03	8	1	1443	0
36	enc	enc25	old42	5	4	1272	0
37	enc	enc26	old54	9	4	1771	0
38	enc	enc27	old45	8	4	272	0
39	enc	enc28	old20	9	4	272	0
40	enc	enc29	old31	8	1	1483	0
41	enc	enc30	old61	6	1	1591	0
42	ctl	ctl09	nan	9	4	277	0
43	ctl	ctl10	nan	8	1	925	0
44	enc	enc31	old09	9	4	273	0
45	enc	enc32	old72	6	1	1639	0
46	enc	enc33	old18	9	1	1241	0
47	enc	enc34	old15	6	1	1571	0
48	ctl	ctl11	nan	5	1	943	0
49	enc	enc35	old71	5	1	1607	0
50	enc	enc36	old08	9	1	1145	0
51	ctl	ctl12	nan	9	4	776	0
52	enc	enc37	old01	8	1	1547	0
53	ctl	ctl13	nan	6	1	829	0
54	ctl	ctl14	nan	6	1	1083	0
55	ctl	ctl15	nan	6	1	1318	0
56	ctl	ctl16	nan	9	1	1271	0
57	enc	enc38	old40	6	1	1965	0
58	enc	enc39	old53	6	1	1618	0
59	enc	enc40	old62	5	4	1278	0
60	enc	enc41	old73	6	4	279	0
61	enc	enc42	old55	9	4	1278	0
62	enc	enc43	old22	8	4	1279	0
63	enc	enc44	old34	9	1	1910	0
64	enc	enc45	old17	8	4	1279	0
65	enc	enc46	old29	9	4	780	0
66	enc	enc47	old27	6	4	1781	0
67	enc	enc48	old04	6	4	781	0
68	enc	enc49	old44	8	4	781	0
69	enc	enc50	old50	9	1	1423	0
70	enc	enc51	old06	6	4	282	0
71	ctl	ctl17	nan	8	4	781	0
72	enc	enc52	old48	5	4	783	0
73	ctl	ctl18	nan	9	1	938	0
74	ctl	ctl19	nan	8	1	990	0
75	ctl	ctl20	nan	5	4	782	0
76	enc	enc53	old58	9	1	1531	0
77	enc	enc54	old46	8	4	784	0
78	enc	enc55	old56	8	4	285	0
79	enc	enc56	old39	6	4	784	0
80	ctl	ctl21	nan	5	4	285	0
81	enc	enc57	old63	9	1	1634	0
82	ctl	ctl22	nan	8	1	829	0
83	enc	enc58	old69	9	1	1236	0
84	ctl	ctl23	nan	9	1	812	0
85	ctl	ctl24	nan	8	1	921	0
86	ctl	ctl25	nan	9	4	287	0
87	ctl	ctl26	nan	5	4	287	0
88	enc	enc59	old64	5	4	788	0
89	ctl	ctl27	nan	6	1	1755	0
90	ctl	ctl28	nan	6	1	673	0
91	enc	enc60	old65	8	1	1027	0
92	ctl	ctl29	nan	9	4	1288	0
93	enc	enc61	old07	8	1	973	0
94	enc	enc62	old30	5	4	1289	0
95	enc	enc63	old68	8	1	921	0
96	ctl	ctl30	nan	8	1	776	0
97	enc	enc64	old70	9	4	291	0
98	enc	enc65	old74	8	4	1791	0
99	enc	enc66	old76	8	1	992	0
100	ctl	ctl31	nan	8	1	765	0
101	ctl	ctl32	nan	5	1	720	0
102	enc	enc67	old12	5	4	792	0
103	ctl	ctl33	nan	9	4	292	0
104	ctl	ctl34	nan	9	1	767	0
105	ctl	ctl35	nan	6	1	789	0
106	enc	enc68	old13	9	1	1112	0
107	ctl	ctl36	nan	6	1	866	0
108	ctl	ctl37	nan	5	1	766	0
109	ctl	ctl38	nan	6	1	835	0
110	enc	enc69	old32	5	1	1222	0
111	enc	enc70	old41	9	1	1347	0
112	enc	enc71	old37	8	4	295	0
113	enc	enc72	old26	6	4	295	0
114	enc	enc73	old75	9	1	1622	0
115	ctl	ctl39	nan	9	4	796	0
116	enc	enc74	old51	5	4	296	0
117	enc	enc75	old47	6	4	296	0
118	enc	enc76	old23	5	4	1797	0
119	enc	enc77	old33	5	1	2655	0
120	enc	enc78	old14	8	1	1264	0
