category	stim	oldnumber	recognition_acc	recognition_resp	recognition_rt	spatial_resp	spatial_rt	spatial_acc( corriger voir output-encodage)
new	animal_pigeon.bmp	new32	1	2	2710	nan	0	
old	fruit_green grapes.bmp	old68	1	1	3519	6	1417	
old	food_toast.bmp	old26	0	2	1830	6	1417	
old	vegie_garlic01a.bmp	old74	1	1	1275	9	2359	
new	food_walnut01c.bmp	new34	0	1	4311	6	5626	
old	animal_frog.bmp	old06	1	1	2551	8	1088	
old	musical_clarinet_new.bmp	old44	1	1	1451	9	535	
old	sporting_snow shoes_old.bmp	old64	1	1	2688	5	667	
new	sporting_baseball bat_new.bmp	new08	0	1	4381	6	510	
old	animal_chimpanzee.bmp	old03	1	1	1111	8	1225	
old	kitchen_pitcher.bmp	old34	1	1	4918	9	601	
old	sporting_fishing rod.bmp	old59	1	1	1686	6	2010	
old	sporting_boxing_gloves.bmp	old56	1	1	1656	8	284	
old	food_shellpasta.bmp	old25	0	2	4718	8	284	
old	food_baguette01.bmp	old14	0	2	1327	8	284	
old	vegie_corn02.bmp	old73	1	1	1384	5	296	
old	musical_acoustic guitar_new.bmp	old42	1	1	1682	6	1614	
new	musical_bagpipes.bmp	new35	1	2	1723	6	1614	
new	kitchen_garlic press.bmp	new07	1	2	1716	6	1614	
old	kitchen_wooden spoon_old.bmp	old39	1	1	1341	9	1462	
old	musical_double bass.bmp	old45	0	2	7409	9	1462	
old	kitchen_big cooking pot.bmp	old28	1	1	1126	9	344	
old	musical_xylophone_old.bmp	old52	1	1	1232	6	334	
old	kitchen_plate.bmp	old35	0	2	1302	6	334	
old	animal_parrot.bmp	old09	1	1	1560	9	1409	
new	kitchen_fork_old.bmp	new18	1	2	1504	9	1409	
old	animal_sheep.bmp	old11	1	1	1529	9	507	
new	fruit_rasberry.bmp	new10	0	1	4957	5	326	
old	kitchen_ladle.bmp	old31	1	1	1471	9	3946	
old	sporting_soccer ball_new.bmp	old65	1	1	1234	9	319	
new	animal_horse.bmp	new20	1	2	2320	9	319	
old	food_bottleofredwine01.bmp	old15	1	1	1385	9	497	
new	musical_tambourine_new.bmp	new06	0	1	3418	6	313	
old	fruit_watermelon_old.bmp	old71	1	1	1058	6	302	
old	fruit_blackberry_new.bmp	old66	1	1	3888	6	324	
new	vegie_snowpea01.bmp	new27	1	2	1589	6	324	
old	food_croissant01.bmp	old19	1	1	3689	5	285	
old	vegie_radish.bmp	old77	1	1	1215	5	270	
new	vegie_cucumber.bmp	new33	0	1	1713	9	676	
old	musical_harp_new.bmp	old43	0	2	1959	9	676	
