trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc
1	ctl	ctl0	nan	9	nan	0	1
2	enc	enc00	nan	5	nan	0	1
3	enc	enc000	nan	9	nan	0	1
4	ctl	ctl01	nan	6	nan	0	1
5	enc	enc01	old64	8	nan	0	1
6	enc	enc02	old10	5	nan	0	1
7	enc	enc03	old61	5	nan	0	1
8	enc	enc04	old43	6	nan	0	1
9	enc	enc05	old50	5	nan	0	1
10	enc	enc06	old71	9	nan	0	1
11	ctl	ctl02	nan	5	nan	0	1
12	ctl	ctl03	nan	6	nan	0	1
13	ctl	ctl04	nan	6	nan	0	1
14	ctl	ctl05	nan	9	nan	0	1
15	enc	enc07	old56	6	nan	0	1
16	enc	enc08	old09	8	nan	0	1
17	ctl	ctl06	nan	9	nan	0	1
18	enc	enc09	old47	9	nan	0	1
19	enc	enc10	old08	5	nan	0	1
20	enc	enc11	old31	9	nan	0	1
21	enc	enc12	old32	5	nan	0	1
22	enc	enc13	old66	8	nan	0	1
23	enc	enc14	old75	8	nan	0	1
24	enc	enc15	old78	9	nan	0	1
25	enc	enc16	old77	8	nan	0	1
26	enc	enc17	old11	5	nan	0	1
27	ctl	ctl07	nan	5	nan	0	1
28	ctl	ctl08	nan	8	nan	0	1
29	enc	enc18	old36	8	nan	0	1
30	enc	enc19	old22	8	nan	0	1
31	enc	enc20	old17	5	nan	0	1
32	enc	enc21	old72	9	nan	0	1
33	enc	enc22	old18	9	nan	0	1
34	ctl	ctl09	nan	8	nan	0	1
35	enc	enc23	old03	6	nan	0	1
36	ctl	ctl10	nan	9	nan	0	1
37	enc	enc24	old15	8	nan	0	1
38	enc	enc25	old49	8	nan	0	1
39	enc	enc26	old23	9	nan	0	1
40	enc	enc27	old52	5	nan	0	1
41	enc	enc28	old35	6	nan	0	1
42	enc	enc29	old46	9	nan	0	1
43	enc	enc30	old51	8	nan	0	1
44	enc	enc31	old38	6	nan	0	1
45	enc	enc32	old05	6	nan	0	1
46	ctl	ctl11	nan	6	nan	0	1
47	enc	enc33	old07	9	nan	0	1
48	enc	enc34	old57	8	nan	0	1
49	ctl	ctl12	nan	6	nan	0	1
50	enc	enc35	old02	9	nan	0	1
51	enc	enc36	old55	8	nan	0	1
52	enc	enc37	old20	9	nan	0	1
53	enc	enc38	old67	6	nan	0	1
54	enc	enc39	old21	5	nan	0	1
55	ctl	ctl13	nan	5	nan	0	1
56	enc	enc40	old16	6	nan	0	1
57	ctl	ctl14	nan	9	nan	0	1
58	ctl	ctl15	nan	8	nan	0	1
59	ctl	ctl16	nan	9	nan	0	1
60	enc	enc41	old41	6	nan	0	1
61	enc	enc42	old39	8	nan	0	1
62	enc	enc43	old37	9	nan	0	1
63	enc	enc44	old68	5	nan	0	1
64	enc	enc45	old60	6	nan	0	1
65	enc	enc46	old62	9	nan	0	1
66	ctl	ctl17	nan	8	nan	0	1
67	enc	enc47	old74	6	nan	0	1
68	enc	enc48	old34	9	nan	0	1
69	ctl	ctl18	nan	5	nan	0	1
70	ctl	ctl19	nan	5	nan	0	1
71	enc	enc49	old19	6	nan	0	1
72	ctl	ctl20	nan	8	nan	0	1
73	ctl	ctl21	nan	9	nan	0	1
74	enc	enc50	old12	8	nan	0	1
75	enc	enc51	old59	9	nan	0	1
76	ctl	ctl22	nan	8	nan	0	1
77	enc	enc52	old42	8	nan	0	1
78	enc	enc53	old24	9	nan	0	1
79	ctl	ctl23	nan	9	nan	0	1
80	ctl	ctl24	nan	6	nan	0	1
81	enc	enc54	old48	5	nan	0	1
82	enc	enc55	old30	8	nan	0	1
83	enc	enc56	old33	5	nan	0	1
84	ctl	ctl25	nan	6	nan	0	1
85	enc	enc57	old70	6	nan	0	1
86	ctl	ctl26	nan	6	nan	0	1
87	ctl	ctl27	nan	9	nan	0	1
88	enc	enc58	old14	5	nan	0	1
89	enc	enc59	old69	6	nan	0	1
90	enc	enc60	old44	8	nan	0	1
91	ctl	ctl28	nan	5	nan	0	1
92	ctl	ctl29	nan	8	nan	0	1
93	ctl	ctl30	nan	9	nan	0	1
94	ctl	ctl31	nan	6	nan	0	1
95	enc	enc61	old27	5	nan	0	1
96	ctl	ctl32	nan	5	nan	0	1
97	enc	enc62	old63	5	nan	0	1
98	ctl	ctl33	nan	5	nan	0	1
99	enc	enc63	old01	5	nan	0	1
100	enc	enc64	old06	9	nan	0	1
101	enc	enc65	old65	9	nan	0	1
102	enc	enc66	old73	5	nan	0	1
103	enc	enc67	old53	8	nan	0	1
104	ctl	ctl34	nan	8	nan	0	1
105	enc	enc68	old29	6	nan	0	1
106	enc	enc69	old13	6	nan	0	1
107	ctl	ctl35	nan	8	nan	0	1
108	ctl	ctl36	nan	6	nan	0	1
109	enc	enc70	old58	5	nan	0	1
110	ctl	ctl37	nan	5	nan	0	1
111	enc	enc71	old40	6	nan	0	1
112	enc	enc72	old04	8	nan	0	1
113	enc	enc73	old45	9	nan	0	1
114	enc	enc74	old26	8	nan	0	1
115	enc	enc75	old76	9	nan	0	1
116	ctl	ctl38	nan	8	nan	0	1
117	ctl	ctl39	nan	9	nan	0	1
118	enc	enc76	old54	6	nan	0	1
119	enc	enc77	old28	5	nan	0	1
120	enc	enc78	old25	6	nan	0	1
