0	1	2	3	4	5	6	7	8
1	enc	enc00	nan	encoding	0.02	fixation	3.029	4.5
2	enc	enc000	nan	encoding	7.526	fixation	10.535	0.5
3	ctl	ctl0	nan	control	11.036	fixation	14.045	0.5
4	enc	enc01	old62	encoding	14.547	fixation	17.556	6.5
5	enc	enc02	old11	encoding	24.059	fixation	27.068	2
6	enc	enc03	old15	encoding	29.057	fixation	32.066	1.5
7	enc	enc04	old77	encoding	33.554	fixation	36.563	1
8	enc	enc05	old59	encoding	37.566	fixation	40.575	8.5
9	enc	enc06	old41	encoding	49.067	fixation	52.076	2
10	enc	enc07	old37	encoding	54.065	fixation	57.074	2.5
11	ctl	ctl01	nan	control	59.565	fixation	62.574	1.5
12	ctl	ctl02	nan	control	64.062	fixation	67.071	1.5
13	enc	enc08	old50	encoding	68.558	fixation	71.567	0.5
14	ctl	ctl03	nan	control	72.069	fixation	75.078	0.5
15	enc	enc09	old18	encoding	75.579	fixation	78.588	2
16	enc	enc10	old33	encoding	80.578	fixation	83.587	1.5
17	ctl	ctl04	nan	control	85.074	fixation	88.083	2
18	enc	enc11	old08	encoding	90.073	fixation	93.082	7.5
19	enc	enc12	old17	encoding	100.571	fixation	103.58	5
20	enc	enc13	old71	encoding	108.578	fixation	111.587	1.5
21	enc	enc14	old16	encoding	113.075	fixation	116.084	3
22	enc	enc15	old30	encoding	119.076	fixation	122.085	1
23	enc	enc16	old39	encoding	123.071	fixation	126.08	1.5
24	enc	enc17	old23	encoding	127.568	fixation	130.577	8.5
25	enc	enc18	old09	encoding	139.069	fixation	142.078	2
26	ctl	ctl05	nan	control	144.068	fixation	147.077	1
27	ctl	ctl06	nan	control	148.08	fixation	151.089	1.5
28	enc	enc19	old42	encoding	152.576	fixation	155.585	6.5
29	enc	enc20	old70	encoding	162.071	fixation	165.08	1.5
30	enc	enc21	old57	encoding	166.568	fixation	169.577	6.5
31	ctl	ctl07	nan	control	176.08	fixation	179.089	3.5
32	enc	enc22	old68	encoding	182.583	fixation	185.592	8
33	enc	enc23	old10	encoding	193.582	fixation	196.591	13
34	ctl	ctl08	nan	control	209.58	fixation	212.589	1
35	enc	enc24	old05	encoding	213.575	fixation	216.584	2.5
36	enc	enc25	old51	encoding	219.075	fixation	222.084	1.5
37	enc	enc26	old65	encoding	223.572	fixation	226.581	3.5
38	enc	enc27	old46	encoding	230.075	fixation	233.084	2
39	enc	enc28	old14	encoding	235.073	fixation	238.082	3
40	enc	enc29	old38	encoding	241.074	fixation	244.083	7
41	enc	enc30	old64	encoding	251.071	fixation	254.08	1
42	ctl	ctl09	nan	control	255.083	fixation	258.092	0.5
43	ctl	ctl10	nan	control	258.593	fixation	261.602	1
44	enc	enc31	old07	encoding	262.589	fixation	265.598	0.5
45	enc	enc32	old72	encoding	266.099	fixation	269.108	7
46	enc	enc33	old21	encoding	276.096	fixation	279.105	4
47	enc	enc34	old20	encoding	283.1	fixation	286.109	2
48	ctl	ctl11	nan	control	288.098	fixation	291.107	2.5
49	enc	enc35	old74	encoding	293.598	fixation	296.607	4.5
50	enc	enc36	old02	encoding	301.104	fixation	304.113	0.5
51	ctl	ctl12	nan	control	304.614	fixation	307.623	3
52	enc	enc37	old03	encoding	310.616	fixation	313.625	2
53	ctl	ctl13	nan	control	315.614	fixation	318.623	0.5
54	ctl	ctl14	nan	control	319.125	fixation	322.134	1
55	ctl	ctl15	nan	control	323.137	fixation	326.146	2.5
56	ctl	ctl16	nan	control	328.636	fixation	331.645	6.5
57	enc	enc38	old47	encoding	338.131	fixation	341.14	9.5
58	enc	enc39	old54	encoding	350.635	fixation	353.644	3
59	enc	enc40	old56	encoding	356.637	fixation	359.646	3
60	enc	enc41	old66	encoding	362.638	fixation	365.647	1
61	enc	enc42	old63	encoding	366.65	fixation	369.659	2
62	enc	enc43	old22	encoding	371.648	fixation	374.657	1
63	enc	enc44	old35	encoding	375.644	fixation	378.653	0.5
64	enc	enc45	old24	encoding	379.154	fixation	382.163	2.5
65	enc	enc46	old27	encoding	384.654	fixation	387.663	8.5
66	enc	enc47	old29	encoding	396.155	fixation	399.164	5.5
67	enc	enc48	old06	encoding	404.664	fixation	407.673	2
68	enc	enc49	old48	encoding	409.662	fixation	412.671	6
69	enc	enc50	old44	encoding	418.672	fixation	421.681	6
70	enc	enc51	old13	encoding	427.683	fixation	430.692	1.5
71	ctl	ctl17	nan	control	432.179	fixation	435.188	2
72	enc	enc52	old43	encoding	437.178	fixation	440.187	1.5
73	ctl	ctl18	nan	control	441.674	fixation	444.683	4
74	ctl	ctl19	nan	control	448.679	fixation	451.688	0.5
75	ctl	ctl20	nan	control	452.189	fixation	455.198	6
76	enc	enc53	old55	encoding	461.2	fixation	464.209	0.5
77	enc	enc54	old40	encoding	464.71	fixation	467.719	2.5
