trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc
1	enc	enc00	nan	5	1	793	0
2	enc	enc000	nan	9	1	668	0
3	ctl	ctl0	nan	9	1	602	0
4	enc	enc01	old56	8	1	448	0
5	ctl	ctl01	nan	6	1	674	0
6	enc	enc02	old03	5	1	603	0
7	enc	enc03	old60	5	1	577	0
8	ctl	ctl02	nan	5	1	683	0
9	ctl	ctl03	nan	6	1	483	0
10	enc	enc04	old73	6	1	491	0
11	enc	enc05	old67	5	1	591	0
12	ctl	ctl04	nan	6	1	755	0
13	enc	enc06	old49	9	1	554	0
14	ctl	ctl05	nan	9	1	414	0
15	enc	enc07	old54	6	1	503	0
16	ctl	ctl06	nan	9	1	388	0
17	ctl	ctl07	nan	5	1	440	0
18	enc	enc08	old06	8	1	384	0
19	enc	enc09	old72	9	1	404	0
20	enc	enc10	old11	5	1	414	0
21	enc	enc11	old29	9	1	583	0
22	enc	enc12	old36	5	1	445	0
23	enc	enc13	old47	8	1	465	0
24	enc	enc14	old44	8	1	602	0
25	enc	enc15	old42	9	1	548	0
26	enc	enc16	old43	8	1	439	0
27	enc	enc17	old01	5	1	515	0
28	ctl	ctl08	nan	8	1	428	0
29	enc	enc18	old39	8	1	456	0
30	enc	enc19	old15	8	1	418	0
31	enc	enc20	old20	5	1	380	0
32	ctl	ctl09	nan	8	1	437	0
33	enc	enc21	old46	9	1	448	0
34	enc	enc22	old14	9	1	515	0
35	enc	enc23	old08	6	1	436	0
36	enc	enc24	old21	8	1	496	0
37	enc	enc25	old69	8	1	467	0
38	enc	enc26	old25	9	1	482	0
39	enc	enc27	old68	5	1	515	0
40	enc	enc28	old30	6	1	480	0
41	ctl	ctl10	nan	9	1	473	0
42	ctl	ctl11	nan	6	1	524	0
43	ctl	ctl12	nan	6	1	502	0
44	ctl	ctl13	nan	5	1	389	0
45	enc	enc29	old78	9	1	409	0
46	enc	enc30	old74	8	1	388	0
47	ctl	ctl14	nan	9	1	630	0
48	enc	enc31	old27	6	1	485	0
49	enc	enc32	old13	6	1	462	0
50	enc	enc33	old04	9	1	402	0
51	enc	enc34	old53	8	1	382	0
52	ctl	ctl15	nan	8	1	551	0
53	enc	enc35	old02	9	1	587	0
54	ctl	ctl16	nan	9	1	388	0
55	ctl	ctl17	nan	8	1	392	0
56	enc	enc36	old55	8	1	429	0
57	enc	enc37	old19	9	1	468	0
58	enc	enc38	old50	6	1	449	0
59	ctl	ctl18	nan	5	1	407	0
60	enc	enc39	old24	5	1	404	0
61	enc	enc40	old17	6	1	544	0
62	enc	enc41	old75	6	1	437	0
63	enc	enc42	old31	8	1	428	0
64	enc	enc43	old35	9	1	423	0
65	ctl	ctl19	nan	5	1	447	0
66	enc	enc44	old48	5	1	470	0
67	ctl	ctl20	nan	8	1	447	0
68	ctl	ctl21	nan	9	1	427	0
69	enc	enc45	old65	6	1	409	0
70	ctl	ctl22	nan	8	1	498	0
71	enc	enc46	old63	9	1	523	0
72	enc	enc47	old45	6	1	410	0
73	enc	enc48	old38	9	1	452	0
74	enc	enc49	old26	6	1	414	0
75	enc	enc50	old09	8	1	429	0
76	enc	enc51	old58	9	1	441	0
77	enc	enc52	old71	8	1	381	0
78	ctl	ctl23	nan	9	1	440	0
79	enc	enc53	old18	9	1	412	0
80	ctl	ctl24	nan	6	1	427	0
81	enc	enc54	old77	5	1	413	0
82	enc	enc55	old28	8	1	428	0
83	enc	enc56	old34	5	1	413	0
84	enc	enc57	old40	6	1	435	0
85	ctl	ctl25	nan	6	1	502	0
86	enc	enc58	old22	5	1	503	0
87	enc	enc59	old52	6	1	539	0
88	enc	enc60	old70	8	1	479	0
89	ctl	ctl26	nan	6	1	513	0
90	ctl	ctl27	nan	9	1	563	0
91	ctl	ctl28	nan	5	1	462	0
92	enc	enc61	old33	5	1	487	0
93	enc	enc62	old59	5	1	411	0
94	ctl	ctl29	nan	8	1	498	0
95	enc	enc63	old05	5	1	534	0
96	enc	enc64	old12	9	1	584	0
97	ctl	ctl30	nan	9	1	618	0
98	enc	enc65	old57	9	1	397	0
99	enc	enc66	old41	5	1	423	0
100	ctl	ctl31	nan	6	1	488	0
101	ctl	ctl32	nan	5	1	681	0
102	enc	enc67	old64	8	1	416	0
103	enc	enc68	old32	6	1	375	0
104	ctl	ctl33	nan	5	1	358	0
105	ctl	ctl34	nan	8	1	412	0
106	enc	enc69	old10	6	1	405	0
107	enc	enc70	old61	5	1	366	0
108	ctl	ctl35	nan	8	1	467	0
109	ctl	ctl36	nan	6	1	304	0
110	enc	enc71	old66	6	1	370	0
111	enc	enc72	old07	8	1	406	0
112	ctl	ctl37	nan	5	1	472	0
113	ctl	ctl38	nan	8	1	434	0
114	enc	enc73	old76	9	1	412	0
115	enc	enc74	old23	8	1	413	0
116	ctl	ctl39	nan	9	1	474	0
117	enc	enc75	old51	9	1	363	0
118	enc	enc76	old62	6	1	463	0
119	enc	enc77	old37	5	1	430	0
120	enc	enc78	old16	6	1	419	0
