trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc
1	enc	enc00	nan	5	1	2609	0
2	enc	enc000	nan	9	nan	0	1
3	ctl	ctl0	nan	9	1	1770	0
4	enc	enc01	old60	8	nan	0	1
5	ctl	ctl01	nan	6	1	1154	0
6	enc	enc02	old03	5	1	2059	0
7	enc	enc03	old53	5	1	1778	0
8	ctl	ctl02	nan	5	1	947	0
9	ctl	ctl03	nan	6	1	1549	0
10	enc	enc04	old66	6	nan	0	1
11	enc	enc05	old77	5	1	1487	0
12	ctl	ctl04	nan	6	nan	0	1
13	enc	enc06	old41	9	1	1882	0
14	ctl	ctl05	nan	9	1	1206	0
15	enc	enc07	old55	6	1	1679	0
16	ctl	ctl06	nan	9	1	1251	0
17	ctl	ctl07	nan	5	1	1575	0
18	enc	enc08	old07	8	1	1672	0
19	enc	enc09	old70	9	1	2381	0
20	enc	enc10	old12	5	1	2926	0
21	enc	enc11	old34	9	1	2160	0
22	enc	enc12	old39	5	1	1566	0
23	enc	enc13	old42	8	1	1425	0
24	enc	enc14	old46	8	1	2306	0
25	enc	enc15	old50	9	1	1612	0
26	enc	enc16	old44	8	1	1568	0
27	enc	enc17	old01	5	1	2172	0
28	ctl	ctl08	nan	8	1	910	0
29	enc	enc18	old27	8	1	1986	0
30	enc	enc19	old25	8	1	2348	0
31	enc	enc20	old15	5	1	2582	0
32	ctl	ctl09	nan	8	1	1383	0
33	enc	enc21	old48	9	1	1441	0
34	enc	enc22	old18	9	1	2342	0
35	enc	enc23	old05	6	1	1902	0
36	enc	enc24	old19	8	1	2706	0
37	enc	enc25	old72	8	1	1764	0
38	enc	enc26	old16	9	1	1947	0
39	enc	enc27	old78	5	1	1997	0
40	enc	enc28	old36	6	1	2057	0
41	ctl	ctl10	nan	9	1	754	0
42	ctl	ctl11	nan	6	1	774	0
43	ctl	ctl12	nan	6	1	1176	0
44	ctl	ctl13	nan	5	1	639	0
45	enc	enc29	old75	9	1	2297	0
46	enc	enc30	old76	8	1	1605	0
47	ctl	ctl14	nan	9	nan	0	1
48	enc	enc31	old30	6	1	1735	0
49	enc	enc32	old04	6	1	1560	0
50	enc	enc33	old08	9	1	1964	0
51	enc	enc34	old61	8	1	1735	0
52	ctl	ctl15	nan	8	nan	0	1
53	enc	enc35	old09	9	1	1732	0
54	ctl	ctl16	nan	9	1	876	0
55	ctl	ctl17	nan	8	1	1210	0
56	enc	enc36	old64	8	1	2334	0
57	enc	enc37	old20	9	1	1989	0
58	enc	enc38	old43	6	1	2698	0
59	ctl	ctl18	nan	5	1	1016	0
60	enc	enc39	old14	5	1	1548	0
61	enc	enc40	old23	6	1	2817	0
62	enc	enc41	old67	6	1	2294	0
63	enc	enc42	old28	8	1	2820	0
64	enc	enc43	old37	9	1	1855	0
65	ctl	ctl19	nan	5	1	800	0
66	enc	enc44	old40	5	1	2815	0
67	ctl	ctl20	nan	8	1	1088	0
68	ctl	ctl21	nan	9	1	795	0
69	enc	enc45	old59	6	1	1962	0
70	ctl	ctl22	nan	8	1	763	0
71	enc	enc46	old56	9	1	2196	0
72	enc	enc47	old45	6	1	1420	0
73	enc	enc48	old33	9	1	2149	0
74	enc	enc49	old17	6	1	2263	0
75	enc	enc50	old02	8	1	1846	0
76	enc	enc51	old57	9	1	1561	0
77	enc	enc52	old73	8	1	1765	0
78	ctl	ctl23	nan	9	1	769	0
79	enc	enc53	old26	9	1	1805	0
80	ctl	ctl24	nan	6	1	988	0
81	enc	enc54	old68	5	1	2261	0
82	enc	enc55	old35	8	1	2492	0
83	enc	enc56	old32	5	1	2588	0
84	enc	enc57	old47	6	1	2090	0
85	ctl	ctl25	nan	6	nan	0	1
86	enc	enc58	old24	5	1	2888	0
87	enc	enc59	old52	6	1	2780	0
88	enc	enc60	old69	8	1	2488	0
89	ctl	ctl26	nan	6	1	1049	0
90	ctl	ctl27	nan	9	1	898	0
91	ctl	ctl28	nan	5	1	774	0
92	enc	enc61	old31	5	1	2512	0
93	enc	enc62	old58	5	1	1772	0
94	ctl	ctl29	nan	8	1	2091	0
95	enc	enc63	old10	5	1	2399	0
96	enc	enc64	old13	9	1	2944	0
97	ctl	ctl30	nan	9	1	1378	0
98	enc	enc65	old63	9	1	2453	0
99	enc	enc66	old49	5	1	2239	0
100	ctl	ctl31	nan	6	nan	0	1
101	ctl	ctl32	nan	5	1	690	0
102	enc	enc67	old62	8	1	1913	0
103	enc	enc68	old38	6	1	1368	0
104	ctl	ctl33	nan	5	1	1894	0
105	ctl	ctl34	nan	8	1	804	0
106	enc	enc69	old11	6	1	1950	0
107	enc	enc70	old65	5	1	1814	0
108	ctl	ctl35	nan	8	1	786	0
109	ctl	ctl36	nan	6	1	680	0
110	enc	enc71	old71	6	1	2234	0
111	enc	enc72	old06	8	1	2133	0
112	ctl	ctl37	nan	5	1	1399	0
113	ctl	ctl38	nan	8	1	728	0
114	enc	enc73	old74	9	1	1819	0
115	enc	enc74	old21	8	1	2684	0
116	ctl	ctl39	nan	9	1	769	0
117	enc	enc75	old51	9	1	1538	0
118	enc	enc76	old54	6	1	2246	0
119	enc	enc77	old29	5	1	2437	0
120	enc	enc78	old22	6	1	1993	0
