0	1	2	3	4	5	6	7	8
1	enc	enc00	nan	encoding	0.11	fixation	3.109	7
2	enc	enc000	nan	encoding	10.109	fixation	13.108	4.5
3	ctl	ctl0	nan	control	17.608	fixation	20.608	4.5
4	enc	enc01	old58	encoding	25.107	fixation	28.107	0.5
5	ctl	ctl01	nan	control	28.607	fixation	31.607	0.5
6	enc	enc02	old06	encoding	32.107	fixation	35.107	4.5
7	enc	enc03	old54	encoding	39.606	fixation	42.606	2
8	ctl	ctl02	nan	control	44.606	fixation	47.605	3.5
9	ctl	ctl03	nan	control	51.105	fixation	54.105	1.5
10	enc	enc04	old68	encoding	55.605	fixation	58.604	2.5
11	enc	enc05	old77	encoding	61.104	fixation	64.104	1
12	ctl	ctl04	nan	control	65.104	fixation	68.104	3
13	enc	enc06	old44	encoding	71.103	fixation	74.103	4
14	ctl	ctl05	nan	control	78.103	fixation	81.102	0.5
15	enc	enc07	old65	encoding	81.602	fixation	84.602	2.5
16	ctl	ctl06	nan	control	87.102	fixation	90.102	2.5
17	ctl	ctl07	nan	control	92.601	fixation	95.601	3.5
18	enc	enc08	old02	encoding	99.101	fixation	102.1	1
19	enc	enc09	old66	encoding	103.1	fixation	106.1	2
20	enc	enc10	old01	encoding	108.1	fixation	111.1	0.5
21	enc	enc11	old30	encoding	111.6	fixation	114.599	4.5
22	enc	enc12	old35	encoding	119.099	fixation	122.099	7
23	enc	enc13	old42	encoding	129.098	fixation	132.098	0.5
24	enc	enc14	old48	encoding	132.598	fixation	135.597	2
25	enc	enc15	old51	encoding	137.597	fixation	140.597	1
26	enc	enc16	old40	encoding	141.597	fixation	144.597	1
27	enc	enc17	old03	encoding	145.597	fixation	148.596	3.5
28	ctl	ctl08	nan	control	152.096	fixation	155.096	1
29	enc	enc18	old34	encoding	156.096	fixation	159.095	2
30	enc	enc19	old24	encoding	161.095	fixation	164.095	0.5
31	enc	enc20	old20	encoding	164.595	fixation	167.595	3.5
32	ctl	ctl09	nan	control	171.094	fixation	174.094	7
33	enc	enc21	old41	encoding	181.093	fixation	184.093	2.5
34	enc	enc22	old19	encoding	186.593	fixation	189.592	5
35	enc	enc23	old10	encoding	194.592	fixation	197.592	1
36	enc	enc24	old25	encoding	198.592	fixation	201.591	10
37	enc	enc25	old78	encoding	211.59	fixation	214.59	1.5
38	enc	enc26	old18	encoding	216.09	fixation	219.09	0.5
39	enc	enc27	old75	encoding	219.59	fixation	222.59	2.5
40	enc	enc28	old28	encoding	225.089	fixation	228.089	3.5
41	ctl	ctl10	nan	control	231.589	fixation	234.588	1
42	ctl	ctl11	nan	control	235.588	fixation	238.588	0.5
43	ctl	ctl12	nan	control	239.088	fixation	242.088	1.5
44	ctl	ctl13	nan	control	243.588	fixation	246.587	7
45	enc	enc29	old72	encoding	253.587	fixation	256.586	7
46	enc	enc30	old73	encoding	263.586	fixation	266.586	2
47	ctl	ctl14	nan	control	268.585	fixation	271.585	6.5
48	enc	enc31	old32	encoding	278.084	fixation	281.084	3.5
49	enc	enc32	old11	encoding	284.584	fixation	287.584	2.5
50	enc	enc33	old12	encoding	290.083	fixation	293.083	4
51	enc	enc34	old53	encoding	297.083	fixation	300.082	3.5
52	ctl	ctl15	nan	control	303.582	fixation	306.582	1
53	enc	enc35	old07	encoding	307.582	fixation	310.581	6.5
54	ctl	ctl16	nan	control	317.081	fixation	320.081	7.5
55	ctl	ctl17	nan	control	327.58	fixation	330.58	2.5
56	enc	enc36	old57	encoding	333.079	fixation	336.079	1.5
57	enc	enc37	old16	encoding	337.579	fixation	340.579	1
58	enc	enc38	old47	encoding	341.579	fixation	344.578	3
59	ctl	ctl18	nan	control	347.578	fixation	350.578	2.5
60	enc	enc39	old26	encoding	353.078	fixation	356.077	1
61	enc	enc40	old22	encoding	357.077	fixation	360.077	9
62	enc	enc41	old71	encoding	369.076	fixation	372.076	1.5
63	enc	enc42	old29	encoding	373.576	fixation	376.576	8.5
64	enc	enc43	old33	encoding	385.075	fixation	388.074	8
65	ctl	ctl19	nan	control	396.074	fixation	399.073	1.5
66	enc	enc44	old50	encoding	400.573	fixation	403.573	5
67	ctl	ctl20	nan	control	408.573	fixation	411.572	1
68	ctl	ctl21	nan	control	412.572	fixation	415.572	3
69	enc	enc45	old62	encoding	418.572	fixation	421.571	5
70	ctl	ctl22	nan	control	426.571	fixation	429.571	0.5
71	enc	enc46	old63	encoding	430.071	fixation	433.07	1.5
72	enc	enc47	old45	encoding	434.57	fixation	437.57	0.5
73	enc	enc48	old27	encoding	438.07	fixation	441.07	2
74	enc	enc49	old23	encoding	443.069	fixation	446.069	1.5
75	enc	enc50	old08	encoding	447.569	fixation	450.569	1
76	enc	enc51	old60	encoding	451.569	fixation	454.568	2.5
77	enc	enc52	old76	encoding	457.068	fixation	460.068	5.5
78	ctl	ctl23	nan	control	465.567	fixation	468.567	2.5
79	enc	enc53	old21	encoding	471.067	fixation	474.067	1.5
80	ctl	ctl24	nan	control	475.567	fixation	478.566	0.5
81	enc	enc54	old67	encoding	479.066	fixation	482.066	3
82	enc	enc55	old36	encoding	485.066	fixation	488.065	3.5
83	enc	enc56	old38	encoding	491.565	fixation	494.565	7.5
84	enc	enc57	old49	encoding	502.064	fixation	505.064	2.5
