trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc
1	ctl	ctl0	nan	5	1	2405	0
2	enc	enc00	nan	8	1	1454	0
3	enc	enc000	nan	9	1	1553	0
4	ctl	ctl01	nan	8	1	1184	0
5	enc	enc01	old59	6	1	2353	0
6	enc	enc02	old06	5	1	1510	0
7	enc	enc03	old25	6	1	2496	0
8	enc	enc04	old73	9	1	2006	0
9	enc	enc05	old54	8	1	2657	0
10	enc	enc06	old42	9	1	2124	0
11	ctl	ctl02	nan	5	1	1032	0
12	ctl	ctl03	nan	6	1	1078	0
13	enc	enc07	old27	8	1	1384	0
14	ctl	ctl04	nan	8	1	855	0
15	enc	enc08	old44	6	1	2231	0
16	enc	enc09	old24	5	1	1982	0
17	ctl	ctl05	nan	8	1	1115	0
18	enc	enc10	old29	6	1	1736	0
19	enc	enc11	old07	6	1	1401	0
20	enc	enc12	old14	8	1	1473	0
21	enc	enc13	old74	5	1	1431	0
22	enc	enc14	old15	9	1	2197	0
23	enc	enc15	old34	9	1	1204	0
24	enc	enc16	old31	5	1	1588	0
25	enc	enc17	old26	5	1	1532	0
26	ctl	ctl06	nan	5	1	792	0
27	enc	enc18	old12	5	1	1057	0
28	enc	enc19	old47	8	1	1282	0
29	ctl	ctl07	nan	5	1	772	0
30	enc	enc20	old67	6	1	1338	0
31	enc	enc21	old61	5	1	1131	0
32	enc	enc22	old69	6	1	923	0
33	enc	enc23	old13	5	1	802	0
34	enc	enc24	old02	8	1	1060	0
35	enc	enc25	old40	5	1	2327	0
36	enc	enc26	old53	9	1	1171	0
37	ctl	ctl08	nan	6	1	611	0
38	ctl	ctl09	nan	9	1	805	0
39	ctl	ctl10	nan	8	1	732	0
40	ctl	ctl11	nan	5	1	614	0
41	enc	enc27	old52	8	1	1135	0
42	ctl	ctl12	nan	9	1	735	0
43	enc	enc28	old23	9	1	1697	0
44	ctl	ctl13	nan	6	1	895	0
45	enc	enc29	old35	8	1	801	0
46	enc	enc30	old64	6	1	1889	0
47	enc	enc31	old05	9	1	894	0
48	enc	enc32	old70	6	1	875	0
49	enc	enc33	old19	9	1	1318	0
50	enc	enc34	old18	6	1	586	0
51	ctl	ctl14	nan	6	1	1962	0
52	enc	enc35	old72	5	1	597	0
53	enc	enc36	old03	9	1	1063	0
54	enc	enc37	old01	8	1	1278	0
55	enc	enc38	old45	6	1	1402	0
56	ctl	ctl15	nan	6	1	1059	0
57	ctl	ctl16	nan	9	1	552	0
58	enc	enc39	old65	6	1	960	0
59	enc	enc40	old56	5	1	2241	0
60	enc	enc41	old68	6	1	741	0
61	ctl	ctl17	nan	8	1	757	0
62	enc	enc42	old60	9	1	1410	0
63	enc	enc43	old17	8	1	1207	0
64	enc	enc44	old30	9	1	1471	0
65	ctl	ctl18	nan	9	1	616	0
66	enc	enc45	old22	8	1	777	0
67	enc	enc46	old37	9	1	1238	0
68	ctl	ctl19	nan	8	1	750	0
69	ctl	ctl20	nan	5	1	692	0
70	ctl	ctl21	nan	5	1	552	0
71	ctl	ctl22	nan	8	1	576	0
72	ctl	ctl23	nan	9	1	758	0
73	ctl	ctl24	nan	8	1	810	0
74	enc	enc47	old38	6	1	1352	0
75	enc	enc48	old11	6	1	1649	0
76	enc	enc49	old48	8	1	2422	0
77	enc	enc50	old51	9	1	2609	0
78	enc	enc51	old09	6	1	1864	0
79	ctl	ctl25	nan	9	1	838	0
80	ctl	ctl26	nan	5	1	799	0
81	enc	enc52	old49	5	1	1614	0
82	enc	enc53	old62	9	1	2505	0
83	enc	enc54	old43	8	1	1388	0
84	enc	enc55	old63	8	1	1372	0
85	ctl	ctl27	nan	6	1	650	0
86	enc	enc56	old39	6	1	1072	0
87	ctl	ctl28	nan	6	1	611	0
88	enc	enc57	old58	9	1	1678	0
89	enc	enc58	old71	9	1	1166	0
90	enc	enc59	old55	5	1	793	0
91	ctl	ctl29	nan	9	1	682	0
92	enc	enc60	old57	8	1	1237	0
93	ctl	ctl30	nan	8	1	664	0
94	enc	enc61	old08	8	1	586	0
95	ctl	ctl31	nan	8	1	2845	0
96	enc	enc62	old32	5	1	929	0
97	ctl	ctl32	nan	5	1	2063	0
98	enc	enc63	old76	8	1	1334	0
99	enc	enc64	old77	9	1	2299	0
100	ctl	ctl33	nan	9	1	743	0
101	ctl	ctl34	nan	9	1	616	0
102	enc	enc65	old66	8	1	1249	0
103	enc	enc66	old75	8	nan	0	1
104	ctl	ctl35	nan	6	1	709	0
105	enc	enc67	old04	5	1	1067	0
106	enc	enc68	old10	9	1	1204	0
107	enc	enc69	old36	5	1	1238	0
108	enc	enc70	old46	9	1	1401	0
109	enc	enc71	old33	8	1	1091	0
110	ctl	ctl36	nan	6	1	766	0
111	enc	enc72	old21	6	1	1897	0
112	enc	enc73	old78	9	1	1632	0
113	ctl	ctl37	nan	5	1	1341	0
114	ctl	ctl38	nan	6	1	779	0
115	enc	enc74	old50	5	1	1315	0
116	enc	enc75	old41	6	1	1471	0
117	ctl	ctl39	nan	9	1	957	0
118	enc	enc76	old20	5	1	1096	0
119	enc	enc77	old28	5	1	1198	0
120	enc	enc78	old16	8	1	1269	0
