0	1	2	3	4	5	6	7	8
1	ctl	ctl0	nan	control	0.016	fixation	3.025	1.5
2	enc	enc00	nan	encoding	4.513	fixation	7.522	0.5
3	enc	enc000	nan	encoding	8.023	fixation	11.032	0.5
4	ctl	ctl01	nan	control	11.534	fixation	14.543	5.5
5	enc	enc01	old56	encoding	20.042	fixation	23.051	0.5
6	enc	enc02	old09	encoding	23.553	fixation	26.562	1
7	enc	enc03	old20	encoding	27.565	fixation	30.574	1
8	enc	enc04	old78	encoding	31.577	fixation	34.586	1.5
9	enc	enc05	old53	encoding	36.074	fixation	39.083	2
10	enc	enc06	old43	encoding	41.072	fixation	44.081	3
11	ctl	ctl02	nan	control	47.073	fixation	50.082	0.5
12	ctl	ctl03	nan	control	50.584	fixation	53.593	4
13	enc	enc07	old29	encoding	57.588	fixation	60.597	2.5
14	ctl	ctl04	nan	control	63.088	fixation	66.097	1.5
15	enc	enc08	old46	encoding	67.584	fixation	70.593	2
16	enc	enc09	old23	encoding	72.583	fixation	75.591	3.5
17	ctl	ctl05	nan	control	79.085	fixation	82.094	0.5
18	enc	enc10	old38	encoding	82.596	fixation	85.605	2.5
19	enc	enc11	old03	encoding	88.095	fixation	91.104	0.5
20	enc	enc12	old26	encoding	91.606	fixation	94.615	1
21	enc	enc13	old70	encoding	95.618	fixation	98.627	1.5
22	enc	enc14	old17	encoding	100.115	fixation	103.124	2.5
23	enc	enc15	old30	encoding	105.614	fixation	108.623	3
24	enc	enc16	old32	encoding	111.616	fixation	114.625	1
25	enc	enc17	old18	encoding	115.628	fixation	118.637	1.5
26	ctl	ctl06	nan	control	120.124	fixation	123.133	1.5
27	enc	enc18	old07	encoding	124.621	fixation	127.63	1
28	enc	enc19	old40	encoding	128.633	fixation	131.642	2.5
29	ctl	ctl07	nan	control	134.133	fixation	137.142	2.5
30	enc	enc20	old77	encoding	139.632	fixation	142.641	0.5
31	enc	enc21	old61	encoding	143.143	fixation	146.152	5.5
32	enc	enc22	old74	encoding	151.652	fixation	154.661	5.5
33	enc	enc23	old12	encoding	160.16	fixation	163.169	2
34	enc	enc24	old01	encoding	165.159	fixation	168.168	1
35	enc	enc25	old51	encoding	169.171	fixation	172.18	3
36	enc	enc26	old54	encoding	175.172	fixation	178.181	3.5
37	ctl	ctl08	nan	control	181.675	fixation	184.683	0.5
38	ctl	ctl09	nan	control	185.185	fixation	188.194	1.5
39	ctl	ctl10	nan	control	189.682	fixation	192.691	9.5
40	ctl	ctl11	nan	control	202.186	fixation	205.195	2
41	enc	enc27	old48	encoding	207.184	fixation	210.193	2
42	ctl	ctl12	nan	control	212.182	fixation	215.191	1
43	enc	enc28	old22	encoding	216.177	fixation	219.186	0.5
44	ctl	ctl13	nan	control	219.688	fixation	222.697	0.5
45	enc	enc29	old28	encoding	223.198	fixation	226.207	2
46	enc	enc30	old63	encoding	228.197	fixation	231.206	4.5
47	enc	enc31	old11	encoding	235.702	fixation	238.711	3.5
48	enc	enc32	old75	encoding	242.205	fixation	245.214	8
49	enc	enc33	old15	encoding	253.204	fixation	256.213	9
50	enc	enc34	old25	encoding	265.207	fixation	268.216	0.5
51	ctl	ctl14	nan	control	268.717	fixation	271.726	2.5
52	enc	enc35	old67	encoding	274.217	fixation	277.226	8.5
53	enc	enc36	old10	encoding	285.718	fixation	288.727	0.5
54	enc	enc37	old02	encoding	289.229	fixation	292.238	5.5
55	enc	enc38	old41	encoding	297.737	fixation	300.746	3
56	ctl	ctl15	nan	control	303.739	fixation	306.748	4
57	ctl	ctl16	nan	control	310.743	fixation	313.752	6.5
58	enc	enc39	old55	encoding	320.254	fixation	323.263	0.5
59	enc	enc40	old57	encoding	323.765	fixation	326.774	11.5
60	enc	enc41	old71	encoding	338.275	fixation	341.284	9.5
61	ctl	ctl17	nan	control	350.779	fixation	353.788	1
62	enc	enc42	old59	encoding	354.791	fixation	357.8	5.5
63	enc	enc43	old14	encoding	363.299	fixation	366.308	1.5
64	enc	enc44	old34	encoding	367.796	fixation	370.805	1
65	ctl	ctl18	nan	control	371.791	fixation	374.8	2
66	enc	enc45	old19	encoding	376.79	fixation	379.799	3.5
67	enc	enc46	old36	encoding	383.292	fixation	386.301	1.5
68	ctl	ctl19	nan	control	387.789	fixation	390.798	0.5
69	ctl	ctl20	nan	control	391.3	fixation	394.309	2.5
70	ctl	ctl21	nan	control	396.799	fixation	399.808	0.5
71	ctl	ctl22	nan	control	400.31	fixation	403.319	2.5
72	ctl	ctl23	nan	control	405.81	fixation	408.819	2
73	ctl	ctl24	nan	control	410.808	fixation	413.817	11
74	enc	enc47	old31	encoding	424.816	fixation	427.825	1
75	enc	enc48	old05	encoding	428.812	fixation	431.821	1.5
76	enc	enc49	old44	encoding	433.308	fixation	436.317	0.5
77	enc	enc50	old52	encoding	436.819	fixation	439.828	0.5
78	enc	enc51	old08	encoding	440.329	fixation	443.338	2
79	ctl	ctl25	nan	control	445.327	fixation	448.336	1
80	ctl	ctl26	nan	control	449.323	fixation	452.332	2
81	enc	enc52	old47	encoding	454.321	fixation	457.33	4
