0	1	2	3	4	5	6	7	8
1	ctl	ctl0	nan	control	0.031	fixation	3.031	2
2	enc	enc00	nan	encoding	5.031	fixation	8.031	3
3	enc	enc000	nan	encoding	11.03	fixation	14.03	2
4	ctl	ctl01	nan	control	16.03	fixation	19.03	1
5	enc	enc01	old54	encoding	20.03	fixation	23.029	8
6	enc	enc02	old09	encoding	31.029	fixation	34.028	7.5
7	enc	enc03	old58	encoding	41.528	fixation	44.528	0.5
8	enc	enc04	old45	encoding	45.028	fixation	48.027	6
9	enc	enc05	old49	encoding	54.027	fixation	57.026	2
10	enc	enc06	old76	encoding	59.026	fixation	62.026	2
11	ctl	ctl02	nan	control	64.026	fixation	67.026	4
12	ctl	ctl03	nan	control	71.025	fixation	74.025	2.5
13	ctl	ctl04	nan	control	76.525	fixation	79.525	1.5
14	ctl	ctl05	nan	control	81.024	fixation	84.024	5
15	enc	enc07	old53	encoding	89.024	fixation	92.024	1
16	enc	enc08	old06	encoding	93.023	fixation	96.023	3
17	ctl	ctl06	nan	control	99.023	fixation	102.023	3
18	enc	enc09	old48	encoding	105.022	fixation	108.022	2.5
19	enc	enc10	old11	encoding	110.522	fixation	113.522	6.5
20	enc	enc11	old37	encoding	120.021	fixation	123.021	2.5
21	enc	enc12	old36	encoding	125.521	fixation	128.52	2
22	enc	enc13	old75	encoding	130.52	fixation	133.52	4.5
23	enc	enc14	old67	encoding	138.02	fixation	141.019	4.5
24	enc	enc15	old74	encoding	145.519	fixation	148.519	2.5
25	enc	enc16	old73	encoding	151.018	fixation	154.018	1
26	enc	enc17	old02	encoding	155.018	fixation	158.018	1.5
27	ctl	ctl07	nan	control	159.518	fixation	162.517	4
28	ctl	ctl08	nan	control	166.517	fixation	169.517	3
29	enc	enc18	old29	encoding	172.517	fixation	175.516	1
30	enc	enc19	old22	encoding	176.516	fixation	179.516	1
31	enc	enc20	old16	encoding	180.516	fixation	183.516	0.5
32	enc	enc21	old66	encoding	184.016	fixation	187.015	3.5
33	enc	enc22	old26	encoding	190.515	fixation	193.515	4.5
34	ctl	ctl09	nan	control	198.014	fixation	201.014	9.5
35	enc	enc23	old01	encoding	210.513	fixation	213.513	3.5
36	ctl	ctl10	nan	control	217.013	fixation	220.013	4
37	enc	enc24	old18	encoding	224.012	fixation	227.012	4
38	enc	enc25	old40	encoding	231.012	fixation	234.011	1
39	enc	enc26	old20	encoding	235.011	fixation	238.011	6
40	enc	enc27	old46	encoding	244.011	fixation	247.01	6.5
41	enc	enc28	old28	encoding	253.51	fixation	256.509	2
42	enc	enc29	old47	encoding	258.509	fixation	261.509	1.5
43	enc	enc30	old41	encoding	263.009	fixation	266.009	2.5
44	enc	enc31	old34	encoding	268.508	fixation	271.508	4.5
45	enc	enc32	old05	encoding	276.008	fixation	279.007	0.5
46	ctl	ctl11	nan	control	279.507	fixation	282.507	1
47	enc	enc33	old12	encoding	283.507	fixation	286.507	1.5
48	enc	enc34	old59	encoding	288.007	fixation	291.006	2
49	ctl	ctl12	nan	control	293.006	fixation	296.006	4
50	enc	enc35	old04	encoding	300.006	fixation	303.005	2
51	enc	enc36	old56	encoding	305.005	fixation	308.005	2.5
52	enc	enc37	old25	encoding	310.505	fixation	313.505	2
53	enc	enc38	old71	encoding	315.504	fixation	318.504	14.5
54	enc	enc39	old19	encoding	333.003	fixation	336.003	4
55	ctl	ctl13	nan	control	340.002	fixation	343.002	1.5
56	enc	enc40	old14	encoding	344.502	fixation	347.502	1
57	ctl	ctl14	nan	control	348.502	fixation	351.501	3
58	ctl	ctl15	nan	control	354.501	fixation	357.501	5.5
59	ctl	ctl16	nan	control	363	fixation	366	2
60	enc	enc41	old43	encoding	368	fixation	371	2.5
61	enc	enc42	old33	encoding	373.499	fixation	376.499	3
62	enc	enc43	old32	encoding	379.499	fixation	382.499	3
63	enc	enc44	old68	encoding	385.498	fixation	388.498	2
64	enc	enc45	old63	encoding	390.498	fixation	393.498	5
65	enc	enc46	old55	encoding	398.497	fixation	401.497	4.5
66	ctl	ctl17	nan	control	405.997	fixation	408.996	10.5
67	enc	enc47	old69	encoding	419.495	fixation	422.495	2.5
68	enc	enc48	old35	encoding	424.995	fixation	427.995	2.5
69	ctl	ctl18	nan	control	430.495	fixation	433.494	6
70	ctl	ctl19	nan	control	439.494	fixation	442.494	3.5
71	enc	enc49	old17	encoding	445.993	fixation	448.993	1.5
72	ctl	ctl20	nan	control	450.493	fixation	453.493	2.5
73	ctl	ctl21	nan	control	455.992	fixation	458.992	4
74	enc	enc50	old10	encoding	462.992	fixation	465.991	2
75	enc	enc51	old57	encoding	467.991	fixation	470.991	3
76	ctl	ctl22	nan	control	473.991	fixation	476.991	3
77	enc	enc52	old51	encoding	479.99	fixation	482.99	4
78	enc	enc53	old21	encoding	486.99	fixation	489.989	0.5
79	ctl	ctl23	nan	control	490.489	fixation	493.489	8
80	ctl	ctl24	nan	control	501.488	fixation	504.488	3
81	enc	enc54	old42	encoding	507.488	fixation	510.488	0.5
82	enc	enc55	old30	encoding	510.988	fixation	513.987	1.5
83	enc	enc56	old39	encoding	515.487	fixation	518.487	4
84	ctl	ctl25	nan	control	522.487	fixation	525.486	5
85	enc	enc57	old78	encoding	530.486	fixation	533.486	7.5
86	ctl	ctl26	nan	control	540.985	fixation	543.985	1
87	ctl	ctl27	nan	control	544.985	fixation	547.984	1.5
88	enc	enc58	old24	encoding	549.484	fixation	552.484	0.5
89	enc	enc59	old70	encoding	552.984	fixation	555.984	1.5
