trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	duration
1	ctl	ctl0	nan	5	1	1703	0	4.577	7.586	0.5
2	enc	enc00	nan	8	1	1991	0	8.088	11.097	0.5
3	enc	enc000	nan	9	1	1800	0	11.598	14.607	5.5
4	ctl	ctl01	nan	8	1	1362	0	20.107	23.116	0.5
5	enc	enc01	old58	6	1	1884	0	23.617	26.626	1
6	enc	enc02	old12	5	1	2014	0	27.612	30.621	1
7	enc	enc03	old20	6	1	2539	0	31.608	34.617	1.5
8	enc	enc04	old73	9	1	2815	0	36.104	39.113	2
9	enc	enc05	old57	8	1	2103	0	41.103	44.112	3
10	enc	enc06	old49	9	nan	0	1	47.104	50.113	0.5
11	ctl	ctl02	nan	5	1	878	0	50.614	53.623	4
12	ctl	ctl03	nan	6	1	992	0	57.618	60.627	2.5
13	enc	enc07	old37	8	1	1908	0	63.118	66.127	1.5
14	ctl	ctl04	nan	8	1	824	0	67.615	70.624	2
15	enc	enc08	old46	6	1	1982	0	72.613	75.622	3.5
16	enc	enc09	old19	5	1	2040	0	79.116	82.125	0.5
17	ctl	ctl05	nan	8	1	913	0	82.626	85.635	2.5
18	enc	enc10	old30	6	1	2451	0	88.126	91.135	0.5
19	enc	enc11	old06	6	1	1543	0	91.636	94.645	1
20	enc	enc12	old21	8	1	2553	0	95.632	98.641	1.5
21	enc	enc13	old72	5	1	2572	0	100.128	103.137	2.5
22	enc	enc14	old15	9	1	1876	0	105.628	108.637	3
23	enc	enc15	old28	9	1	2480	0	111.629	114.638	1
24	enc	enc16	old36	5	1	1655	0	115.624	118.633	1.5
25	enc	enc17	old16	5	1	2212	0	120.121	123.13	1.5
26	ctl	ctl06	nan	5	1	2290	0	124.618	127.627	1
27	enc	enc18	old11	5	1	1833	0	128.63	131.639	2.5
28	enc	enc19	old48	8	1	2125	0	134.129	137.138	2.5
29	ctl	ctl07	nan	5	nan	0	1	139.629	142.638	0.5
30	enc	enc20	old69	6	1	1278	0	143.14	146.149	5.5
31	enc	enc21	old53	5	1	2687	0	151.648	154.657	5.5
32	enc	enc22	old76	6	1	1714	0	160.157	163.166	2
33	enc	enc23	old09	5	1	1709	0	165.155	168.164	1
34	enc	enc24	old03	8	1	1783	0	169.15	172.159	3
35	enc	enc25	old50	5	1	2284	0	175.152	178.16	3.5
36	enc	enc26	old59	9	1	2561	0	181.654	184.663	0.5
37	ctl	ctl08	nan	6	1	915	0	185.165	188.174	1.5
38	ctl	ctl09	nan	9	1	900	0	189.661	192.67	9.5
39	ctl	ctl10	nan	8	1	740	0	202.165	205.174	2
40	ctl	ctl11	nan	5	1	683	0	207.163	210.172	2
41	enc	enc27	old44	8	1	2205	0	212.162	215.171	1
42	ctl	ctl12	nan	9	1	1030	0	216.174	219.183	0.5
43	enc	enc28	old17	9	1	2218	0	219.684	222.693	0.5
44	ctl	ctl13	nan	6	1	828	0	223.195	226.203	2
45	enc	enc29	old29	8	1	2829	0	228.193	231.202	4.5
46	enc	enc30	old60	6	1	2054	0	235.698	238.707	3.5
47	enc	enc31	old05	9	1	1413	0	242.201	245.21	8
48	enc	enc32	old77	6	1	1950	0	253.2	256.209	9
49	enc	enc33	old23	9	1	2879	0	265.203	268.212	0.5
