trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	onset	stimDurSec	fixOnsetSec	fixlen	ImageID	trial_type	CorrectSource	Stim_RT	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20.094	3.0	23.094	0.5	Old63	Enc01	6	1.368	26.094	8.499	8.499	46.188	False	8.499	8.499	23.094
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	23.594	3.0	26.594	1.0	Old02	Enc02	5	1.6869999999999998	29.594	3.5	3.5	53.188	False	3.5	3.5	26.594
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	27.594	3.0	30.593000000000004	1.0	Old17	Enc03	6	1.482	33.593	4.0	3.9990000000000023	61.187000000000005	False	4.0	3.9990000000000014	30.593000000000004
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	31.593000000000004	3.0	34.593	1.5	Old70	Enc04	9	1.541	37.593	3.9990000000000023	4.0	69.186	False	3.9990000000000014	4.0	34.593
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	36.093	3.0	39.093	2.0	Old57	Enc05	8	1.6469999999999998	42.093	4.5	4.5	78.186	False	4.5	4.5	39.093
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	41.093	3.0	44.092	3.0	Old45	Enc06	9	1.193	47.092	5.0	4.998999999999995	88.185	False	5.0	4.998999999999995	44.092
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	57.591	3.0	60.591	2.5	Old38	Enc07	8	1.297	63.591	6.999000000000002	6.999000000000002	121.182	False	6.999000000000002	6.999000000000002	60.591
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	67.59	3.0	70.59	2.0	Old48	Enc08	6	2.148	73.59	4.499000000000002	4.498999999999995	141.18	False	4.499000000000002	4.498999999999995	70.59
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	72.59	3.0	75.59	3.5	Old18	Enc09	5	1.709	78.59	5.0	5.0	151.18	False	5.0	5.0	75.59
14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	82.589	3.0	85.589	2.5	Old33	Enc10	6	1.177	88.589	3.4989999999999952	3.5	171.178	False	3.4989999999999952	3.5	85.589
