trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	CorrectSource	Stim_RT	onset	stimDurSec	fixOnsetSec	fixlen	trial_type	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
7	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	5.0	1.834	64.047	3.0	67.047	4.0	CTL02	9.998999999999995	4.998999999999995	5.0	74.04599999999999	0.0	4.998999999999995	5.0	67.047
8	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	6.0	0.831	71.047	3.0	74.046	2.5	CTL03	13.99900000000001	7.0	6.999000000000009	85.046	0.0	7.0	6.999000000000009	74.046
9	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	6.0	0.7959999999999999	76.546	3.0	79.546	1.5	CTL04	10.99900000000001	5.499000000000009	5.5	87.54500000000002	0.0	5.499000000000009	5.5	79.546
10	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	1.74	81.046	3.0	84.045	5.0	CTL05	8.998999999999995	4.5	4.498999999999995	90.045	0.0	4.5	4.498999999999995	84.045
13	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	9.0	0.98	99.044	3.0	102.044	3.0	CTL06	11.998999999999995	5.998999999999995	6.0	111.043	0.0	5.998999999999995	6.0	102.044
23	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	5.0	0.8640000000000001	159.539	3.0	162.53799999999998	4.0	CTL07	8.998999999999995	4.5	4.498999999999995	168.53799999999998	0.0	4.5	4.498999999999995	162.53799999999998
24	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	8.0	0.586	166.53799999999998	3.0	169.53799999999998	3.0	CTL08	13.998999999999995	6.998999999999995	7.0	180.537	0.0	6.998999999999995	7.0	169.53799999999998
30	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	8.0	0.4	198.035	3.0	201.035	9.5	CTL09	14.99799999999999	7.498999999999995	7.498999999999995	213.033	0.0	7.498999999999995	7.498999999999995	201.035
32	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	9.0	0.7020000000000001	217.033	3.0	220.033	4.0	CTL10	12.99799999999999	6.498999999999995	6.498999999999995	230.031	0.0	6.498999999999995	6.498999999999995	220.033
42	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	42.0	6.0	1.089	279.528	3.0	282.527	1.0	CTL11	6.998999999999967	3.5	3.498999999999967	286.527	0.0	3.5	3.498999999999967	282.527
