trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	CorrectSource	Stim_RT	onset	stimDurSec	fixOnsetSec	fixlen	ImageID	trial_type	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	0.8909999999999999	20.051	3.0	23.051	8.0	Old56	Enc01	26.051	3.9989999999999988	4.0	46.102	False	3.998999999999999	4.0	23.051
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	1.783	31.05	3.0	34.05	7.5	Old07	Enc02	37.05	10.999000000000002	10.998999999999999	68.1	False	10.999000000000002	10.999	34.05
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	1.893	41.549	3.0	44.549	0.5	Old55	Enc03	47.549	10.498999999999999	10.499000000000002	89.098	False	10.499	10.499000000000002	44.549
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	0.892	45.049	3.0	48.049	6.0	Old52	Enc04	51.049	3.5	3.5	96.098	False	3.5	3.5	48.049
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1.459	54.048	3.0	57.048	2.0	Old51	Enc05	60.048	8.999000000000002	8.999000000000002	114.096	False	8.999000000000002	8.999000000000002	57.048
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	9	1.821	59.048	3.0	62.047	2.0	Old77	Enc06	65.047	5.0	4.998999999999995	124.095	False	5.0	4.998999999999995	62.047
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	6	1.725	89.045	3.0	92.045	1.0	Old63	Enc07	95.045	7.998999999999995	8.0	184.09	False	7.998999999999995	8.0	92.045
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	8	0.3939999999999999	93.045	3.0	96.044	3.0	Old04	Enc08	99.044	4.0	3.9989999999999952	192.089	False	4.0	3.9989999999999952	96.044
14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	9	0.895	105.044	3.0	108.043	2.5	Old45	Enc09	111.043	6.0	5.999000000000009	216.087	False	6.0	5.999000000000009	108.043
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	5	0.396	110.543	3.0	113.543	6.5	Old13	Enc10	116.543	5.499000000000009	5.5	227.086	False	5.499000000000009	5.5	113.543
16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	9	0.8959999999999999	120.042	3.0	123.042	2.5	Old33	Enc11	126.042	9.498999999999995	9.498999999999995	246.084	False	9.498999999999995	9.498999999999995	123.042
17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	5	0.396	125.542	3.0	128.541	2.0	Old32	Enc12	131.541	5.5	5.498999999999995	257.08299999999997	False	5.5	5.498999999999995	128.541
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	8	0.396	130.541	3.0	133.541	4.5	Old72	Enc13	136.541	4.998999999999995	5.0	267.082	False	4.998999999999995	5.0	133.541
19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	8	0.396	138.041	3.0	141.04	4.5	Old78	Enc14	144.04	7.5	7.498999999999995	282.081	False	7.5	7.498999999999995	141.04
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	9	0.397	145.54	3.0	148.54	2.5	Old76	Enc15	151.54	7.498999999999995	7.5	297.08	False	7.498999999999995	7.5	148.54
21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	8	1.882	151.039	3.0	154.039	1.0	Old75	Enc16	157.039	5.498999999999995	5.498999999999995	308.078	False	5.498999999999995	5.498999999999995	154.039
22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	5	0.897	155.039	3.0	158.039	1.5	Old11	Enc17	161.039	4.0	4.0	316.078	False	4.0	4.0	158.039
25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	8	0.899	172.537	3.0	175.537	1.0	Old28	Enc18	178.537	5.999000000000024	5.999000000000024	351.074	False	5.999000000000024	5.999000000000024	175.537
26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	8	1.828	176.537	3.0	179.537	1.0	Old16	Enc19	182.537	4.0	4.0	359.074	False	4.0	4.0	179.537
27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	5	0.3989999999999999	180.537	3.0	183.536	0.5	Old20	Enc20	186.536	4.0	3.9989999999999952	367.073	False	4.0	3.9989999999999952	183.536
28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	9	0.098	184.036	3.0	187.036	3.5	Old69	Enc21	190.036	3.4989999999999952	3.5	374.072	False	3.4989999999999952	3.5	187.036
29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	9	0.4	190.536	3.0	193.536	4.5	Old15	Enc22	196.536	6.5	6.5	387.072	False	6.5	6.5	193.536
31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	6	0.4	210.534	3.0	213.534	3.5	Old09	Enc23	216.534	12.498999999999995	12.498999999999995	427.068	False	12.498999999999995	12.498999999999995	213.534
33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	8	1.232	224.033	3.0	227.033	4.0	Old21	Enc24	230.033	7.0	7.0	454.066	False	7.0	7.0	227.033
34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	8	2.002	231.032	3.0	234.032	1.0	Old47	Enc25	237.032	6.999000000000024	6.999000000000024	468.064	False	6.999000000000024	6.999000000000024	234.032
35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	9	0.901	235.032	3.0	238.032	6.0	Old24	Enc26	241.032	4.0	4.0	476.064	False	4.0	4.0	238.032
36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	5	1.834	244.031	3.0	247.031	6.5	Old41	Enc27	250.031	8.998999999999995	8.998999999999995	494.062	False	8.998999999999995	8.998999999999995	247.031
37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	6	2.025	253.53	3.0	256.53	2.0	Old34	Enc28	259.53	9.498999999999995	9.498999999999967	513.06	False	9.498999999999995	9.498999999999969	256.53
38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	9	2.403	258.53	3.0	261.529	1.5	Old46	Enc29	264.529	4.999999999999972	4.999000000000024	523.059	False	4.999999999999972	4.999000000000024	261.529
39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	8	0.4039999999999999	263.029	3.0	266.029	2.5	Old44	Enc30	269.029	4.499000000000024	4.5	532.058	False	4.499000000000024	4.5	266.029
40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	6	2.404	268.529	3.0	271.528	4.5	Old39	Enc31	274.528	5.5	5.499000000000024	543.057	False	5.5	5.499000000000024	271.528
41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	6	1.482	276.028	3.0	279.028	0.5	Old06	Enc32	282.028	7.499000000000024	7.5	558.056	False	7.499000000000024	7.5	279.028
43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	9	2.091	283.527	3.0	286.527	1.5	Old01	Enc33	289.527	3.998999999999967	4.0	573.054	False	3.998999999999967	4.0	286.527
44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	8	0.4039999999999999	288.027	3.0	291.027	2.0	Old53	Enc34	294.027	4.5	4.5	582.054	False	4.5	4.5	291.027
46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	9	0.904	300.026	3.0	303.026	2.0	Old08	Enc35	306.026	7.0	7.0	606.052	False	7.0	7.0	303.026
47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	8	0.905	305.025	3.0	308.025	2.5	Old61	Enc36	311.025	4.998999999999967	4.998999999999967	616.05	False	4.998999999999967	4.998999999999967	308.025
48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	9	0.405	310.525	3.0	313.525	2.0	Old22	Enc37	316.525	5.5	5.5	627.05	False	5.5	5.5	313.525
49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	6	0.406	315.524	3.0	318.524	14.0	Old70	Enc38	321.524	4.999000000000024	4.999000000000024	637.048	False	4.999000000000024	4.999000000000024	318.524
50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	5	0.407	333.023	3.0	336.023	4.0	Old18	Enc39	339.023	17.499000000000024	17.499000000000024	672.046	False	17.499000000000024	17.499000000000024	336.023
52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	6	1.4069999999999998	344.522	3.0	347.522	1.0	Old19	Enc40	350.522	4.5	4.5	695.044	False	4.5	4.5	347.522
