	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond
0	16.011	3.0	19.02	1.0	False	CTL01
1	20.023	3.0	23.032	8.0	Old64	Enc01
2	31.022	3.0	34.031	7.5	Old12	Enc02
3	41.52	3.0	44.529	0.5	Old57	Enc03
4	45.03100000000001	3.0	48.04	6.0	Old41	Enc04
5	54.041	3.0	57.05	2.0	Old48	Enc05
6	59.03899999999999	3.0	62.048	2.0	Old71	Enc06
7	64.038	3.0	67.047	4.0	False	CTL02
8	71.042	3.0	74.051	2.5	False	CTL03
9	76.542	3.0	79.551	1.5	False	CTL04
10	81.039	3.0	84.04799999999999	5.0	False	CTL05
11	89.046	3.0	92.055	1.0	Old63	Enc07
12	93.05799999999999	3.0	96.06700000000001	3.0	Old02	Enc08
13	99.059	3.0	102.068	3.0	False	CTL06
14	105.06	3.0	108.069	2.5	Old47	Enc09
15	110.56	3.0	113.569	6.5	Old09	Enc10
16	120.072	3.0	123.081	2.5	Old27	Enc11
17	125.572	3.0	128.581	2.0	Old39	Enc12
18	130.57	3.0	133.579	4.5	Old76	Enc13
19	138.076	3.0	141.085	4.5	Old77	Enc14
20	145.582	3.0	148.591	2.5	Old70	Enc15
21	151.081	3.0	154.09	1.0	Old72	Enc16
22	155.077	3.0	158.086	1.5	Old05	Enc17
23	159.574	3.0	162.583	4.0	False	CTL07
24	166.578	3.0	169.587	3.0	False	CTL08
25	172.579	3.0	175.588	1.0	Old38	Enc18
26	176.574	3.0	179.583	1.0	Old19	Enc19
27	180.57	3.0	183.579	0.5	Old16	Enc20
28	184.08	3.0	187.089	3.5	Old74	Enc21
29	190.583	3.0	193.592	4.5	Old14	Enc22
30	198.089	3.0	201.098	9.5	False	CTL09
31	210.593	3.0	213.602	3.5	Old07	Enc23
32	217.096	3.0	220.105	4.0	False	CTL10
33	224.1	3.0	227.109	4.0	Old21	Enc24
34	231.104	3.0	234.113	1.0	Old44	Enc25
35	235.099	3.0	238.108	6.0	Old24	Enc26
36	244.11	3.0	247.119	6.5	Old51	Enc27
37	253.621	3.0	256.63	2.0	Old36	Enc28
38	258.62	3.0	261.629	1.5	Old45	Enc29
39	263.117	3.0	266.126	2.5	Old52	Enc30
40	268.616	3.0	271.625	4.5	Old31	Enc31
41	276.122	3.0	279.131	0.5	Old01	Enc32
42	279.633	3.0	282.642	1.0	False	CTL11
43	283.645	3.0	286.654	1.5	Old04	Enc33
