	Condition	CorrectSource	Stim_RT
0	Enc	6	1.588
1	Enc	5	0.847
2	Enc	6	1.093
3	Enc	9	1.502
4	Enc	8	0.966
5	Enc	9	1.091
6	Enc	8	0.845
7	CTL	8	0.719
8	CTL	5	0.976
9	Enc	6	1.22
10	CTL	6	0.778
11	Enc	5	1.516
12	Enc	6	1.442
13	CTL	8	0.607
14	Enc	6	1.168
15	Enc	8	1.104
16	Enc	5	1.336
17	Enc	9	1.534
18	Enc	9	0.868
19	Enc	5	1.249
20	Enc	5	1.47
21	Enc	5	2.03
22	CTL	8	0.723
23	CTL	5	0.627
24	Enc	8	1.447
25	Enc	6	1.387
26	Enc	5	1.848
27	CTL	5	0.674
28	Enc	6	1.972
29	Enc	5	1.425
30	CTL	6	0.632
31	Enc	8	1.242
32	Enc	5	1.797
33	Enc	9	1.428
34	Enc	8	2.281
35	Enc	9	1.322
36	Enc	8	1.489
37	Enc	6	1.685
38	CTL	9	0.677
39	CTL	8	0.708
40	Enc	9	1.745
41	Enc	6	1.687
42	Enc	9	1.527
43	Enc	6	2.537
44	CTL	5	0.651
45	Enc	5	2.213
46	Enc	9	1.66
47	CTL	9	0.651
48	Enc	8	1.09
49	CTL	6	0.676
50	CTL	6	0.641
51	CTL	6	0.569
52	CTL	9	0.506
53	Enc	6	1.881
54	Enc	6	1.609
55	Enc	5	1.542
56	Enc	6	1.267
57	Enc	9	1.197
58	Enc	8	1.142
59	Enc	9	1.444
60	Enc	8	1.71
61	Enc	9	0.947
62	Enc	6	0.483
63	Enc	6	1.275
64	Enc	8	1.37
65	Enc	9	0.959
66	Enc	6	1.095
67	CTL	8	0.724
68	Enc	5	2.062
69	CTL	9	0.668
70	CTL	8	0.623
71	CTL	5	0.669
72	Enc	9	2.725
73	Enc	8	2.162
74	Enc	8	1.807
75	Enc	6	0.0
76	CTL	5	0.62
77	Enc	9	1.729
78	CTL	8	0.599
79	Enc	9	2.093
80	CTL	9	0.625
81	CTL	8	0.681
82	CTL	9	0.576
83	CTL	5	0.568
84	Enc	5	1.722
85	CTL	6	0.657
86	CTL	6	0.604
87	Enc	8	1.2
88	CTL	9	0.535
89	Enc	8	1.399
90	Enc	5	1.729
91	Enc	8	1.786
92	CTL	8	0.779
93	Enc	9	1.33
94	Enc	8	1.151
95	Enc	8	0.0
96	CTL	8	0.704
97	CTL	5	0.677
98	Enc	5	1.571
99	CTL	9	0.571
100	CTL	9	0.558
101	CTL	6	0.591
102	Enc	9	0.978
103	CTL	6	0.646
104	CTL	5	0.529
105	CTL	6	0.581
106	Enc	5	1.021
107	Enc	9	0.998
108	Enc	8	1.542
109	Enc	6	1.656
110	Enc	9	1.822
111	CTL	9	0.654
112	Enc	5	1.33
113	Enc	6	1.059
114	Enc	5	1.376
115	Enc	5	1.949
116	Enc	8	1.634
