category	stim	oldnumber	recognition_acc	recognition_resp	recognition_rt	spatial_resp	spatial_rt	spatial_acc( corriger voir output-encodage)
old	animal_zebra_old.bmp	old13	0	2	7197	nan	0	
old	kitchen_big cooking pot.bmp	old28	1	1	6459	6	1575	
old	musical_piano_old.bmp	old48	1	1	2526	9	384	
new	musical_zamponia windflute.bmp	new29	1	2	1711	9	384	
new	animal_ostrich.bmp	new26	1	2	1944	9	384	
old	vegie_cauliflower.bmp	old72	1	1	2249	9	350	
old	musical_harp_new.bmp	old43	0	2	3063	9	350	
old	animal_farm pig.bmp	old05	1	1	2050	5	1375	
new	animal_gorilla.bmp	new15	1	2	2167	5	1375	
old	animal_chimpanzee.bmp	old03	1	1	3086	6	425	
old	kitchen_wooden spoon_old.bmp	old39	0	2	2510	6	425	
new	sporting_windsurf.bmp	new31	1	2	2616	6	425	
old	kitchen_peppermill.bmp	old33	1	1	2676	9	432	
old	animal_monarch_old.bmp	old08	0	2	1644	9	432	
new	kitchen_baking spatula.bmp	new01	1	2	1713	9	432	
old	fruit_lemon_new.bmp	old69	0	2	1578	9	432	
old	fruit_blackberry_new.bmp	old66	1	1	2152	9	2721	
old	sporting_americanfootball.bmp	old53	0	2	1890	9	2721	
old	food_chocolatemilk.bmp	old17	1	1	2060	6	1305	
old	sporting_snow shoes_old.bmp	old64	0	2	4139	6	1305	
old	sporting_hockey stick_old.bmp	old58	0	2	1547	6	1305	
old	food_croissant01.bmp	old19	0	2	3091	6	1305	
new	vegie_cucumber.bmp	new33	1	2	1653	6	1305	
old	kitchen_white strainer.bmp	old38	1	1	2361	6	306	
old	hard_musical_recorder.bmp	old40	0	2	2179	6	306	
old	vegie_corn02.bmp	old73	1	1	2675	9	2039	
new	food_pizza.bmp	new22	1	2	2036	9	2039	
old	musical_violin_old.bmp	old51	1	1	2600	5	639	
old	sporting_soccer ball_new.bmp	old65	1	1	1828	5	394	
old	food_cracker02.bmp	old18	0	2	1488	5	394	
new	sporting_flippers.bmp	new02	1	2	3547	5	394	
new	fruit_rasberry.bmp	new10	0	1	2354	9	323	
old	musical_accordion_old.bmp	old41	0	2	1539	9	323	
new	vegie_pumpkin.bmp	new21	1	2	1875	9	323	
new	animal_horse.bmp	new20	1	2	3830	9	323	
old	animal_lion_new.bmp	old07	0	2	2459	9	323	
old	animal_sheep.bmp	old11	1	1	2280	9	1044	
old	kitchen_scrubbing brush.bmp	old36	0	2	1576	9	1044	
new	animal_giraffe.bmp	new03	1	2	1343	9	1044	
old	sporting_boxing_gloves.bmp	old56	0	2	2615	9	1044	
old	food_candy.bmp	old16	1	1	4499	8	294	
old	food_softcheese.bmp	old24	0	2	2289	8	294	
old	animal_cheetah.bmp	old02	1	1	2490	5	1262	
old	vegie_garlic01a.bmp	old74	0	2	2129	5	1262	
new	fruit_apricot_new.bmp	new04	1	2	2353	5	1262	
old	food_frenchfries.bmp	old20	0	2	1481	5	1262	
new	fruit_cherry.bmp	old67	0	2	2499	5	1262	
old	musical_acoustic guitar_new.bmp	old42	1	1	1381	9	1877	
old	kitchen_cookie cutter.bmp	old30	1	1	2552	5	304	
old	kitchen_apron.bmp	old27	1	1	2274	9	310	
old	kitchen_plate.bmp	old35	0	2	1936	9	310	
new	animal_pigeon.bmp	new32	1	2	1504	9	310	
