0	1	2	3	4	5	6	7	8
1	enc	enc00	nan	encoding	0.022	fixation	3.031	7
2	enc	enc000	nan	encoding	10.018	fixation	13.027	4.5
3	ctl	ctl0	nan	control	17.524	fixation	20.533	4.5
4	enc	enc01	old63	encoding	25.03	fixation	28.039	0.5
5	ctl	ctl01	nan	control	28.54	fixation	31.549	0.5
6	enc	enc02	old12	encoding	32.051	fixation	35.06	4.5
7	enc	enc03	old58	encoding	39.557	fixation	42.566	2
8	ctl	ctl02	nan	control	44.555	fixation	47.564	3.5
9	ctl	ctl03	nan	control	51.058	fixation	54.067	1.5
10	enc	enc04	old78	encoding	55.554	fixation	58.563	2.5
11	enc	enc05	old71	encoding	61.054	fixation	64.063	1
12	ctl	ctl04	nan	control	65.05	fixation	68.059	3
13	enc	enc06	old45	encoding	71.051	fixation	74.06	4
14	ctl	ctl05	nan	control	78.055	fixation	81.064	0.5
15	enc	enc07	old64	encoding	81.566	fixation	84.575	2.5
16	ctl	ctl06	nan	control	87.065	fixation	90.074	2.5
17	ctl	ctl07	nan	control	92.565	fixation	95.574	3.5
18	enc	enc08	old03	encoding	99.068	fixation	102.077	1
19	enc	enc09	old69	encoding	103.08	fixation	106.089	2
20	enc	enc10	old11	encoding	108.078	fixation	111.087	0.5
21	enc	enc11	old38	encoding	111.589	fixation	114.598	4.5
22	enc	enc12	old27	encoding	119.094	fixation	122.103	7
23	enc	enc13	old43	encoding	129.091	fixation	132.1	0.5
24	enc	enc14	old40	encoding	132.601	fixation	135.61	2
25	enc	enc15	old46	encoding	137.6	fixation	140.609	1
26	enc	enc16	old48	encoding	141.612	fixation	144.621	1
27	enc	enc17	old04	encoding	145.624	fixation	148.633	3.5
28	ctl	ctl08	nan	control	152.126	fixation	155.135	1
29	enc	enc18	old36	encoding	156.122	fixation	159.131	2
30	enc	enc19	old20	encoding	161.12	fixation	164.129	0.5
31	enc	enc20	old15	encoding	164.63	fixation	167.639	3.5
32	ctl	ctl09	nan	control	171.133	fixation	174.142	7
33	enc	enc21	old51	encoding	181.13	fixation	184.139	2.5
34	enc	enc22	old26	encoding	186.629	fixation	189.638	5
35	enc	enc23	old08	encoding	194.637	fixation	197.646	1
36	enc	enc24	old24	encoding	198.649	fixation	201.658	10
37	enc	enc25	old73	encoding	211.654	fixation	214.663	1.5
38	enc	enc26	old18	encoding	216.151	fixation	219.16	0.5
39	enc	enc27	old70	encoding	219.662	fixation	222.671	2.5
40	enc	enc28	old35	encoding	225.161	fixation	228.17	3.5
41	ctl	ctl10	nan	control	231.664	fixation	234.673	1
42	ctl	ctl11	nan	control	235.676	fixation	238.685	0.5
43	ctl	ctl12	nan	control	239.187	fixation	242.196	1.5
44	ctl	ctl13	nan	control	243.683	fixation	246.692	7
45	enc	enc29	old66	encoding	253.68	fixation	256.689	7
46	enc	enc30	old74	encoding	263.676	fixation	266.685	2
47	ctl	ctl14	nan	control	268.675	fixation	271.684	6.5
48	enc	enc31	old31	encoding	278.186	fixation	281.195	3.5
49	enc	enc32	old13	encoding	284.689	fixation	287.698	2.5
50	enc	enc33	old01	encoding	290.189	fixation	293.198	4
51	enc	enc34	old61	encoding	297.193	fixation	300.202	3.5
52	ctl	ctl15	nan	control	303.696	fixation	306.705	1
53	enc	enc35	old02	encoding	307.708	fixation	310.717	6.5
54	ctl	ctl16	nan	control	317.22	fixation	320.229	7.5
55	ctl	ctl17	nan	control	327.718	fixation	330.727	2.5
56	enc	enc36	old59	encoding	333.218	fixation	336.227	1.5
57	enc	enc37	old22	encoding	337.714	fixation	340.723	1
58	enc	enc38	old44	encoding	341.71	fixation	344.719	3
59	ctl	ctl18	nan	control	347.711	fixation	350.72	2.5
60	enc	enc39	old16	encoding	353.211	fixation	356.22	1
61	enc	enc40	old19	encoding	357.223	fixation	360.232	9
62	enc	enc41	old77	encoding	369.225	fixation	372.234	1.5
63	enc	enc42	old34	encoding	373.722	fixation	376.731	8.5
64	enc	enc43	old28	encoding	385.223	fixation	388.232	8
65	ctl	ctl19	nan	control	396.222	fixation	399.231	1.5
66	enc	enc44	old52	encoding	400.719	fixation	403.728	5
67	ctl	ctl20	nan	control	408.726	fixation	411.735	1
68	ctl	ctl21	nan	control	412.722	fixation	415.731	3
69	enc	enc45	old55	encoding	418.723	fixation	421.732	5
70	ctl	ctl22	nan	control	426.73	fixation	429.739	0.5
71	enc	enc46	old54	encoding	430.241	fixation	433.25	1.5
72	enc	enc47	old42	encoding	434.738	fixation	437.747	0.5
73	enc	enc48	old29	encoding	438.248	fixation	441.257	2
74	enc	enc49	old17	encoding	443.246	fixation	446.255	1.5
75	enc	enc50	old10	encoding	447.743	fixation	450.752	1
76	enc	enc51	old65	encoding	451.755	fixation	454.764	2.5
77	enc	enc52	old75	encoding	457.255	fixation	460.264	5.5
78	ctl	ctl23	nan	control	465.764	fixation	468.773	2.5
79	enc	enc53	old25	encoding	471.263	fixation	474.272	1.5
80	ctl	ctl24	nan	control	475.76	fixation	478.769	0.5
81	enc	enc54	old72	encoding	479.271	fixation	482.28	3
82	enc	enc55	old32	encoding	485.272	fixation	488.281	3.5
83	enc	enc56	old30	encoding	491.775	fixation	494.784	7.5
84	enc	enc57	old50	encoding	502.273	fixation	505.282	2.5
85	ctl	ctl25	nan	control	507.772	fixation	510.781	0.5
86	enc	enc58	old14	encoding	511.283	fixation	514.292	1
87	enc	enc59	old47	encoding	515.295	fixation	518.304	4
88	enc	enc60	old67	encoding	522.299	fixation	525.308	11.5
89	ctl	ctl26	nan	control	536.809	fixation	539.818	0.5
90	ctl	ctl27	nan	control	540.32	fixation	543.329	4
91	ctl	ctl28	nan	control	547.324	fixation	550.333	0.5
92	enc	enc61	old37	encoding	550.834	fixation	553.843	2.5
93	enc	enc62	old53	encoding	556.334	fixation	559.343	3
94	ctl	ctl29	nan	control	562.335	fixation	565.344	1
95	enc	enc63	old06	encoding	566.331	fixation	569.34	2
96	enc	enc64	old09	encoding	571.329	fixation	574.338	0.5
97	ctl	ctl30	nan	control	574.84	fixation	577.848	7
98	enc	enc65	old56	encoding	584.836	fixation	587.845	0.5
99	enc	enc66	old41	encoding	588.347	fixation	591.356	0.5
100	ctl	ctl31	nan	control	591.857	fixation	594.866	0.5
101	ctl	ctl32	nan	control	595.368	fixation	598.376	1.5
102	enc	enc67	old60	encoding	599.864	fixation	602.873	3
103	enc	enc68	old33	encoding	605.866	fixation	608.875	1.5
104	ctl	ctl33	nan	control	610.362	fixation	613.371	4.5
105	ctl	ctl34	nan	control	617.868	fixation	620.877	0.5
106	enc	enc69	old07	encoding	621.379	fixation	624.388	8
107	enc	enc70	old62	encoding	632.378	fixation	635.387	1
108	ctl	ctl35	nan	control	636.373	fixation	639.382	4.5
109	ctl	ctl36	nan	control	643.879	fixation	646.888	2
110	enc	enc71	old68	encoding	648.877	fixation	651.886	1
111	enc	enc72	old05	encoding	652.873	fixation	655.882	2
112	ctl	ctl37	nan	control	657.871	fixation	660.88	2
113	ctl	ctl38	nan	control	662.869	fixation	665.878	10
114	enc	enc73	old76	encoding	675.875	fixation	678.884	3.5
115	enc	enc74	old23	encoding	682.377	fixation	685.386	9
116	ctl	ctl39	nan	control	694.38	fixation	697.389	0.5
117	enc	enc75	old49	encoding	697.891	fixation	700.9	7
118	enc	enc76	old57	encoding	707.887	fixation	710.896	12.5
119	enc	enc77	old39	encoding	723.383	fixation	726.392	2.5
120	enc	enc78	old21	encoding	728.883	fixation	731.892	18.5
