trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc
1	ctl	ctl0	nan	9	nan	0	1
2	enc	enc00	nan	5	1	2422	0
3	enc	enc000	nan	9	1	2836	0
4	ctl	ctl01	nan	6	nan	0	1
5	enc	enc01	old59	8	nan	0	1
6	enc	enc02	old13	5	1	1555	0
7	enc	enc03	old54	5	1	1647	0
8	enc	enc04	old46	6	1	2641	0
9	enc	enc05	old52	5	1	1815	0
10	enc	enc06	old78	9	1	1832	0
11	ctl	ctl02	nan	5	nan	0	1
12	ctl	ctl03	nan	6	nan	0	1
13	ctl	ctl04	nan	6	nan	0	1
14	ctl	ctl05	nan	9	nan	0	1
15	enc	enc07	old62	6	1	2305	0
16	enc	enc08	old02	8	1	2269	0
17	ctl	ctl06	nan	9	nan	0	1
18	enc	enc09	old42	9	1	1875	0
19	enc	enc10	old10	5	1	1735	0
20	enc	enc11	old36	9	1	1478	0
21	enc	enc12	old28	5	1	1770	0
22	enc	enc13	old75	8	1	2044	0
23	enc	enc14	old73	8	1	1698	0
24	enc	enc15	old67	9	1	1569	0
25	enc	enc16	old68	8	1	1868	0
26	enc	enc17	old08	5	1	1449	0
27	ctl	ctl07	nan	5	nan	0	1
28	ctl	ctl08	nan	8	nan	0	1
29	enc	enc18	old35	8	1	1690	0
30	enc	enc19	old16	8	1	1974	0
31	enc	enc20	old23	5	1	2058	0
32	enc	enc21	old72	9	1	1484	0
33	enc	enc22	old15	9	1	1701	0
34	ctl	ctl09	nan	8	nan	0	1
35	enc	enc23	old09	6	1	1170	0
36	ctl	ctl10	nan	9	nan	0	1
37	enc	enc24	old20	8	1	1687	0
38	enc	enc25	old40	8	1	1546	0
39	enc	enc26	old22	9	1	1143	0
40	enc	enc27	old49	5	1	1932	0
41	enc	enc28	old33	6	1	2053	0
42	enc	enc29	old45	9	1	2694	0
43	enc	enc30	old47	8	1	2814	0
44	enc	enc31	old31	6	1	2162	0
45	enc	enc32	old11	6	1	1423	0
46	ctl	ctl11	nan	6	nan	0	1
47	enc	enc33	old12	9	1	2797	0
48	enc	enc34	old58	8	1	2405	0
49	ctl	ctl12	nan	6	nan	0	1
50	enc	enc35	old04	9	1	1938	0
51	enc	enc36	old55	8	1	1748	0
52	enc	enc37	old19	9	1	2087	0
53	enc	enc38	old74	6	1	2001	0
54	enc	enc39	old17	5	1	1690	0
55	ctl	ctl13	nan	5	nan	0	1
56	enc	enc40	old14	6	1	1325	0
57	ctl	ctl14	nan	9	nan	0	1
58	ctl	ctl15	nan	8	nan	0	1
59	ctl	ctl16	nan	9	nan	0	1
60	enc	enc41	old44	6	1	1764	0
61	enc	enc42	old34	8	1	1824	0
62	enc	enc43	old32	9	1	2215	0
63	enc	enc44	old70	5	1	1686	0
64	enc	enc45	old60	6	1	2686	0
65	enc	enc46	old56	9	1	2047	0
66	ctl	ctl17	nan	8	nan	0	1
67	enc	enc47	old77	6	1	1370	0
68	enc	enc48	old27	9	1	1519	0
69	ctl	ctl18	nan	5	nan	0	1
70	ctl	ctl19	nan	5	nan	0	1
71	enc	enc49	old21	6	1	1641	0
72	ctl	ctl20	nan	8	nan	0	1
73	ctl	ctl21	nan	9	nan	0	1
74	enc	enc50	old03	8	1	2080	0
75	enc	enc51	old61	9	1	2274	0
76	ctl	ctl22	nan	8	nan	0	1
77	enc	enc52	old51	8	1	1998	0
78	enc	enc53	old26	9	1	1570	0
79	ctl	ctl23	nan	9	nan	0	1
80	ctl	ctl24	nan	6	nan	0	1
81	enc	enc54	old48	5	1	1131	0
82	enc	enc55	old39	8	1	1867	0
83	enc	enc56	old29	5	1	1442	0
84	ctl	ctl25	nan	6	nan	0	1
85	enc	enc57	old71	6	1	1439	0
86	ctl	ctl26	nan	6	nan	0	1
87	ctl	ctl27	nan	9	nan	0	1
88	enc	enc58	old24	5	1	1697	0
89	enc	enc59	old76	6	1	1913	0
90	enc	enc60	old43	8	1	2473	0
91	ctl	ctl28	nan	5	nan	0	1
92	ctl	ctl29	nan	8	nan	0	1
93	ctl	ctl30	nan	9	nan	0	1
94	ctl	ctl31	nan	6	nan	0	1
95	enc	enc61	old37	5	1	1772	0
96	ctl	ctl32	nan	5	nan	0	1
97	enc	enc62	old57	5	1	1453	0
98	ctl	ctl33	nan	5	nan	0	1
99	enc	enc63	old01	5	1	1419	0
100	enc	enc64	old05	9	1	1924	0
101	enc	enc65	old65	9	1	1611	0
102	enc	enc66	old66	5	1	1567	0
103	enc	enc67	old64	8	1	1374	0
104	ctl	ctl34	nan	8	nan	0	1
105	enc	enc68	old38	6	1	1964	0
106	enc	enc69	old07	6	1	1859	0
107	ctl	ctl35	nan	8	nan	0	1
108	ctl	ctl36	nan	6	nan	0	1
109	enc	enc70	old53	5	1	1258	0
110	ctl	ctl37	nan	5	nan	0	1
111	enc	enc71	old41	6	1	1254	0
112	enc	enc72	old06	8	1	2413	0
113	enc	enc73	old50	9	1	2425	0
114	enc	enc74	old25	8	1	2549	0
115	enc	enc75	old69	9	1	2945	0
116	ctl	ctl38	nan	8	nan	0	1
117	ctl	ctl39	nan	9	nan	0	1
118	enc	enc76	old63	6	1	840	0
119	enc	enc77	old30	5	1	1700	0
120	enc	enc78	old18	6	1	1728	0
