0	1	2	3	4	5	6	7	8
1	ctl	ctl0	nan	control	0.058	fixation	3.067	1.5
2	enc	enc00	nan	encoding	4.555	fixation	7.564	0.5
3	enc	enc000	nan	encoding	8.065	fixation	11.074	0.5
4	ctl	ctl01	nan	control	11.575	fixation	14.584	5.5
5	enc	enc01	old64	encoding	20.084	fixation	23.093	0.5
6	enc	enc02	old05	encoding	23.595	fixation	26.604	1
7	enc	enc03	old16	encoding	27.607	fixation	30.615	1
8	enc	enc04	old77	encoding	31.618	fixation	34.627	1.5
9	enc	enc05	old54	encoding	36.115	fixation	39.124	2
10	enc	enc06	old52	encoding	41.113	fixation	44.122	3
11	ctl	ctl02	nan	control	47.115	fixation	50.124	0.5
12	ctl	ctl03	nan	control	50.625	fixation	53.634	4
13	enc	enc07	old27	encoding	57.629	fixation	60.638	2.5
14	ctl	ctl04	nan	control	63.129	fixation	66.138	1.5
15	enc	enc08	old51	encoding	67.626	fixation	70.635	2
16	enc	enc09	old15	encoding	72.624	fixation	75.633	3.5
17	ctl	ctl05	nan	control	79.126	fixation	82.135	0.5
18	enc	enc10	old32	encoding	82.637	fixation	85.646	2.5
19	enc	enc11	old12	encoding	88.137	fixation	91.146	0.5
20	enc	enc12	old24	encoding	91.647	fixation	94.656	1
21	enc	enc13	old66	encoding	95.659	fixation	98.668	1.5
22	enc	enc14	old20	encoding	100.156	fixation	103.165	2.5
23	enc	enc15	old33	encoding	105.655	fixation	108.664	3
24	enc	enc16	old29	encoding	111.657	fixation	114.666	1
25	enc	enc17	old22	encoding	115.669	fixation	118.678	1.5
26	ctl	ctl06	nan	control	120.165	fixation	123.174	1.5
27	enc	enc18	old11	encoding	124.662	fixation	127.671	1
28	enc	enc19	old41	encoding	128.674	fixation	131.683	2.5
29	ctl	ctl07	nan	control	134.174	fixation	137.183	2.5
30	enc	enc20	old70	encoding	139.673	fixation	142.682	0.5
31	enc	enc21	old56	encoding	143.184	fixation	146.193	5.5
32	enc	enc22	old68	encoding	151.692	fixation	154.701	5.5
33	enc	enc23	old06	encoding	160.201	fixation	163.21	2
34	enc	enc24	old02	encoding	165.199	fixation	168.208	1
35	enc	enc25	old47	encoding	169.195	fixation	172.203	3
36	enc	enc26	old62	encoding	175.196	fixation	178.205	3.5
37	ctl	ctl08	nan	control	181.698	fixation	184.707	0.5
38	ctl	ctl09	nan	control	185.209	fixation	188.218	1.5
39	ctl	ctl10	nan	control	189.706	fixation	192.715	9.5
40	ctl	ctl11	nan	control	202.209	fixation	205.218	2
