trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc
1	ctl	ctl0	nan	5	1	1781	0
2	enc	enc00	nan	8	1	2676	0
3	enc	enc000	nan	9	1	2277	0
4	ctl	ctl01	nan	8	1	1527	0
5	enc	enc01	old64	6	nan	0	1
6	enc	enc02	old04	5	1	2628	0
7	enc	enc03	old19	6	1	1911	0
8	enc	enc04	old72	9	1	2363	0
9	enc	enc05	old54	8	1	1987	0
10	enc	enc06	old52	9	1	2365	0
11	ctl	ctl02	nan	5	1	1347	0
12	ctl	ctl03	nan	6	1	1341	0
13	enc	enc07	old28	8	1	2184	0
14	ctl	ctl04	nan	8	1	1244	0
15	enc	enc08	old40	6	1	2411	0
16	enc	enc09	old20	5	1	2157	0
17	ctl	ctl05	nan	8	1	1358	0
18	enc	enc10	old38	6	1	2503	0
19	enc	enc11	old01	6	1	2987	0
20	enc	enc12	old24	8	1	2485	0
21	enc	enc13	old67	5	1	1705	0
22	enc	enc14	old18	9	1	2407	0
23	enc	enc15	old35	9	1	2204	0
24	enc	enc16	old27	5	1	2154	0
25	enc	enc17	old21	5	1	2551	0
26	ctl	ctl06	nan	5	1	1262	0
27	enc	enc18	old12	5	1	1653	0
28	enc	enc19	old45	8	1	1968	0
29	ctl	ctl07	nan	5	nan	0	1
30	enc	enc20	old77	6	1	2121	0
31	enc	enc21	old63	5	nan	0	1
32	enc	enc22	old71	6	1	1318	0
33	enc	enc23	old03	5	1	1784	0
34	enc	enc24	old10	8	1	1922	0
35	enc	enc25	old43	5	1	1678	0
36	enc	enc26	old60	9	1	1941	0
37	ctl	ctl08	nan	6	1	1005	0
38	ctl	ctl09	nan	9	1	1095	0
39	ctl	ctl10	nan	8	1	950	0
40	ctl	ctl11	nan	5	1	854	0
41	enc	enc27	old41	8	1	1847	0
42	ctl	ctl12	nan	9	1	1289	0
43	enc	enc28	old25	9	1	2302	0
44	ctl	ctl13	nan	6	1	1135	0
45	enc	enc29	old30	8	1	1833	0
46	enc	enc30	old58	6	1	1130	0
47	enc	enc31	old11	9	1	2152	0
48	enc	enc32	old74	6	1	2121	0
49	enc	enc33	old26	9	1	1865	0
50	enc	enc34	old16	6	1	1790	0
51	ctl	ctl14	nan	6	1	1088	0
52	enc	enc35	old73	5	1	2036	0
53	enc	enc36	old13	9	1	1102	0
54	enc	enc37	old05	8	1	1496	0
55	enc	enc38	old50	6	1	1035	0
56	ctl	ctl15	nan	6	1	825	0
57	ctl	ctl16	nan	9	1	741	0
58	enc	enc39	old55	6	1	1149	0
59	enc	enc40	old56	5	1	1847	0
60	enc	enc41	old75	6	1	2232	0
61	ctl	ctl17	nan	8	1	976	0
62	enc	enc42	old61	9	1	1723	0
63	enc	enc43	old15	8	1	1655	0
64	enc	enc44	old32	9	1	1086	0
65	ctl	ctl18	nan	9	1	1026	0
66	enc	enc45	old22	8	1	1515	0
67	enc	enc46	old29	9	1	1108	0
68	ctl	ctl19	nan	8	1	996	0
69	ctl	ctl20	nan	5	1	933	0
70	ctl	ctl21	nan	5	1	562	0
71	ctl	ctl22	nan	8	1	579	0
72	ctl	ctl23	nan	9	1	806	0
73	ctl	ctl24	nan	8	1	664	0
74	enc	enc47	old34	6	1	2272	0
75	enc	enc48	old09	6	1	1387	0
76	enc	enc49	old46	8	1	1906	0
77	enc	enc50	old51	9	1	1004	0
78	enc	enc51	old06	6	1	1501	0
79	ctl	ctl25	nan	9	1	1047	0
80	ctl	ctl26	nan	5	1	1187	0
81	enc	enc52	old49	5	1	1300	0
82	enc	enc53	old57	9	1	1624	0
83	enc	enc54	old48	8	1	1254	0
84	enc	enc55	old62	8	1	1608	0
85	ctl	ctl27	nan	6	1	1260	0
86	enc	enc56	old36	6	1	1362	0
87	ctl	ctl28	nan	6	1	1250	0
88	enc	enc57	old59	9	1	2043	0
89	enc	enc58	old66	9	1	1426	0
90	enc	enc59	old65	5	1	1218	0
91	ctl	ctl29	nan	9	1	855	0
92	enc	enc60	old53	8	1	1598	0
93	ctl	ctl30	nan	8	1	855	0
94	enc	enc61	old07	8	1	1203	0
95	ctl	ctl31	nan	8	1	1034	0
96	enc	enc62	old31	5	1	1763	0
97	ctl	ctl32	nan	5	1	1121	0
98	enc	enc63	old70	8	1	1616	0
99	enc	enc64	old69	9	1	1081	0
100	ctl	ctl33	nan	9	1	1089	0
101	ctl	ctl34	nan	9	1	1146	0
102	enc	enc65	old78	8	1	1716	0
103	enc	enc66	old68	8	1	1335	0
104	ctl	ctl35	nan	6	1	825	0
105	enc	enc67	old02	5	1	1349	0
106	enc	enc68	old08	9	1	1062	0
107	enc	enc69	old37	5	1	1144	0
108	enc	enc70	old47	9	1	2061	0
109	enc	enc71	old39	8	1	1889	0
110	ctl	ctl36	nan	6	1	867	0
111	enc	enc72	old17	6	1	2016	0
112	enc	enc73	old76	9	1	2957	0
113	ctl	ctl37	nan	5	1	942	0
114	ctl	ctl38	nan	6	1	897	0
115	enc	enc74	old44	5	1	1915	0
116	enc	enc75	old42	6	1	1128	0
117	ctl	ctl39	nan	9	1	933	0
118	enc	enc76	old14	5	1	1618	0
119	enc	enc77	old33	5	1	1971	0
120	enc	enc78	old23	8	1	1606	0
