trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc
1	enc	enc00	nan	5	3	821	0
2	enc	enc000	nan	9	3	1831	0
3	ctl	ctl0	nan	9	3	1562	0
4	enc	enc01	old54	8	3	1598	0
5	ctl	ctl01	nan	6	3	1810	0
6	enc	enc02	old10	5	3	1426	0
7	enc	enc03	old63	5	3	1782	0
8	ctl	ctl02	nan	5	3	1125	0
9	ctl	ctl03	nan	6	3	997	0
10	enc	enc04	old72	6	3	1537	0
11	enc	enc05	old77	5	3	1164	0
12	ctl	ctl04	nan	6	3	1643	0
13	enc	enc06	old43	9	3	1466	0
14	ctl	ctl05	nan	9	3	779	0
15	enc	enc07	old61	6	3	1336	0
16	ctl	ctl06	nan	9	3	1562	0
17	ctl	ctl07	nan	5	3	685	0
18	enc	enc08	old05	8	3	1400	0
19	enc	enc09	old75	9	3	1219	0
20	enc	enc10	old03	5	3	1578	0
21	enc	enc11	old31	9	3	2241	0
22	enc	enc12	old34	5	3	1561	0
23	enc	enc13	old40	8	3	1645	0
24	enc	enc14	old51	8	3	1180	0
25	enc	enc15	old46	9	3	1245	0
26	enc	enc16	old45	8	3	1388	0
27	enc	enc17	old02	5	3	1440	0
28	ctl	ctl08	nan	8	3	933	0
29	enc	enc18	old38	8	3	1521	0
30	enc	enc19	old17	8	3	1678	0
31	enc	enc20	old14	5	3	1946	0
32	ctl	ctl09	nan	8	3	1302	0
33	enc	enc21	old47	9	3	1338	0
34	enc	enc22	old22	9	3	1760	0
35	enc	enc23	old08	6	3	933	0
36	enc	enc24	old15	8	3	1531	0
37	enc	enc25	old76	8	3	915	0
38	enc	enc26	old20	9	3	1064	0
39	enc	enc27	old67	5	3	1332	0
40	enc	enc28	old32	6	3	1012	0
41	ctl	ctl10	nan	9	3	1000	0
42	ctl	ctl11	nan	6	3	908	0
43	ctl	ctl12	nan	6	3	1395	0
44	ctl	ctl13	nan	5	3	632	0
45	enc	enc29	old73	9	3	1484	0
46	enc	enc30	old70	8	3	1046	0
47	ctl	ctl14	nan	9	3	959	0
48	enc	enc31	old27	6	3	1485	0
49	enc	enc32	old09	6	3	1496	0
50	enc	enc33	old04	9	3	1616	0
51	enc	enc34	old56	8	3	2279	0
52	ctl	ctl15	nan	8	nan	0	1
53	enc	enc35	old13	9	3	908	0
54	ctl	ctl16	nan	9	3	770	0
55	ctl	ctl17	nan	8	3	741	0
56	enc	enc36	old53	8	3	877	0
57	enc	enc37	old19	9	3	1476	0
58	enc	enc38	old50	6	3	1699	0
59	ctl	ctl18	nan	5	3	739	0
60	enc	enc39	old26	5	3	1126	0
61	enc	enc40	old21	6	3	2177	0
62	enc	enc41	old68	6	3	1092	0
63	enc	enc42	old35	8	3	1238	0
64	enc	enc43	old29	9	3	1374	0
65	ctl	ctl19	nan	5	3	862	0
66	enc	enc44	old49	5	3	1731	0
67	ctl	ctl20	nan	8	3	1503	0
68	ctl	ctl21	nan	9	3	695	0
69	enc	enc45	old55	6	3	1546	0
70	ctl	ctl22	nan	8	3	706	0
71	enc	enc46	old60	9	3	2006	0
72	enc	enc47	old42	6	3	1160	0
73	enc	enc48	old28	9	3	1698	0
74	enc	enc49	old18	6	3	1051	0
75	enc	enc50	old01	8	3	1194	0
76	enc	enc51	old65	9	3	1015	0
77	enc	enc52	old78	8	3	1037	0
78	ctl	ctl23	nan	9	3	795	0
79	enc	enc53	old23	9	3	2102	0
80	ctl	ctl24	nan	6	3	817	0
81	enc	enc54	old74	5	3	1274	0
82	enc	enc55	old33	8	3	1207	0
83	enc	enc56	old37	5	3	1281	0
84	enc	enc57	old52	6	3	1292	0
85	ctl	ctl25	nan	6	3	1788	0
86	enc	enc58	old24	5	3	1289	0
87	enc	enc59	old41	6	3	1083	0
88	enc	enc60	old69	8	3	891	0
89	ctl	ctl26	nan	6	3	913	0
90	ctl	ctl27	nan	9	3	856	0
91	ctl	ctl28	nan	5	3	645	0
92	enc	enc61	old36	5	3	1342	0
93	enc	enc62	old57	5	3	1045	0
94	ctl	ctl29	nan	8	3	874	0
95	enc	enc63	old12	5	3	1174	0
96	enc	enc64	old11	9	3	1207	0
97	ctl	ctl30	nan	9	3	2255	0
98	enc	enc65	old62	9	3	1554	0
99	enc	enc66	old44	5	3	1150	0
100	ctl	ctl31	nan	6	3	2565	0
101	ctl	ctl32	nan	5	3	662	0
102	enc	enc67	old64	8	3	1780	0
103	enc	enc68	old39	6	3	1039	0
104	ctl	ctl33	nan	5	3	658	0
105	ctl	ctl34	nan	8	3	616	0
106	enc	enc69	old06	6	3	1044	0
107	enc	enc70	old59	5	3	1127	0
108	ctl	ctl35	nan	8	3	1143	0
109	ctl	ctl36	nan	6	3	629	0
110	enc	enc71	old66	6	3	1453	0
111	enc	enc72	old07	8	3	1207	0
112	ctl	ctl37	nan	5	3	703	0
113	ctl	ctl38	nan	8	3	709	0
114	enc	enc73	old71	9	3	1084	0
115	enc	enc74	old25	8	3	1526	0
116	ctl	ctl39	nan	9	3	778	0
117	enc	enc75	old48	9	3	1282	0
118	enc	enc76	old58	6	3	1244	0
119	enc	enc77	old30	5	3	1423	0
120	enc	enc78	old16	6	3	1016	0
