0	1	2	3	4	5	6	7	8
1	enc	enc00	nan	encoding	0.021	fixation	3.03	4.5
2	enc	enc000	nan	encoding	7.527	fixation	10.536	0.5
3	ctl	ctl0	nan	control	11.038	fixation	14.047	0.5
4	enc	enc01	old64	encoding	14.548	fixation	17.557	6.5
5	enc	enc02	old10	encoding	24.06	fixation	27.069	2
6	enc	enc03	old26	encoding	29.058	fixation	32.067	1.5
7	enc	enc04	old77	encoding	33.555	fixation	36.564	1
8	enc	enc05	old63	encoding	37.567	fixation	40.576	8.5
9	enc	enc06	old50	encoding	49.068	fixation	52.077	2
10	enc	enc07	old39	encoding	54.066	fixation	57.075	2.5
11	ctl	ctl01	nan	control	59.566	fixation	62.575	1.5
12	ctl	ctl02	nan	control	64.063	fixation	67.072	1.5
13	enc	enc08	old43	encoding	68.56	fixation	71.569	0.5
14	ctl	ctl03	nan	control	72.07	fixation	75.079	0.5
15	enc	enc09	old20	encoding	75.581	fixation	78.59	2
16	enc	enc10	old27	encoding	80.579	fixation	83.588	1.5
17	ctl	ctl04	nan	control	85.076	fixation	88.085	2
18	enc	enc11	old07	encoding	90.074	fixation	93.083	7.5
19	enc	enc12	old19	encoding	100.572	fixation	103.581	5
20	enc	enc13	old78	encoding	108.579	fixation	111.588	1.5
21	enc	enc14	old21	encoding	113.076	fixation	116.085	3
22	enc	enc15	old31	encoding	119.077	fixation	122.086	1
23	enc	enc16	old29	encoding	123.073	fixation	126.082	1.5
24	enc	enc17	old16	encoding	127.569	fixation	130.578	8.5
25	enc	enc18	old03	encoding	139.071	fixation	142.08	2
26	ctl	ctl05	nan	control	144.069	fixation	147.078	1
27	ctl	ctl06	nan	control	148.081	fixation	151.09	1.5
28	enc	enc19	old41	encoding	152.578	fixation	155.587	6.5
29	enc	enc20	old68	encoding	162.089	fixation	165.098	1.5
30	enc	enc21	old53	encoding	166.586	fixation	169.595	6.5
31	ctl	ctl07	nan	control	176.098	fixation	179.107	3.5
32	enc	enc22	old74	encoding	182.601	fixation	185.61	8
33	enc	enc23	old08	encoding	193.6	fixation	196.609	13
34	ctl	ctl08	nan	control	209.598	fixation	212.607	1
35	enc	enc24	old05	encoding	213.593	fixation	216.602	2.5
36	enc	enc25	old52	encoding	219.093	fixation	222.102	1.5
37	enc	enc26	old56	encoding	223.59	fixation	226.599	3.5
38	enc	enc27	old42	encoding	230.093	fixation	233.102	2
39	enc	enc28	old14	encoding	235.091	fixation	238.1	3
40	enc	enc29	old38	encoding	241.092	fixation	244.101	7
41	enc	enc30	old62	encoding	251.089	fixation	254.098	1
42	ctl	ctl09	nan	control	255.101	fixation	258.11	0.5
43	ctl	ctl10	nan	control	258.611	fixation	261.62	1
44	enc	enc31	old06	encoding	262.607	fixation	265.616	0.5
45	enc	enc32	old73	encoding	266.117	fixation	269.126	7
46	enc	enc33	old15	encoding	276.114	fixation	279.123	4
47	enc	enc34	old17	encoding	283.118	fixation	286.127	2
48	ctl	ctl11	nan	control	288.116	fixation	291.125	2.5
49	enc	enc35	old72	encoding	293.616	fixation	296.625	4.5
50	enc	enc36	old11	encoding	301.122	fixation	304.131	0.5
51	ctl	ctl12	nan	control	304.632	fixation	307.641	3
52	enc	enc37	old01	encoding	310.634	fixation	313.643	2
53	ctl	ctl13	nan	control	315.632	fixation	318.641	0.5
54	ctl	ctl14	nan	control	319.142	fixation	322.151	1
55	ctl	ctl15	nan	control	323.138	fixation	326.147	2.5
56	ctl	ctl16	nan	control	328.638	fixation	331.647	6.5
57	enc	enc38	old44	encoding	338.149	fixation	341.158	9.5
58	enc	enc39	old54	encoding	350.653	fixation	353.662	3
59	enc	enc40	old61	encoding	356.655	fixation	359.664	3
60	enc	enc41	old76	encoding	362.656	fixation	365.665	1
61	enc	enc42	old65	encoding	366.668	fixation	369.677	2
62	enc	enc43	old23	encoding	371.666	fixation	374.675	1
63	enc	enc44	old37	encoding	375.662	fixation	378.671	0.5
64	enc	enc45	old25	encoding	379.172	fixation	382.181	2.5
65	enc	enc46	old34	encoding	384.672	fixation	387.681	8.5
66	enc	enc47	old28	encoding	396.173	fixation	399.182	5.5
67	enc	enc48	old02	encoding	404.682	fixation	407.691	2
68	enc	enc49	old51	encoding	409.68	fixation	412.689	6
69	enc	enc50	old49	encoding	418.69	fixation	421.699	6
70	enc	enc51	old12	encoding	427.701	fixation	430.71	1.5
71	ctl	ctl17	nan	control	432.197	fixation	435.206	2
72	enc	enc52	old47	encoding	437.196	fixation	440.205	1.5
73	ctl	ctl18	nan	control	441.692	fixation	444.701	4
74	ctl	ctl19	nan	control	448.697	fixation	451.706	0.5
75	ctl	ctl20	nan	control	452.207	fixation	455.216	6
76	enc	enc53	old58	encoding	461.217	fixation	464.226	0.5
77	enc	enc54	old40	encoding	464.728	fixation	467.737	2.5
78	enc	enc55	old60	encoding	470.228	fixation	473.237	1.5
79	enc	enc56	old33	encoding	474.725	fixation	477.734	2.5
80	ctl	ctl21	nan	control	480.224	fixation	483.233	5.5
81	enc	enc57	old57	encoding	488.733	fixation	491.742	4.5
82	ctl	ctl22	nan	control	496.239	fixation	499.248	2.5
83	enc	enc58	old71	encoding	501.739	fixation	504.748	6.5
84	ctl	ctl23	nan	control	511.25	fixation	514.259	6.5
85	ctl	ctl24	nan	control	520.745	fixation	523.755	1.5
86	ctl	ctl25	nan	control	525.242	fixation	528.251	4.5
87	ctl	ctl26	nan	control	532.748	fixation	535.757	1.5
88	enc	enc59	old59	encoding	537.245	fixation	540.254	0.5
89	ctl	ctl27	nan	control	540.755	fixation	543.764	10.5
90	ctl	ctl28	nan	control	554.262	fixation	557.271	4.5
91	enc	enc60	old55	encoding	561.768	fixation	564.777	2
92	ctl	ctl29	nan	control	566.766	fixation	569.775	1.5
93	enc	enc61	old04	encoding	571.263	fixation	574.272	12.5
94	enc	enc62	old32	encoding	586.76	fixation	589.769	2
95	enc	enc63	old67	encoding	591.758	fixation	594.767	1
